S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,220.00,224.00,215.70,222.10,-0.85,"146,344.00","32,324,851.20"
2,2026-02-26,227.7,227.7,220.0,224.0,0.31,"153,366.00","34,143,779.80"
3,2026-02-25,217.0,225.0,215.0,223.3,3.86,"273,938.00","60,628,271.40"
4,2026-02-24,215.9,215.9,213.0,215.0,1.32,"90,498.00","19,393,803.50"
5,2026-02-23,216.0,218.8,210.2,212.2,0.09,"215,340.00","45,906,088.30"
6,2026-02-22,220.0,220.0,211.0,212.0,-2.75,"297,291.00","63,834,806.60"
7,2026-02-17,230.0,234.0,218.0,218.0,-5.26,"500,742.00","111,946,711.90"
8,2026-02-16,238.7,248.5,229.2,230.1,-1.88,"955,179.00","228,257,777.30"
9,2026-02-12,233.0,241.8,229.0,234.5,2.4,"1,205,239.00","282,452,297.80"
10,2026-02-11,231.5,232.4,223.0,229.0,0.88,"305,661.00","69,727,198.20"
11,2026-02-10,234.3,239.0,223.0,227.0,-1.22,"615,293.00","143,307,098.20"
12,2026-02-09,217.0,235.0,213.0,229.8,5.9,"1,072,249.00","243,879,117.30"
13,2026-02-08,219.0,224.0,217.0,217.0,0.56,"483,728.00","106,612,202.20"
14,2026-02-05,206.1,218.4,206.0,215.8,4.25,"324,728.00","69,602,398.60"
15,2026-02-04,209.8,213.9,204.0,207.0,0.63,"96,037.00","19,805,838.40"
16,2026-02-03,215.6,216.0,205.0,205.7,-2.7,"257,839.00","53,777,995.90"
17,2026-02-02,216.0,217.0,211.2,211.4,-1.67,"100,391.00","21,438,760.20"
18,2026-02-01,221.2,224.4,212.8,215.0,-0.88,"199,067.00","43,293,606.50"
19,2026-01-29,210.0,225.5,210.0,216.9,5.29,"883,953.00","195,242,022.30"
20,2026-01-28,206.5,209.1,204.0,206.0,-0.48,"161,950.00","33,483,702.60"
21,2026-01-27,218.0,219.0,206.1,207.0,-3.27,"357,375.00","76,080,804.40"
22,2026-01-26,220.9,224.8,212.0,214.0,-3.12,"333,794.00","72,616,084.30"
23,2026-01-25,218.3,223.1,213.0,220.9,3.18,"379,609.00","83,177,070.00"
24,2026-01-22,207.2,215.0,207.2,214.1,4.39,"343,468.00","72,940,707.80"
25,2026-01-21,207.9,211.1,202.2,205.1,0.59,"276,853.00","57,356,760.70"
26,2026-01-20,192.0,204.0,191.3,203.9,7.32,"331,894.00","66,216,832.90"
27,2026-01-18,188.0,192.9,188.0,190.0,1.17,"65,807.00","12,533,727.30"
28,2026-01-14,194.2,194.2,187.2,187.8,-1.37,"53,912.00","10,194,279.90"
29,2026-01-13,188.0,191.5,186.6,190.4,1.28,"56,630.00","10,713,112.50"
30,2026-01-12,191.0,191.9,187.0,188.0,-1.21,"20,728.00","3,910,295.00"
31,2026-01-08,186.0,191.8,185.0,190.3,2.7,"97,147.00","18,384,240.00"
32,2026-01-07,189.9,189.9,185.0,185.3,-1.44,"67,441.00","12,543,745.60"
33,2026-01-06,188.8,190.5,187.0,188.0,-0.42,"56,190.00","10,599,730.50"
34,2026-01-05,182.3,189.0,182.3,188.8,1.51,"42,321.00","7,939,163.00"
35,2026-01-04,187.9,188.0,185.0,186.0,-1.01,"14,848.00","2,762,882.50"
36,2026-01-01,194.7,194.7,186.2,187.9,-1.57,"40,388.00","7,594,733.10"
37,2025-12-31,187.0,194.0,187.0,190.9,0.47,"30,440.00","5,774,659.60"
38,2025-12-29,190.1,194.9,189.2,190.0,-2.01,"49,945.00","9,520,001.00"
39,2025-12-28,192.0,195.0,190.0,193.9,1.62,"86,714.00","16,660,887.10"
40,2025-12-24,183.0,190.8,183.0,190.8,4.26,"75,633.00","14,137,429.10"
41,2025-12-23,183.9,185.1,182.1,183.0,-0.49,"36,824.00","6,759,870.50"
42,2025-12-22,185.0,185.0,183.0,183.9,-0.59,"13,364.00","2,452,306.00"
43,2025-12-21,186.0,188.0,184.0,185.0,-1.07,"41,269.00","7,670,297.90"
44,2025-12-18,190.8,190.8,186.4,187.0,-1.06,"24,779.00","4,638,538.80"
45,2025-12-17,191.0,191.0,188.0,189.0,-0.26,"16,065.00","3,039,945.50"
46,2025-12-16,185.3,189.6,185.3,189.5,1.45,"42,034.00","7,898,018.20"
47,2025-12-15,187.0,189.0,186.0,186.8,0.27,"24,284.00","4,537,514.40"
48,2025-12-14,186.0,188.9,186.0,186.3,-0.37,"38,485.00","7,171,577.30"
49,2025-12-11,187.1,189.0,186.0,187.0,-0.27,"42,669.00","7,984,174.60"
50,2025-12-10,187.8,189.0,187.0,187.5,-0.11,"18,910.00","3,549,763.80"
51,2025-12-09,190.0,191.0,186.5,187.7,-0.69,"24,420.00","4,593,509.20"
52,2025-12-08,188.0,190.0,187.2,189.0,-0.47,"28,558.00","5,383,820.80"
53,2025-12-07,188.0,191.9,188.0,189.9,-0.58,"32,757.00","6,189,843.30"
54,2025-12-03,195.7,195.7,188.0,191.0,-0.47,"45,943.00","8,723,064.60"
55,2025-12-02,190.1,195.6,190.0,191.9,-0.05,"26,732.00","5,118,138.60"
56,2025-12-01,192.0,194.0,190.2,192.0,-0.52,"38,554.00","7,393,309.60"
57,2025-11-30,194.0,199.0,191.1,193.0,-2.43,"82,414.00","16,061,336.40"
58,2025-11-27,194.0,206.0,191.5,197.8,1.49,"56,534.00","11,059,732.30"
59,2025-11-26,199.9,199.9,194.9,194.9,-0.56,"49,930.00","9,823,794.90"
60,2025-11-25,195.9,197.4,194.1,196.0,0.05,"63,803.00","12,498,661.10"
61,2025-11-24,194.0,196.3,192.0,195.9,1.14,"54,147.00","10,565,152.60"
62,2025-11-23,191.7,195.0,190.0,193.7,3.03,"35,577.00","6,849,668.90"
63,2025-11-20,191.0,191.0,186.0,188.0,0.05,"35,452.00","6,691,400.80"
64,2025-11-19,192.0,192.0,187.2,187.9,-1.21,"8,090.00","1,524,365.20"
65,2025-11-18,191.0,192.3,190.0,190.2,0.63,"19,027.00","3,633,124.50"
66,2025-11-17,187.0,190.5,187.0,189.0,0.53,"15,971.00","3,015,265.10"
67,2025-11-16,188.0,190.0,186.2,188.0,0.43,"18,180.00","3,409,789.00"
68,2025-11-13,187.1,190.8,187.0,187.2,-0.95,"30,639.00","5,758,679.50"
69,2025-11-12,188.2,191.9,187.3,189.0,-1.31,"38,788.00","7,333,773.20"
70,2025-11-11,193.8,193.8,189.2,191.5,0.79,"30,752.00","5,860,546.70"
71,2025-11-10,194.0,194.0,189.0,190.0,-0.52,"17,670.00","3,356,045.20"
72,2025-11-09,189.2,192.0,189.2,191.0,-1.04,"26,904.00","5,126,463.50"
73,2025-11-06,198.7,198.7,190.3,193.0,-0.97,"39,036.00","7,535,024.20"
74,2025-11-05,195.0,196.5,192.2,194.9,0.46,"20,334.00","3,944,271.90"
75,2025-11-04,197.0,198.0,193.6,194.0,-1.52,"38,881.00","7,600,109.80"
76,2025-11-03,200.0,204.0,195.2,197.0,-2.48,"40,077.00","8,005,214.70"
77,2025-11-02,194.0,202.0,194.0,202.0,4.12,"92,586.00","18,486,884.40"
78,2025-10-30,191.0,195.0,190.0,194.0,1.04,"28,110.00","5,437,425.00"
79,2025-10-29,195.0,196.0,189.0,192.0,0.0,"46,271.00","8,899,508.60"
80,2025-10-28,188.0,193.0,185.0,192.0,3.23,"47,225.00","9,011,917.50"
81,2025-10-26,183.2,187.0,182.0,186.0,-0.48,"22,091.00","4,084,435.40"
82,2025-10-19,188.7,189.0,179.7,186.9,1.03,"29,689.00","5,531,194.00"
83,2025-10-16,187.0,188.0,180.4,185.0,0.05,"42,597.00","7,820,854.00"
84,2025-10-15,193.8,193.8,182.5,184.9,-2.68,"56,312.00","10,414,586.60"
85,2025-10-14,195.0,195.1,187.0,190.0,-2.56,"48,728.00","9,231,946.80"
86,2025-10-13,189.0,195.8,189.0,195.0,1.56,"43,244.00","8,349,741.00"
87,2025-10-12,199.0,199.0,190.0,192.0,-3.03,"71,118.00","13,641,695.50"
88,2025-10-09,197.8,210.0,197.0,198.0,2.06,"60,681.00","12,098,774.00"
89,2025-10-08,200.0,200.0,188.5,194.0,-1.07,"61,163.00","11,715,744.60"
90,2025-10-07,204.0,204.0,194.5,196.1,-1.95,"50,147.00","9,868,344.40"
91,2025-09-28,202.0,203.0,198.5,200.0,0.0,"42,203.00","8,441,381.90"
92,2025-09-25,204.0,204.0,198.1,200.0,-0.05,"78,352.00","15,662,156.40"
93,2025-09-24,208.0,208.0,199.6,200.1,-2.63,"66,447.00","13,466,914.00"
94,2025-09-23,200.3,209.6,197.0,205.5,4.63,"92,836.00","19,040,189.90"
95,2025-09-21,179.0,196.4,179.0,196.4,9.97,"118,095.00","22,735,705.20"
96,2025-09-18,195.0,195.0,178.6,178.6,-9.98,"2,425.00","452,028.50"
97,2025-09-08,200.1,202.0,197.1,198.39,-1.79,"58,381.00","11,624,100.10"
98,2025-09-07,205.0,205.0,201.2,202.0,-0.81,"39,348.00","7,999,533.90"
99,2025-09-04,199.4,205.0,199.4,203.65,0.1,"57,595.00","11,652,956.10"
100,2025-09-03,207.6,207.6,203.2,203.44,-0.05,"57,793.00","11,809,117.50"
101,2025-09-02,209.0,209.0,203.2,203.54,-0.67,"34,770.00","7,098,530.90"
102,2025-09-01,208.9,208.9,204.2,204.91,-0.4,"41,369.00","8,496,306.20"
