S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,392.00,400.90,389.10,394.40,0.33,"5,976.00","2,366,300.60"
2,2026-02-26,391.0,399.5,391.0,393.1,0.49,"7,925.00","3,119,193.30"
3,2026-02-25,398.0,400.0,391.1,391.2,-1.66,"7,314.00","2,883,323.70"
4,2026-02-24,390.0,399.0,390.0,397.8,2.0,"2,544.00","1,004,817.70"
5,2026-02-23,395.0,399.0,390.0,390.0,-1.27,"7,573.00","2,967,200.00"
6,2026-02-22,397.0,400.0,391.1,395.0,-1.62,"5,086.00","2,008,766.50"
7,2026-02-17,415.0,415.0,399.0,401.5,-3.25,"19,012.00","7,741,456.00"
8,2026-02-16,413.0,421.2,408.0,415.0,2.47,"38,842.00","16,101,215.80"
9,2026-02-12,399.0,405.0,391.1,405.0,1.5,"23,323.00","9,303,589.00"
10,2026-02-11,390.1,400.0,388.0,399.0,1.01,"12,824.00","5,042,896.70"
11,2026-02-10,392.0,405.0,392.0,395.0,-1.0,"6,989.00","2,786,012.90"
12,2026-02-09,410.0,414.9,390.1,399.0,-2.44,"29,831.00","11,811,941.80"
13,2026-02-08,405.0,420.0,404.0,409.0,0.99,"24,623.00","10,134,074.10"
14,2026-02-05,391.0,410.0,391.0,405.0,2.53,"23,871.00","9,575,027.90"
15,2026-02-04,400.0,406.9,394.0,395.0,-1.25,"7,061.00","2,817,927.40"
16,2026-02-03,405.0,405.0,399.0,400.0,-0.99,"11,422.00","4,574,400.00"
17,2026-02-02,410.0,410.0,398.0,404.0,0.25,"7,747.00","3,106,990.50"
18,2026-02-01,405.0,409.0,400.0,403.0,-1.71,"11,779.00","4,759,372.60"
19,2026-01-29,414.0,420.0,406.1,410.0,0.51,"24,647.00","10,122,727.60"
20,2026-01-28,414.0,414.0,394.3,407.9,0.47,"14,634.00","5,895,350.20"
21,2026-01-27,414.0,422.2,402.0,406.0,-2.87,"33,897.00","13,881,520.20"
22,2026-01-26,424.0,425.0,409.0,418.0,-1.62,"26,472.00","11,014,677.50"
23,2026-01-25,407.0,425.0,403.0,424.9,5.7,"32,395.00","13,363,837.70"
24,2026-01-22,403.9,405.0,397.0,402.0,0.22,"8,257.00","3,296,252.10"
25,2026-01-21,414.0,414.0,401.1,401.1,-1.18,"15,597.00","6,305,393.00"
26,2026-01-20,403.8,410.8,396.0,405.9,1.73,"22,573.00","9,157,826.00"
27,2026-01-18,392.0,402.9,391.1,399.0,1.04,"12,012.00","4,780,412.00"
28,2026-01-14,398.0,402.7,390.1,394.9,-0.03,"11,159.00","4,401,560.40"
29,2026-01-13,383.1,398.0,380.5,395.0,1.8,"20,434.00","8,030,111.60"
30,2026-01-12,385.1,389.9,383.1,388.0,-0.51,"12,835.00","4,944,092.00"
31,2026-01-08,390.0,391.0,384.0,390.0,0.03,"6,408.00","2,473,252.00"
