S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,290.00,295.00,285.00,288.20,-0.52,"167,655.00","48,772,619.20"
2,2026-02-05,285.0,292.7,281.0,289.7,3.32,"227,346.00","65,660,492.50"
3,2026-02-03,284.1,292.0,283.0,286.0,-1.31,"136,777.00","39,111,881.50"
4,2026-02-02,299.0,299.0,286.5,289.8,-1.43,"221,504.00","64,029,097.60"
5,2026-02-01,304.0,304.0,291.2,294.0,-1.67,"152,683.00","45,088,476.20"
6,2026-01-29,295.0,310.0,290.0,299.0,3.1,"524,557.00","157,689,282.40"
7,2026-01-28,288.0,294.7,279.0,290.0,2.47,"267,885.00","76,602,698.80"
8,2026-01-27,294.0,296.5,280.0,283.0,-2.08,"309,288.00","89,616,870.60"
9,2026-01-26,295.0,297.0,284.0,289.0,-0.21,"345,166.00","99,880,048.50"
10,2026-01-25,271.0,293.1,266.5,289.6,8.67,"532,218.00","150,481,041.90"
11,2026-01-22,271.0,271.0,264.1,266.5,0.23,"137,598.00","36,697,454.10"
12,2026-01-21,265.1,270.0,263.0,265.9,0.72,"151,267.00","40,291,637.90"
13,2026-01-20,266.0,270.0,263.0,264.0,-0.34,"144,302.00","38,485,015.20"
14,2026-01-18,266.0,271.0,262.9,264.9,-0.41,"128,615.00","34,234,215.70"
15,2026-01-14,262.0,272.0,260.0,266.0,3.3,"209,519.00","55,973,590.40"
16,2026-01-13,251.5,260.5,249.7,257.5,1.18,"226,200.00","58,024,570.80"
17,2026-01-12,259.79,262.0,251.0,254.5,-2.83,"189,527.00","48,427,968.00"
18,2026-01-08,259.0,264.0,259.0,261.9,-0.72,"83,992.00","21,912,101.10"
19,2026-01-07,260.0,269.0,260.0,263.8,0.69,"60,333.00","15,889,877.60"
20,2026-01-06,260.0,271.0,260.0,262.0,-0.61,"93,916.00","25,010,035.40"
21,2026-01-05,259.0,267.0,258.8,263.6,1.0,"95,663.00","25,148,481.40"
22,2026-01-04,269.0,269.0,259.0,261.0,-1.51,"107,995.00","28,232,736.10"
23,2026-01-01,270.0,272.0,265.0,265.0,-1.85,"75,170.00","20,078,486.10"
24,2025-12-31,270.0,273.0,266.0,270.0,0.75,"115,221.00","30,938,564.10"
25,2025-12-29,271.5,274.4,267.5,268.0,-1.11,"34,402.00","9,262,229.72"
26,2025-12-28,272.0,275.0,267.0,271.0,0.48,"78,242.00","21,201,133.40"
27,2025-12-24,274.0,274.0,268.0,269.7,-0.37,"87,395.00","23,566,902.30"
28,2025-12-23,269.0,273.0,268.6,270.7,-1.17,"53,156.00","14,381,218.20"
29,2025-12-22,275.0,277.9,271.5,273.9,-1.12,"85,598.00","23,431,292.40"
30,2025-12-21,267.0,278.4,266.1,277.0,3.67,"161,103.00","44,045,539.30"
31,2025-12-18,277.0,277.0,265.0,267.2,-1.73,"99,104.00","26,616,579.60"
32,2025-12-17,265.0,274.3,265.0,271.9,0.78,"84,618.00","22,962,373.30"
33,2025-12-16,272.0,272.0,267.2,269.8,0.56,"58,026.00","15,604,298.30"
34,2025-12-15,266.6,277.0,265.5,268.3,-1.36,"79,273.00","21,226,947.40"
35,2025-12-14,275.0,278.2,270.4,272.0,-1.34,"74,215.00","20,278,923.10"
36,2025-12-11,276.0,278.5,275.1,275.7,-0.79,"76,022.00","21,008,621.20"
37,2025-12-10,279.0,281.9,275.4,277.9,-0.32,"94,200.00","26,113,138.70"
38,2025-12-09,275.1,281.0,274.2,278.8,1.57,"72,663.00","20,197,944.00"
39,2025-12-08,276.0,279.9,273.0,274.5,-0.18,"155,400.00","42,974,347.00"
40,2025-12-07,282.3,282.4,273.5,275.0,-3.71,"147,567.00","40,857,182.50"
41,2025-12-03,292.0,294.9,284.2,285.6,-2.19,"97,931.00","28,210,967.20"
42,2025-12-02,280.0,293.0,274.4,292.0,6.18,"218,291.00","62,190,711.70"
43,2025-12-01,283.0,283.0,274.0,275.0,-0.9,"111,562.00","30,849,908.70"
44,2025-11-30,290.0,290.0,277.5,277.5,-3.31,"236,476.00","66,902,929.40"
45,2025-11-27,294.0,294.0,285.0,287.0,-1.2,"147,786.00","42,525,340.60"
46,2025-11-26,299.0,299.0,285.2,290.5,-1.19,"203,190.00","58,876,268.80"
47,2025-11-25,299.0,299.0,292.0,294.0,-0.68,"92,971.00","27,408,909.40"
48,2025-11-24,290.0,299.9,289.0,296.0,1.75,"212,838.00","62,586,845.40"
49,2025-11-23,308.7,308.7,283.5,290.9,-7.65,"1,186,078.00","347,803,826.40"
50,2025-11-20,329.0,329.0,312.0,315.0,-2.48,"42,988.00","13,591,336.00"
51,2025-11-19,340.0,340.0,322.0,323.0,-3.58,"32,172.00","10,485,049.80"
52,2025-11-18,338.0,343.5,331.4,335.0,-0.89,"25,787.00","8,660,913.30"
53,2025-11-17,335.0,340.4,330.0,338.0,0.84,"25,497.00","8,508,510.50"
54,2025-11-16,347.0,348.9,335.2,335.2,-5.23,"18,285.00","6,219,188.00"
55,2025-11-13,354.0,361.0,346.8,353.7,-2.02,"10,931.00","3,813,970.00"
56,2025-11-12,352.1,361.0,346.0,361.0,1.12,"11,437.00","4,035,845.60"
57,2025-11-11,361.8,365.0,356.1,357.0,-3.28,"13,219.00","4,741,096.90"
58,2025-11-10,360.0,373.0,354.9,369.1,0.85,"31,740.00","11,375,385.90"
59,2025-11-09,375.0,375.0,362.0,366.0,-4.14,"7,340.00","2,704,709.00"
60,2025-11-06,393.7,393.7,366.2,381.8,-1.6,"19,053.00","7,164,946.30"
61,2025-11-05,370.0,395.7,350.2,388.0,4.58,"20,689.00","7,636,395.20"
62,2025-11-04,374.0,394.0,370.0,371.0,-1.46,"12,375.00","4,623,819.90"
63,2025-11-03,395.0,395.0,372.1,376.5,-4.68,"33,780.00","12,786,604.30"
64,2025-11-02,377.4,395.0,373.0,395.0,4.66,"41,814.00","16,117,111.80"
65,2025-10-30,352.8,377.4,346.0,377.4,9.08,"44,384.00","16,113,322.60"
66,2025-10-29,344.0,372.0,339.0,346.0,2.06,"20,070.00","7,018,813.00"
67,2025-10-28,332.6,352.0,332.6,339.0,0.0,"10,618.00","3,663,103.40"
68,2025-10-26,337.0,348.9,318.0,339.0,-0.88,"5,006.00","1,679,716.80"
69,2025-10-19,341.1,345.0,335.1,342.0,-1.47,"3,625.00","1,230,100.70"
70,2025-10-16,347.0,358.0,326.8,347.1,-1.95,"5,860.00","2,012,644.60"
71,2025-10-15,354.0,381.4,340.1,354.0,-1.67,"14,936.00","5,228,171.60"
72,2025-10-14,381.0,381.0,347.0,360.0,-4.0,"14,639.00","5,267,194.00"
73,2025-10-13,360.1,380.4,360.1,375.0,2.18,"3,555.00","1,313,464.00"
74,2025-10-12,397.0,397.0,366.0,367.0,-5.9,"14,377.00","5,352,801.80"
75,2025-10-09,383.0,405.9,380.0,390.0,3.67,"12,566.00","4,890,031.90"
76,2025-10-08,390.0,391.0,368.0,376.2,-2.01,"32,510.00","12,320,654.80"
77,2025-10-07,390.1,392.0,375.0,383.9,-2.79,"6,214.00","2,367,602.90"
78,2025-09-28,404.0,404.0,391.0,394.9,-0.53,"3,292.00","1,307,589.80"
79,2025-09-25,395.0,401.0,391.0,397.0,0.76,"2,330.00","916,622.00"
80,2025-09-24,415.0,415.0,394.0,394.0,-3.19,"7,118.00","2,841,145.50"
81,2025-09-23,394.0,420.0,394.0,407.0,2.87,"7,630.00","3,102,023.30"
82,2025-09-21,370.0,403.0,370.0,395.64,5.96,"14,780.00","5,760,842.00"
83,2025-09-18,381.0,381.0,373.4,373.4,-3.82,215.00,"80,357.00"
84,2025-09-08,395.0,400.1,386.3,388.25,-3.51,"10,930.00","4,262,949.50"
85,2025-09-07,400.0,408.5,394.6,402.36,0.42,"5,452.00","2,195,463.00"
86,2025-09-04,412.0,415.3,376.8,400.68,-1.61,"65,914.00","25,317,825.20"
87,2025-09-03,418.0,420.0,406.7,407.22,-3.08,"9,083.00","3,751,626.60"
88,2025-09-02,435.0,436.5,418.0,420.16,-4.18,"11,908.00","5,092,803.50"
89,2025-09-01,433.0,444.0,433.0,438.5,0.47,"7,058.00","3,094,944.50"
90,2025-08-31,465.8,465.8,432.2,436.45,-4.44,"10,316.00","4,588,908.40"
91,2025-08-28,455.5,468.1,455.5,456.72,-1.14,"6,627.00","3,049,533.40"
92,2025-08-27,458.5,464.1,451.0,461.97,2.5,"7,859.00","3,610,979.00"
93,2025-08-26,471.9,471.9,450.1,450.7,-2.59,"9,317.00","4,234,838.50"
94,2025-08-25,471.0,471.0,460.8,462.68,-1.86,"13,033.00","6,059,589.60"
95,2025-08-24,482.0,482.0,470.5,471.44,-2.36,"7,013.00","3,327,416.50"
96,2025-08-21,485.1,489.0,479.0,482.84,-1.72,"7,052.00","3,413,753.10"
97,2025-08-20,480.1,496.0,480.0,491.3,1.54,"9,135.00","4,456,930.10"
98,2025-08-19,477.0,486.0,477.0,483.87,0.06,"6,895.00","3,332,959.70"
99,2025-08-18,490.0,497.6,475.0,483.58,0.48,"5,233.00","2,517,652.80"
100,2025-08-17,495.0,495.0,480.0,481.26,-0.92,"11,273.00","5,435,770.40"
101,2025-08-14,481.2,490.0,481.2,485.73,-0.48,"4,879.00","2,371,712.50"
