S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,379.00,389.00,375.00,386.00,2.93,"89,956.00","34,573,083.30"
2,2026-02-04,379.80,380.00,372.10,375.00,0.11,"28,846.00","10,830,962.10"
3,2026-02-03,378.0,380.0,372.0,374.6,-0.64,"63,414.00","23,860,623.30"
4,2026-02-02,375.0,377.5,372.0,377.0,0.53,"67,071.00","25,127,412.00"
5,2026-02-01,378.0,385.0,372.0,375.0,-2.34,"39,455.00","14,835,679.80"
6,2026-01-29,381.0,393.0,379.0,384.0,1.05,"147,778.00","57,092,938.20"
7,2026-01-28,358.0,382.0,349.0,380.0,4.97,"137,408.00","50,735,788.20"
8,2026-01-27,376.3,376.3,353.0,362.0,-3.47,"114,736.00","41,927,467.00"
9,2026-01-26,370.0,377.0,365.0,375.0,1.93,"97,946.00","36,126,347.10"
10,2026-01-25,374.0,374.0,365.0,367.9,-0.16,"46,621.00","17,142,241.00"
11,2026-01-22,364.0,371.0,364.0,368.5,0.14,"44,597.00","16,331,531.80"
12,2026-01-21,356.1,374.0,354.3,368.0,2.85,"69,019.00","25,104,859.20"
13,2026-01-20,354.0,359.9,354.0,357.8,1.71,"47,156.00","16,802,706.20"
14,2026-01-18,348.0,352.9,346.3,351.8,1.24,"29,820.00","10,451,168.10"
15,2026-01-14,341.2,353.0,341.2,347.5,0.14,"22,857.00","7,915,610.90"
16,2026-01-13,345.0,350.0,341.0,347.0,0.84,"21,814.00","7,537,685.60"
17,2026-01-12,345.0,351.0,344.1,344.1,-1.57,"21,228.00","7,357,875.20"
18,2026-01-08,345.0,349.7,343.0,349.6,1.33,"21,892.00","7,583,606.10"
19,2026-01-07,347.0,354.9,345.0,345.0,-1.43,"16,681.00","5,797,770.40"
20,2026-01-06,355.0,357.9,348.4,350.0,-0.85,"27,922.00","9,817,276.40"
21,2026-01-05,356.9,356.9,350.0,353.0,0.71,"45,768.00","16,122,804.40"
22,2026-01-04,345.0,354.9,342.0,350.5,0.72,"42,621.00","14,885,619.10"
23,2026-01-01,347.1,351.0,341.2,348.0,-0.51,"30,700.00","10,619,586.10"
24,2025-12-31,355.9,355.9,346.5,349.8,-0.06,"36,067.00","12,629,483.40"
25,2025-12-29,350.0,355.7,349.0,350.0,0.32,"77,097.00","27,097,867.70"
26,2025-12-28,344.7,350.8,338.0,348.9,3.22,"74,762.00","25,880,623.60"
27,2025-12-24,341.0,343.9,335.2,338.0,-0.94,"18,350.00","6,218,212.20"
28,2025-12-23,335.0,341.7,332.0,341.2,1.58,"29,830.00","10,034,614.60"
29,2025-12-22,331.1,340.0,331.1,335.9,-0.33,"24,594.00","8,227,701.40"
30,2025-12-21,342.2,346.0,336.3,337.0,-2.77,"26,705.00","9,079,945.10"
31,2025-12-18,334.3,351.9,334.3,346.6,2.24,"125,352.00","43,445,858.90"
32,2025-12-17,335.0,344.0,335.0,339.0,0.89,"60,144.00","20,479,000.50"
33,2025-12-16,334.0,339.9,330.3,336.0,1.36,"43,843.00","14,730,986.00"
34,2025-12-15,331.0,334.9,329.0,331.5,0.0,"40,935.00","13,539,444.30"
35,2025-12-14,338.0,338.0,330.2,331.5,-1.89,"37,877.00","12,655,692.00"
36,2025-12-11,335.3,342.0,335.3,337.9,-0.62,"34,027.00","11,530,801.20"
37,2025-12-10,338.0,341.1,333.1,340.0,1.8,"75,412.00","25,391,494.20"
38,2025-12-09,326.4,335.8,323.1,334.0,4.38,"73,791.00","24,489,296.00"
39,2025-12-08,320.5,327.9,316.6,320.0,-1.08,"34,868.00","11,127,007.60"
40,2025-12-07,320.0,328.6,318.1,323.5,-0.8,"26,529.00","8,552,232.90"
41,2025-12-03,335.1,337.4,326.1,326.1,-2.51,"17,286.00","5,696,673.20"
42,2025-12-02,335.0,339.4,327.3,334.5,0.51,"19,915.00","6,551,562.10"
43,2025-12-01,324.0,334.0,324.0,332.8,0.67,"22,564.00","7,448,142.90"
44,2025-11-30,348.9,348.9,330.0,330.6,-3.62,"42,439.00","14,174,665.00"
45,2025-11-27,346.0,346.0,338.0,343.0,0.0,"45,692.00","15,612,859.70"
46,2025-11-26,340.0,344.0,334.3,343.0,0.97,"34,554.00","11,734,005.50"
47,2025-11-25,344.9,344.9,334.5,339.7,-0.09,"30,931.00","10,432,175.40"
48,2025-11-24,333.2,345.0,333.2,340.0,0.0,"29,839.00","10,189,510.10"
49,2025-11-23,340.6,346.4,337.8,340.0,1.8,"43,455.00","14,825,372.30"
50,2025-11-20,320.3,335.0,320.0,334.0,2.9,"49,710.00","16,364,878.00"
51,2025-11-19,326.0,327.0,322.0,324.6,-0.58,"17,445.00","5,645,240.00"
52,2025-11-18,331.6,331.6,323.2,326.5,0.15,"22,737.00","7,417,002.60"
53,2025-11-17,316.0,326.1,316.0,326.0,1.59,"18,074.00","5,845,567.50"
54,2025-11-16,330.0,330.0,315.0,320.9,-0.96,"30,473.00","9,759,054.70"
55,2025-11-13,316.0,328.0,316.0,324.0,1.89,"21,161.00","6,822,176.20"
56,2025-11-12,322.0,324.0,318.0,318.0,-1.24,"20,936.00","6,708,196.40"
57,2025-11-11,324.0,324.3,315.1,322.0,1.26,"8,765.00","2,818,294.70"
58,2025-11-10,317.9,321.0,311.3,318.0,0.32,"19,697.00","6,200,924.70"
59,2025-11-09,323.4,328.8,315.7,317.0,-3.91,"18,341.00","5,864,350.70"
60,2025-11-06,328.0,329.9,324.0,329.9,1.2,"19,880.00","6,458,307.00"
61,2025-11-05,323.1,329.0,321.1,326.0,-0.37,"34,433.00","11,234,512.50"
62,2025-11-04,325.3,335.4,322.2,327.2,-1.42,"26,960.00","8,870,133.10"
63,2025-11-03,327.1,332.9,322.0,331.9,1.19,"42,951.00","14,018,490.00"
64,2025-11-02,315.0,328.0,306.0,328.0,5.98,"52,310.00","16,770,015.20"
