S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,281.00,284.70,277.10,280.50,0.18,"34,103.00","9,539,126.80"
2,2026-02-10,274.0,284.9,274.0,280.0,0.72,"56,222.00","15,796,960.80"
3,2026-02-09,278.2,284.9,276.0,278.0,-1.07,"41,635.00","11,613,675.60"
4,2026-02-08,285.0,295.0,280.4,281.0,-1.4,"43,262.00","12,388,603.70"
5,2026-02-05,277.0,288.0,277.0,285.0,1.79,"64,251.00","18,301,018.30"
6,2026-02-04,277.0,282.5,275.3,280.0,1.05,"54,168.00","15,083,558.00"
7,2026-02-03,288.6,288.6,276.5,277.1,-2.08,"60,079.00","16,846,213.20"
8,2026-02-02,285.0,290.0,281.4,283.0,-1.39,"89,638.00","25,659,363.90"
9,2026-02-01,290.0,292.0,285.0,287.0,-1.71,"27,176.00","7,813,501.70"
10,2026-01-29,294.0,304.9,287.3,292.0,1.04,"204,562.00","60,680,280.80"
11,2026-01-28,281.2,289.0,275.0,289.0,1.76,"109,632.00","30,781,132.60"
12,2026-01-27,294.5,299.0,281.3,284.0,-2.04,"75,361.00","21,828,652.10"
13,2026-01-26,293.7,294.0,283.6,289.9,-0.38,"74,347.00","21,490,413.70"
14,2026-01-25,280.0,292.0,280.0,291.0,3.52,"82,032.00","23,680,702.90"
15,2026-01-22,279.0,282.6,276.0,281.1,0.75,"34,649.00","9,685,523.50"
16,2026-01-21,271.2,284.9,271.2,279.0,0.83,"48,869.00","13,626,381.00"
17,2026-01-20,276.0,283.0,273.2,276.7,1.36,"75,944.00","21,259,254.90"
18,2026-01-18,270.3,276.0,270.3,273.0,1.11,"31,975.00","8,722,384.30"
19,2026-01-14,274.1,275.0,269.5,270.0,-2.21,"42,160.00","11,457,971.60"
20,2026-01-13,288.2,288.2,271.0,276.1,-6.09,"50,927.00","14,057,072.60"
21,2026-01-12,268.3,296.0,268.1,294.0,8.53,"59,995.00","16,290,068.70"
22,2026-01-08,267.3,271.0,267.3,270.9,0.33,"18,965.00","5,106,413.40"
23,2026-01-07,277.7,277.7,268.0,270.0,-1.64,"19,966.00","5,389,233.10"
24,2026-01-06,268.1,277.6,268.1,274.5,0.92,"33,788.00","9,266,652.70"
25,2026-01-05,269.0,272.0,268.0,272.0,1.04,"26,653.00","7,180,228.50"
26,2026-01-04,270.0,272.0,266.6,269.2,-1.03,"14,306.00","3,861,469.50"
27,2026-01-01,269.2,274.0,269.2,272.0,0.0,"15,797.00","4,289,371.80"
28,2025-12-31,269.0,274.9,269.0,272.0,-0.33,"21,052.00","5,732,782.00"
29,2025-12-29,277.0,277.0,270.1,272.9,-0.37,"19,859.00","5,410,484.70"
30,2025-12-28,268.8,275.0,268.8,273.9,1.9,"24,561.00","6,691,324.00"
31,2025-12-24,266.1,270.0,266.0,268.8,-0.04,"17,872.00","4,774,134.50"
32,2025-12-23,271.5,271.5,265.3,268.9,1.01,"17,571.00","4,680,948.90"
33,2025-12-22,268.0,270.0,265.6,266.2,-1.41,"26,695.00","7,127,090.80"
34,2025-12-21,268.2,272.5,267.2,270.0,-0.74,"28,500.00","7,664,122.30"
35,2025-12-18,271.7,275.0,270.1,272.0,-1.09,"26,835.00","7,312,719.30"
36,2025-12-17,272.1,277.5,272.1,275.0,0.36,"19,153.00","5,262,146.00"
37,2025-12-16,273.9,275.0,272.2,274.0,0.04,"20,431.00","5,584,198.40"
38,2025-12-15,272.1,275.0,272.1,273.9,0.29,"19,499.00","5,330,848.20"
39,2025-12-14,275.7,280.0,273.0,273.1,-0.94,"23,420.00","6,444,881.40"
40,2025-12-11,277.0,280.0,275.7,275.7,-0.51,"22,699.00","6,286,394.90"
41,2025-12-10,278.5,280.5,275.2,277.1,-1.21,"19,656.00","5,452,804.00"
42,2025-12-09,280.0,284.2,276.0,280.5,0.61,"31,645.00","8,845,452.90"
43,2025-12-08,275.3,291.0,275.3,278.8,0.32,"47,159.00","13,228,375.40"
44,2025-12-07,285.0,286.0,276.0,277.9,-2.15,"63,048.00","17,636,454.10"
45,2025-12-03,295.0,318.0,284.0,284.0,-2.07,"79,463.00","23,105,953.50"
46,2025-12-02,267.0,293.7,267.0,290.0,8.61,"267,129.00","76,260,296.10"
