S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,663.00,663.00,650.00,654.90,0.29,"3,547.00","2,314,346.10"
2,2026-02-24,649.00,656.00,645.20,653.00,0.62,"2,926.00","1,901,820.30"
3,2026-02-23,649.20,658.80,649.00,649.00,0.0,"2,899.00","1,885,584.10"
4,2026-02-22,650.10,654.00,645.00,649.00,-1.67,"7,259.00","4,702,516.40"
5,2026-02-17,654.00,667.00,650.00,660.00,0.92,"5,153.00","3,363,369.10"
6,2026-02-16,658.10,670.00,654.00,654.00,-0.46,"17,022.00","11,209,779.40"
7,2026-02-12,665.00,668.00,656.00,657.00,-1.2,"16,906.00","11,184,509.20"
8,2026-02-11,670.00,679.00,656.00,665.00,0.9,"8,386.00","5,530,624.80"
9,2026-02-10,656.00,670.00,656.00,659.10,-1.18,"10,708.00","7,093,661.20"
10,2026-02-09,665.10,677.00,659.00,667.00,-0.45,"20,351.00","13,601,792.50"
11,2026-02-08,679.10,679.10,670.00,670.00,-0.16,"15,547.00","10,462,118.30"
12,2026-02-05,667.20,677.90,667.20,671.10,0.01,"7,709.00","5,173,323.30"
13,2026-02-04,675.00,675.00,663.00,671.00,1.02,"12,521.00","8,355,876.80"
14,2026-02-03,663.00,674.90,660.00,664.20,0.03,"13,418.00","8,932,991.10"
15,2026-02-02,670.00,670.00,661.00,664.00,-0.58,"7,695.00","5,102,630.40"
16,2026-02-01,680.00,680.00,662.10,667.90,-0.09,"10,175.00","6,762,173.90"
17,2026-01-29,677.00,681.00,667.00,668.50,-1.11,"26,026.00","17,561,363.60"
18,2026-01-28,673.00,680.00,661.00,676.00,0.9,"9,992.00","6,708,297.60"
19,2026-01-27,673.10,684.00,670.00,670.00,-1.76,"13,955.00","9,428,660.90"
20,2026-01-26,680.00,689.90,673.00,682.00,-0.15,"27,394.00","18,636,306.80"
21,2026-01-25,687.00,687.00,675.00,683.00,1.19,"13,941.00","9,508,744.10"
22,2026-01-22,670.00,676.00,667.00,675.00,1.05,"12,444.00","8,356,928.50"
23,2026-01-21,671.00,676.00,665.00,668.00,-0.15,"11,114.00","7,434,679.00"
24,2026-01-20,675.00,678.00,667.10,669.00,0.6,"22,592.00","15,214,416.30"
25,2026-01-18,673.00,673.00,660.00,665.00,0.76,"13,344.00","8,873,825.90"
26,2026-01-14,670.00,670.00,657.00,660.00,0.46,"11,062.00","7,320,884.40"
27,2026-01-13,667.00,668.00,656.00,657.00,0.15,"12,019.00","7,943,207.40"
28,2026-01-12,679.50,681.30,656.00,656.00,-1.8,"23,160.00","15,391,808.10"
29,2026-01-08,658.00,680.00,658.00,668.00,-0.3,"9,636.00","6,410,775.40"
30,2026-01-07,671.00,680.00,665.00,670.00,-0.74,"18,198.00","12,165,474.10"
31,2026-01-06,722.30,722.30,663.30,675.00,-8.41,"140,080.00","95,021,786.30"
32,2026-01-05,661.00,737.00,661.00,737.00,10.0,"31,821.00","21,585,929.00"
33,2026-01-04,665.10,678.00,665.00,670.00,-0.07,"11,991.00","8,050,478.80"
34,2026-01-01,670.00,682.00,668.00,670.50,0.07,"7,364.00","4,932,114.20"
35,2025-12-31,687.00,694.00,668.00,670.00,-2.47,"45,809.00","30,945,480.70"
36,2025-12-29,704.80,704.90,678.00,687.00,-1.15,"5,540.00","3,792,336.80"
37,2025-12-28,667.00,695.00,666.00,695.00,5.16,"16,668.00","11,277,318.30"
38,2025-12-24,720.00,737.00,720.00,727.00,-0.38,"18,045.00","13,106,306.00"
39,2025-12-23,717.00,734.00,717.00,729.80,-0.01,"6,538.00","4,751,972.60"
40,2025-12-22,721.00,734.00,718.00,729.90,0.27,"7,089.00","5,123,757.60"
41,2025-12-21,737.00,737.00,720.00,727.90,0.69,"15,178.00","11,042,647.50"
42,2025-12-18,721.00,725.00,716.50,722.90,-0.56,"9,042.00","6,521,892.70"
43,2025-12-17,720.10,727.00,720.10,727.00,0.0,"5,005.00","3,625,366.00"
44,2025-12-16,725.00,730.00,718.10,727.00,0.17,"4,533.00","3,280,473.30"
45,2025-12-15,715.00,729.00,715.00,725.80,0.81,"6,856.00","4,942,122.80"
46,2025-12-14,720.00,733.90,715.50,720.00,-0.3,"18,258.00","13,196,548.00"
47,2025-12-11,714.50,734.00,714.50,722.20,-0.93,"5,066.00","3,672,911.80"
48,2025-12-10,717.20,736.40,717.20,729.00,-0.38,"6,259.00","4,561,117.10"
49,2025-12-09,724.00,735.90,722.00,731.80,0.45,"9,301.00","6,789,404.80"
50,2025-12-08,745.00,745.00,724.00,728.50,-0.48,"6,608.00","4,815,328.80"
51,2025-12-07,740.00,748.00,732.00,732.00,-1.08,"10,645.00","7,849,717.00"
52,2025-12-03,733.50,750.00,733.50,740.00,-1.07,"11,055.00","8,213,896.20"
53,2025-12-02,746.00,750.00,741.20,748.00,0.27,"8,482.00","6,309,501.10"
54,2025-12-01,746.20,751.90,740.10,746.00,-0.86,"9,884.00","7,359,284.10"
55,2025-11-30,745.00,764.00,745.00,752.50,-0.99,"18,508.00","13,919,314.70"
56,2025-11-27,750.00,760.00,745.00,760.00,1.74,"16,583.00","12,444,579.50"
57,2025-11-26,725.60,765.00,725.60,747.00,0.89,"6,370.00","4,748,910.20"
58,2025-11-25,733.10,761.00,733.10,740.40,-1.02,"11,805.00","8,791,952.60"
59,2025-11-24,747.00,755.00,747.00,748.00,-1.44,"16,306.00","12,225,197.90"
60,2025-11-23,743.00,758.90,743.00,758.90,0.13,"12,803.00","9,651,852.40"
61,2025-11-20,742.00,786.00,742.00,757.90,0.12,"13,505.00","10,201,959.20"
62,2025-11-19,750.10,759.80,750.00,757.00,0.54,"22,235.00","16,710,125.00"
63,2025-11-18,751.00,760.00,742.00,752.90,0.25,"55,900.00","41,945,950.50"
64,2025-11-17,736.00,754.00,736.00,751.00,0.0,"24,836.00","18,524,464.40"
65,2025-11-16,813.40,813.40,747.00,751.00,-9.52,"47,287.00","35,532,332.70"
66,2025-11-13,740.10,830.00,740.00,830.00,9.96,"77,482.00","58,024,368.00"
67,2025-11-12,740.10,754.80,736.00,754.80,-0.05,"17,764.00","13,170,164.90"
68,2025-11-11,747.00,765.00,745.00,755.20,-0.62,"14,688.00","11,097,652.20"
69,2025-11-10,813.40,813.40,749.30,759.90,-8.45,"51,255.00","38,811,498.80"
70,2025-11-09,740.00,830.00,740.00,830.00,9.93,"29,757.00","22,433,037.30"
71,2025-11-06,755.00,760.00,745.00,755.00,1.18,"18,367.00","13,843,536.40"
72,2025-11-05,730.00,757.00,730.00,746.20,0.3,"17,553.00","13,147,689.60"
73,2025-11-04,737.00,760.00,720.10,744.00,1.85,"56,036.00","41,352,090.90"
74,2025-11-03,727.00,733.00,715.00,730.50,0.48,"44,081.00","32,026,592.50"
75,2025-11-02,725.00,735.00,724.00,727.00,0.85,"6,775.00","4,934,799.30"
76,2025-10-30,705.00,725.00,702.10,720.90,3.7,"8,856.00","6,356,754.00"
77,2025-10-29,705.00,737.00,695.10,695.20,-2.24,"7,693.00","5,553,408.40"
78,2025-10-28,690.00,725.10,690.00,711.10,1.73,"7,768.00","5,544,312.70"
79,2025-10-26,695.00,714.90,681.20,699.00,-1.12,"4,483.00","3,141,161.90"
80,2025-10-19,694.00,717.00,677.40,706.90,2.46,"4,886.00","3,376,420.90"
81,2025-10-16,687.00,700.00,686.10,689.90,-1.44,"5,058.00","3,499,118.40"
82,2025-10-15,711.50,711.90,685.00,700.00,-1.62,"6,673.00","4,642,903.70"
83,2025-10-14,711.00,720.00,707.00,711.50,-1.18,"2,218.00","1,572,582.70"
84,2025-10-13,710.00,720.00,697.10,720.00,0.59,"22,318.00","15,860,190.30"
85,2025-10-12,723.00,729.30,696.00,715.80,-2.93,"8,753.00","6,174,392.50"
86,2025-10-09,739.00,753.00,715.00,737.40,1.72,"16,627.00","12,201,027.60"
87,2025-10-08,736.00,747.00,703.20,724.90,-1.11,"9,919.00","7,090,615.00"
88,2025-10-07,711.00,733.00,711.00,733.00,1.03,"10,955.00","7,931,120.60"
89,2025-09-28,733.90,733.90,720.00,725.50,0.82,"1,553.00","1,128,361.50"
90,2025-09-25,724.00,736.00,711.00,719.60,-0.06,"6,972.00","5,075,002.80"
91,2025-09-24,716.00,728.90,716.00,720.00,-0.83,"5,071.00","3,676,714.30"
92,2025-09-23,690.00,726.20,690.00,726.00,4.1,"8,028.00","5,723,388.80"
93,2025-09-21,640.00,706.00,640.00,697.43,7.3,"10,739.00","7,314,259.10"
94,2025-09-18,695.90,695.90,650.00,650.00,-8.46,"1,036.00","687,518.00"
