S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,834.00,850.00,818.10,820.00,-2.96,"39,146.00","32,509,813.10"
2,2026-02-16,835.00,856.00,820.5,845.00,1.2,"35,349.00","29,880,286.70"
3,2026-02-12,820.00,850.00,811.0,835.00,1.75,"63,447.00","52,478,931.10"
4,2026-02-11,867.00,867.00,820.1,820.60,-3.46,"65,926.00","55,209,106.50"
5,2026-02-10,835.00,875.00,831.0,850.00,1.77,"50,349.00","42,843,988.80"
6,2026-02-09,847.70,875.00,835.0,835.20,-3.45,"67,711.00","57,621,964.00"
7,2026-02-08,885.00,900.00,860.1,865.00,-2.26,"73,955.00","64,482,159.40"
8,2026-02-05,890.00,910.00,874.2,885.00,-1.12,"68,209.00","60,552,260.50"
9,2026-02-04,925.00,930.00,875.0,895.00,-1.32,"68,799.00","61,389,626.90"
10,2026-02-03,970.00,978.90,890.0,907.00,-4.63,"105,327.00","97,584,575.80"
11,2026-02-02,855.00,951.00,855.0,951.00,9.94,"161,879.00","149,537,032.80"
12,2026-02-01,915.00,930.00,863.0,865.00,-5.46,"101,928.00","91,397,952.40"
13,2026-01-29,"1,014.50","1,015.00",915.0,915.00,-9.85,"214,100.00","205,434,950.70"
14,2026-01-28,995.0,"1,030.00",981.0,"1,015.00",2.01,"169,028.00","170,152,394.00"
15,2026-01-27,996.3,"1,060.00",990.0,995.0,1.86,"191,610.00","196,466,648.90"
16,2026-01-26,892.0,976.8,870.5,976.8,10.0,"374,180.00","347,699,530.40"
17,2026-01-25,865.0,924.9,861.2,888.0,2.9,"216,421.00","193,651,038.70"
18,2026-01-22,825.0,875.0,816.0,863.0,4.62,"220,656.00","185,718,138.70"
19,2026-01-21,825.0,833.0,817.0,824.9,0.11,"92,929.00","76,621,893.00"
20,2026-01-20,835.0,848.0,820.0,824.0,-0.36,"215,879.00","180,078,199.00"
21,2026-01-18,815.0,850.6,815.0,827.0,0.24,"176,620.00","147,263,723.20"
22,2026-01-14,838.0,855.0,812.0,825.0,-1.2,"116,172.00","96,925,158.30"
23,2026-01-13,830.0,845.0,806.0,835.0,0.6,"182,364.00","150,688,486.30"
24,2026-01-12,795.0,850.0,785.1,830.0,4.4,"247,910.00","203,820,456.00"
25,2026-01-08,721.0,800.0,721.0,795.0,8.16,"205,667.00","158,958,116.70"
26,2026-01-07,725.2,755.0,715.0,735.0,-0.68,"199,155.00","146,164,937.60"
27,2026-01-06,786.0,800.0,740.0,740.0,-5.61,"84,441.00","64,422,109.80"
28,2026-01-05,754.8,786.9,740.0,784.0,5.95,"151,257.00","116,276,766.30"
29,2026-01-04,677.9,740.0,671.1,740.0,9.16,"164,596.00","116,101,078.60"
30,2026-01-01,655.0,690.0,651.3,677.9,3.18,"109,174.00","73,831,023.80"
31,2025-12-31,640.0,659.8,640.0,657.0,1.86,"38,117.00","24,923,805.00"
32,2025-12-29,650.0,661.0,641.3,645.0,-0.77,"25,390.00","16,460,422.60"
33,2025-12-28,636.0,652.0,636.0,650.0,2.2,"32,022.00","20,737,814.00"
34,2025-12-24,631.0,648.0,631.0,636.0,-1.09,"23,230.00","14,862,617.60"
35,2025-12-23,623.0,644.0,623.0,643.0,2.54,"18,498.00","11,759,377.60"
36,2025-12-22,628.09,647.7,621.1,627.1,-1.24,"23,581.00","14,867,610.13"
37,2025-12-21,631.0,640.0,627.0,635.0,-1.09,"34,781.00","21,958,255.90"
38,2025-12-18,641.9,657.0,636.0,642.0,-1.98,"30,679.00","19,766,210.20"
39,2025-12-17,641.9,667.9,641.9,655.0,0.0,"35,349.00","23,325,110.40"
40,2025-12-16,632.0,660.0,631.0,655.0,2.34,"30,784.00","19,973,561.00"
41,2025-12-15,617.4,640.0,617.4,640.0,1.59,"40,023.00","25,231,257.90"
42,2025-12-14,637.0,647.0,630.0,630.0,-1.21,"31,643.00","20,114,895.60"
43,2025-12-11,635.9,674.0,635.9,637.7,-1.71,"30,132.00","19,358,987.10"
44,2025-12-10,656.6,705.0,645.0,648.8,-3.16,"36,568.00","24,137,337.50"
45,2025-12-09,668.4,688.9,665.0,670.0,-1.03,"22,570.00","15,222,927.20"
46,2025-12-08,660.0,682.0,660.0,677.0,0.59,"38,149.00","25,759,521.50"
47,2025-12-07,680.0,690.6,667.1,673.0,-2.89,"39,308.00","26,552,074.60"
48,2025-12-03,660.0,720.0,660.0,693.0,3.66,"112,755.00","78,285,035.60"
49,2025-12-02,640.0,676.0,640.0,668.5,4.45,"32,645.00","21,583,689.90"
50,2025-12-01,645.0,655.0,638.9,640.0,-1.54,"26,295.00","16,959,936.70"
51,2025-11-30,662.0,680.0,648.0,650.0,-2.69,"43,075.00","28,608,987.60"
52,2025-11-27,656.0,671.0,644.1,668.0,1.67,"32,111.00","21,242,106.30"
53,2025-11-26,639.0,665.0,638.0,657.0,1.23,"36,267.00","23,633,667.50"
54,2025-11-25,650.0,661.0,635.0,649.0,0.62,"43,294.00","27,914,249.30"
55,2025-11-24,626.3,664.0,626.3,645.0,0.94,"48,035.00","31,304,758.10"
56,2025-11-23,644.0,652.8,610.0,639.0,-0.78,"35,013.00","22,337,541.10"
57,2025-11-20,641.0,688.0,638.0,644.0,0.34,"68,012.00","45,346,502.40"
58,2025-11-19,571.9,641.8,571.9,641.8,9.99,"107,443.00","66,831,005.40"
59,2025-11-18,577.0,587.5,568.1,583.5,1.13,"10,074.00","5,870,211.00"
60,2025-11-17,570.0,579.9,566.0,577.0,0.96,"11,080.00","6,350,352.80"
61,2025-11-16,578.0,580.0,568.0,571.5,-1.47,"11,853.00","6,767,722.90"
62,2025-11-13,574.3,590.0,572.0,580.0,0.0,"8,451.00","4,895,312.00"
63,2025-11-12,582.0,590.0,580.0,580.0,-1.68,"10,479.00","6,112,549.00"
64,2025-11-11,573.0,599.0,568.1,589.9,2.95,"18,696.00","10,961,230.60"
65,2025-11-10,577.0,588.5,571.0,573.0,-0.69,"5,551.00","3,203,029.10"
66,2025-11-09,589.0,589.0,576.0,577.0,-2.15,"10,456.00","6,071,121.00"
