S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,392.50,408.00,392.50,400.00,0.00,"19,529.00","7,766,669.70"
2,2026-02-24,377.2,403.0,377.2,400.0,6.04,"26,003.00","10,192,614.80"
3,2026-02-23,376.3,388.6,375.0,377.2,-1.0,"31,341.00","11,896,017.70"
4,2026-02-22,387.0,389.0,380.0,381.0,-2.83,"33,026.00","12,625,928.00"
5,2026-02-17,401.1,401.1,390.0,392.1,-3.16,"43,608.00","17,182,177.90"
6,2026-02-16,418.2,418.3,393.1,404.9,-1.24,"46,424.00","18,644,657.30"
7,2026-02-12,407.5,420.0,407.0,410.0,-0.24,"42,400.00","17,456,032.20"
8,2026-02-11,430.9,430.9,408.3,411.0,-3.07,"27,422.00","11,350,252.70"
9,2026-02-10,421.0,437.0,419.0,424.0,2.19,"213,155.00","91,340,818.10"
10,2026-02-09,407.0,429.8,400.2,414.9,2.44,"186,317.00","78,599,263.20"
11,2026-02-08,406.7,423.3,403.1,405.0,-2.41,"44,947.00","18,427,921.10"
12,2026-02-05,414.5,428.0,413.0,415.0,-1.87,"38,824.00","16,156,924.60"
13,2026-02-04,409.8,434.0,407.0,422.9,1.15,"60,514.00","25,159,614.90"
14,2026-02-03,420.6,429.0,410.0,418.1,-2.56,"60,245.00","25,045,484.60"
15,2026-02-02,423.4,474.0,423.4,429.1,-0.67,"152,142.00","66,358,523.60"
16,2026-02-01,424.4,446.0,424.4,432.0,-0.23,"87,514.00","38,137,729.00"
17,2026-01-29,411.6,462.0,411.6,433.0,3.1,"148,789.00","65,618,286.90"
18,2026-01-28,427.6,433.5,417.0,420.0,-1.75,"55,518.00","23,554,603.70"
19,2026-01-27,443.0,448.0,417.1,427.5,-2.86,"89,220.00","38,323,016.90"
20,2026-01-26,418.5,451.0,411.6,440.1,6.56,"262,575.00","113,442,232.40"
21,2026-01-25,397.0,415.0,395.0,413.0,5.09,"109,144.00","44,496,881.50"
22,2026-01-22,380.0,401.0,380.0,393.0,1.92,"28,406.00","11,085,592.70"
23,2026-01-21,391.0,398.0,385.2,385.6,-2.31,"33,933.00","13,249,898.60"
24,2026-01-20,371.1,402.5,371.1,394.7,4.69,"49,092.00","19,233,185.50"
25,2026-01-18,370.3,382.0,370.3,377.0,0.4,"16,893.00","6,402,486.50"
26,2026-01-14,377.0,390.5,375.0,375.5,1.49,"44,509.00","16,990,166.20"
27,2026-01-13,367.0,382.7,361.0,370.0,0.03,"32,242.00","12,005,060.20"
28,2026-01-12,370.1,380.0,365.0,369.9,-0.86,"35,107.00","12,981,673.40"
29,2026-01-08,382.2,406.0,370.0,373.1,-0.51,"37,229.00","14,086,851.00"
30,2026-01-07,387.6,409.0,373.0,375.0,-1.32,"17,366.00","6,562,219.50"
31,2026-01-06,390.0,390.0,376.2,380.0,-1.25,"27,765.00","10,612,635.50"
32,2026-01-05,387.8,395.0,381.0,384.8,1.21,"29,506.00","11,364,200.20"
33,2026-01-04,385.1,393.0,378.0,380.2,-2.51,"34,605.00","13,196,238.60"
34,2026-01-01,395.0,429.0,388.0,390.0,-0.28,"74,194.00","29,166,745.00"
