S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,605.00,610.00,590.00,608.00,1.28,"10,365.00","6,241,156.40"
2,2026-02-26,611.00,611.00,600.00,600.30,-0.03,"4,094.00","2,465,494.60"
3,2026-02-25,618.00,618.00,600.00,600.50,-1.23,"4,701.00","2,859,797.70"
4,2026-02-24,605.00,610.00,603.00,608.00,0.71,"9,881.00","5,987,953.40"
5,2026-02-23,590.00,603.90,590.00,603.70,2.5,"9,269.00","5,540,665.30"
6,2026-02-22,604.00,604.00,588.00,589.00,-2.32,"6,760.00","4,010,216.00"
7,2026-02-17,611.10,615.90,603.00,603.00,-1.79,"14,106.00","8,536,742.50"
8,2026-02-16,610.10,617.00,610.10,614.00,0.0,"7,967.00","4,887,014.90"
9,2026-02-12,612.00,620.00,611.00,614.00,0.33,"23,666.00","14,552,998.20"
10,2026-02-11,615.90,615.90,610.00,612.00,0.0,"9,698.00","5,944,749.30"
11,2026-02-10,611.10,616.80,609.00,612.00,0.16,"9,980.00","6,126,063.50"
12,2026-02-09,608.10,631.90,608.10,611.00,-1.53,"13,733.00","8,443,411.00"
13,2026-02-08,632.50,640.00,620.50,620.50,0.05,"21,001.00","13,185,883.00"
14,2026-02-05,610.00,629.90,603.00,620.20,1.19,"30,536.00","19,021,801.70"
15,2026-02-04,599.80,624.00,599.80,612.90,0.15,"16,453.00","10,057,319.90"
16,2026-02-03,623.90,623.90,610.00,612.00,-0.81,"21,527.00","13,176,494.40"
17,2026-02-02,615.00,624.00,610.00,617.00,0.47,"11,689.00","7,174,142.40"
18,2026-02-01,630.00,637.60,610.00,614.10,-1.76,"24,762.00","15,354,065.60"
19,2026-01-29,631.00,640.00,625.00,625.10,-0.95,"23,612.00","14,928,993.20"
20,2026-01-28,620.00,635.00,620.00,631.10,1.46,"25,194.00","15,821,350.50"
21,2026-01-27,642.00,647.80,620.00,622.00,-1.35,"46,299.00","29,236,211.40"
22,2026-01-26,644.00,644.00,630.00,630.50,-1.48,"59,007.00","37,523,036.30"
23,2026-01-25,620.00,648.00,620.00,640.00,1.94,"88,915.00","56,967,303.20"
24,2026-01-22,617.00,633.00,617.00,627.80,1.1,"46,001.00","28,873,163.50"
25,2026-01-21,630.00,635.00,618.00,621.00,-0.81,"31,304.00","19,528,475.70"
26,2026-01-20,647.70,647.70,625.00,626.10,-1.4,"77,119.00","48,734,851.60"
27,2026-01-18,655.00,657.00,627.00,635.00,-1.85,"86,205.00","54,844,614.80"
28,2026-01-14,657.90,670.00,633.10,647.00,0.15,"83,135.00","54,422,165.60"
29,2026-01-13,631.30,655.00,619.50,646.00,4.36,"134,696.00","86,967,516.40"
30,2026-01-12,583.10,619.00,583.10,619.00,5.29,"75,960.00","45,532,764.20"
31,2026-01-08,590.00,594.60,581.00,587.90,0.84,"40,710.00","23,835,751.30"
32,2026-01-07,581.00,591.00,579.00,583.00,-1.02,"55,277.00","32,281,228.80"
33,2026-01-06,591.00,600.00,578.70,589.00,0.61,"118,959.00","69,837,454.20"
34,2026-01-05,557.20,585.40,557.20,585.40,3.7,"40,377.00","23,245,431.50"
35,2026-01-04,560.00,576.00,560.00,564.50,-0.62,"21,671.00","12,239,644.40"
36,2026-01-01,560.00,574.80,560.00,568.00,-0.53,"12,938.00","7,376,361.70"
37,2025-12-31,567.30,578.00,567.30,571.00,-0.33,"16,337.00","9,345,295.10"
38,2025-12-29,579.00,579.00,569.00,572.90,0.17,"11,559.00","6,629,683.80"
39,2025-12-28,555.10,571.90,555.10,571.90,3.05,"37,384.00","21,156,316.70"
40,2025-12-24,552.00,559.00,550.00,555.00,-0.31,"8,633.00","4,776,102.60"
41,2025-12-23,545.00,557.00,545.00,556.70,0.49,"25,948.00","14,396,147.00"
42,2025-12-22,551.00,562.00,550.10,554.00,-0.52,"11,015.00","6,085,286.10"
43,2025-12-21,565.00,565.90,555.00,556.90,-1.43,"17,457.00","9,776,552.40"
44,2025-12-18,547.00,568.00,547.00,565.00,2.76,"37,047.00","20,645,095.80"
45,2025-12-17,545.20,559.00,545.20,549.80,0.88,"16,781.00","9,209,075.50"
46,2025-12-16,543.00,548.00,542.00,545.00,0.37,"16,154.00","8,800,539.10"
47,2025-12-15,550.70,554.90,540.00,543.00,-0.37,"16,052.00","8,726,840.20"
48,2025-12-14,557.00,564.80,544.00,545.00,-2.15,"26,294.00","14,448,743.50"
49,2025-12-11,561.70,561.70,555.00,557.00,-1.31,"25,269.00","14,094,711.10"
50,2025-12-10,566.00,577.00,560.10,564.40,-0.28,"10,367.00","5,863,601.00"
51,2025-12-09,562.00,569.90,561.50,566.00,0.27,"11,943.00","6,767,752.10"
52,2025-12-08,572.00,579.00,561.40,564.50,-1.31,"23,767.00","13,486,614.30"
53,2025-12-07,585.30,585.30,567.00,572.00,-0.33,"136,428.00","77,891,462.60"
54,2025-12-03,674.00,674.00,658.00,660.00,-0.15,"147,058.00","97,433,794.00"
55,2025-12-02,655.10,665.00,655.10,661.00,0.15,"32,676.00","21,571,900.80"
56,2025-12-01,667.50,669.00,655.00,660.00,0.0,"44,188.00","29,193,055.90"
57,2025-11-30,669.10,678.90,659.00,660.00,-1.35,"55,229.00","36,875,965.30"
58,2025-11-27,671.80,679.00,667.50,669.00,-0.15,"55,821.00","37,456,379.10"
59,2025-11-26,680.00,684.40,669.00,670.00,-1.18,"81,235.00","54,607,489.30"
60,2025-11-25,682.20,694.00,677.00,678.00,1.35,"107,598.00","73,238,335.00"
61,2025-11-24,670.00,683.90,666.20,669.00,-0.28,"32,615.00","21,824,907.20"
62,2025-11-23,655.10,678.70,655.10,670.90,3.22,"72,344.00","48,282,514.30"
63,2025-11-20,648.00,652.00,640.00,650.00,1.56,"42,188.00","27,234,758.70"
64,2025-11-19,650.00,654.90,639.00,640.00,-0.31,"7,878.00","5,066,823.00"
65,2025-11-18,652.00,653.70,639.00,642.00,0.16,"39,343.00","25,417,373.40"
66,2025-11-17,633.00,641.00,631.10,641.00,1.38,"21,392.00","13,658,182.60"
67,2025-11-16,641.20,641.20,630.10,632.30,-1.19,"7,134.00","4,526,615.10"
68,2025-11-13,631.00,649.70,630.00,639.90,0.46,"12,441.00","7,954,687.00"
69,2025-11-12,635.00,647.00,635.00,637.00,-0.45,"6,033.00","3,847,562.30"
70,2025-11-11,647.00,650.00,635.00,639.90,0.3,"16,415.00","10,533,052.00"
71,2025-11-10,632.00,654.00,632.00,638.00,-0.62,"6,376.00","4,073,907.60"
72,2025-11-09,654.00,654.00,638.00,642.00,-0.39,"21,980.00","14,043,831.70"
73,2025-11-06,650.00,658.00,640.00,644.50,-0.54,"19,448.00","12,572,192.40"
