S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-24,840.10,920.10,840.10,920.10,15.00,"1,800.00","1,652,921.00"
2,2026-04-23,730.5,800.1,730.5,800.1,14.99,"1,640.00","1,309,327.00"
3,2026-04-22,623.2,695.8,623.2,695.8,14.99,780.0,"540,960.00"
4,2026-04-21,528.7,605.1,528.7,605.1,14.99,580.0,"347,240.00"
5,2026-04-20,471.3,526.2,471.3,526.2,14.99,380.0,"198,622.00"
6,2026-04-17,424.3,457.6,424.3,457.6,10.0,220.0,"97,854.00"
7,2026-04-16,372.5,416.0,372.5,416.0,9.99,200.0,"81,729.00"
8,2026-04-15,340.6,378.2,340.6,378.2,9.97,280.0,"104,683.00"
9,2026-04-13,312.1,343.9,312.1,343.9,9.98,230.0,"77,502.00"
10,2026-04-10,284.3,312.7,284.3,312.7,9.99,140.0,"42,647.00"
