S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-10,750.00,810.20,750.00,810.20,9.99,770.00,"622,358.00"
2,2026-04-09,669.7,736.6,669.7,736.6,9.99,670.0,"491,537.00"
3,2026-04-08,621.0,669.7,621.0,669.7,9.99,360.0,"239,897.00"
4,2026-04-07,564.6,608.9,564.6,608.9,9.99,360.0,"218,115.00"
5,2026-04-06,513.3,553.6,513.3,553.6,9.99,310.0,"170,624.00"
6,2026-04-05,466.7,503.3,466.7,503.3,9.99,250.0,"124,927.00"
7,2026-04-02,424.3,457.6,424.3,457.6,10.0,150.0,"67,820.00"
8,2026-04-01,377.1,416.0,377.1,416.0,9.99,110.0,"44,579.00"
9,2026-03-31,350.7,378.2,350.7,378.2,9.97,90.0,"33,362.00"
10,2026-03-30,318.9,343.9,318.9,343.9,9.98,70.0,"23,458.00"
11,2026-03-29,284.3,312.7,284.3,312.7,9.99,80.0,"23,601.00"
