S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,652.00,669.90,641.00,657.00,-1.05,"56,298.00","36,680,378.20"
2,2026-02-24,661.0,680.0,650.0,664.0,-0.15,"62,036.00","40,905,449.40"
3,2026-02-23,661.0,675.4,651.0,665.0,-0.3,"57,589.00","38,157,572.30"
4,2026-02-22,666.8,680.0,636.1,667.0,2.02,"243,601.00","161,903,038.10"
5,2026-02-17,627.0,667.7,610.0,653.8,6.31,"153,680.00","97,621,503.60"
6,2026-02-16,630.0,630.0,612.0,615.0,-0.81,"63,720.00","39,681,884.60"
7,2026-02-12,600.0,652.0,600.0,620.0,1.64,"129,178.00","81,037,174.70"
8,2026-02-11,631.2,631.2,600.0,610.0,-1.44,"92,762.00","56,671,233.50"
9,2026-02-10,615.0,645.0,610.0,618.9,0.06,"104,561.00","65,408,226.80"
10,2026-02-09,595.0,635.0,586.2,618.5,4.99,"149,849.00","91,047,542.80"
11,2026-02-08,585.0,595.0,564.0,589.1,2.45,"135,579.00","78,411,000.70"
12,2026-02-05,546.9,576.3,539.0,575.0,7.08,"127,391.00","71,693,527.60"
13,2026-02-04,533.2,561.0,522.6,537.0,-1.29,"44,630.00","24,110,346.10"
14,2026-02-03,573.0,573.0,528.1,544.0,-3.37,"42,019.00","22,759,480.40"
15,2026-02-02,565.9,575.2,547.0,563.0,1.46,"137,572.00","77,584,535.00"
16,2026-02-01,558.0,569.1,535.0,554.9,1.26,"72,957.00","39,855,007.40"
17,2026-01-29,544.0,561.0,535.0,548.0,2.43,"100,153.00","55,085,983.10"
18,2026-01-28,500.0,540.0,492.0,535.0,7.43,"101,123.00","52,532,653.00"
19,2026-01-27,520.0,521.2,489.6,498.0,-2.35,"65,391.00","33,060,659.60"
20,2026-01-26,477.0,515.0,464.1,510.0,8.93,"135,169.00","66,542,375.40"
21,2026-01-25,434.0,468.2,434.0,468.2,9.98,"122,273.00","56,446,325.50"
22,2026-01-22,393.4,425.7,382.0,425.7,10.0,"104,831.00","43,059,496.10"
23,2026-01-21,389.0,394.9,385.3,387.0,-0.28,"9,650.00","3,756,961.00"
24,2026-01-20,390.5,395.0,387.0,388.1,1.07,"11,298.00","4,431,283.70"
