S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,561.00,569.80,561.00,561.00,0.18,"10,249.00","5,785,569.40"
2,2026-02-12,558.0,570.0,557.3,560.0,0.9,"33,525.00","18,827,153.10"
3,2026-02-11,551.0,573.0,551.0,555.0,0.69,"13,397.00","7,490,166.10"
4,2026-02-10,550.0,565.9,548.0,551.2,0.02,"21,315.00","11,885,810.10"
5,2026-02-09,553.1,560.7,550.5,551.1,-1.36,"12,910.00","7,145,673.10"
6,2026-02-08,569.8,574.0,555.0,558.7,-1.04,"29,765.00","16,760,675.20"
7,2026-02-05,557.0,564.8,554.0,564.6,1.4,"9,874.00","5,512,777.20"
8,2026-02-04,568.0,568.0,551.0,556.8,-0.05,"13,873.00","7,704,097.60"
9,2026-02-03,574.2,574.2,556.0,557.1,-1.05,"21,280.00","11,927,067.30"
10,2026-02-02,566.0,569.8,561.1,563.0,-0.53,"12,984.00","7,321,275.10"
11,2026-02-01,556.1,566.0,556.0,566.0,0.52,"14,078.00","7,897,751.40"
12,2026-01-29,565.0,577.3,563.0,563.1,0.2,"51,481.00","29,387,095.80"
13,2026-01-28,560.3,572.0,555.7,562.0,-0.35,"24,789.00","13,953,988.40"
14,2026-01-27,580.0,580.0,560.0,564.0,-2.76,"41,382.00","23,568,785.60"
15,2026-01-26,594.0,594.0,577.2,580.0,-0.53,"22,877.00","13,282,392.40"
16,2026-01-25,583.8,594.0,575.1,583.1,1.85,"32,652.00","19,115,249.50"
17,2026-01-22,572.0,579.0,572.0,572.5,0.33,"21,120.00","12,146,002.20"
18,2026-01-21,562.1,579.9,562.1,570.6,0.12,"25,390.00","14,521,400.90"
19,2026-01-20,573.0,574.0,563.0,569.9,1.05,"27,642.00","15,688,692.20"
20,2026-01-18,569.0,571.0,560.0,564.0,-0.51,"22,546.00","12,730,927.70"
21,2026-01-14,576.9,576.9,561.4,566.9,-1.05,"18,579.00","10,540,616.00"
22,2026-01-13,550.0,575.0,550.0,572.9,3.6,"34,844.00","19,773,989.10"
23,2026-01-12,536.1,554.5,536.1,553.0,2.6,"30,974.00","16,989,016.60"
24,2026-01-08,547.0,547.0,537.0,539.0,0.13,"20,671.00","11,163,653.10"
25,2026-01-07,550.0,556.9,537.3,538.3,-2.11,"23,207.00","12,621,377.80"
26,2026-01-06,541.0,555.0,541.0,549.9,1.87,"29,300.00","16,117,081.90"
27,2026-01-05,548.0,548.0,532.1,539.8,-0.41,"29,017.00","15,531,288.60"
28,2026-01-04,548.0,548.0,538.1,542.0,-1.26,"17,508.00","9,465,149.80"
29,2026-01-01,553.4,555.1,544.0,548.9,1.16,"18,940.00","10,389,134.70"
30,2025-12-31,625.0,627.0,616.0,624.0,1.46,"79,237.00","49,328,086.70"
31,2025-12-29,623.2,623.2,611.1,615.0,0.65,"37,059.00","22,793,499.80"
32,2025-12-28,596.4,625.0,596.4,611.0,0.41,"33,054.00","20,278,627.40"
33,2025-12-24,629.0,629.0,607.0,608.5,-1.54,"28,448.00","17,414,929.80"
34,2025-12-23,600.0,618.0,591.0,618.0,4.73,"71,879.00","43,459,441.30"
35,2025-12-22,589.0,595.0,586.1,590.1,0.2,"7,715.00","4,552,196.50"
36,2025-12-21,591.0,597.0,583.1,588.9,-0.86,"11,069.00","6,531,634.70"
37,2025-12-18,590.0,601.0,590.0,594.0,-0.17,"13,532.00","8,054,349.90"
38,2025-12-17,580.2,604.0,580.2,595.0,0.51,"9,915.00","5,916,344.30"
39,2025-12-16,580.0,592.0,575.3,592.0,1.2,"7,300.00","4,288,305.00"
40,2025-12-15,580.0,587.7,580.0,585.0,-0.83,"5,292.00","3,097,743.50"
41,2025-12-14,587.0,597.7,578.3,589.9,0.24,"15,444.00","9,057,369.50"
42,2025-12-11,604.5,604.5,587.1,588.5,-0.74,"14,402.00","8,499,034.20"
43,2025-12-10,576.0,601.8,576.0,592.9,1.01,"14,714.00","8,782,213.70"
44,2025-12-09,590.0,596.9,585.6,587.0,-0.51,"9,937.00","5,868,910.50"
45,2025-12-08,585.0,607.0,585.0,590.0,0.34,"10,562.00","6,255,292.80"
46,2025-12-07,596.0,602.9,585.0,588.0,-2.79,"15,752.00","9,334,168.80"
47,2025-12-03,611.0,611.0,600.2,604.9,-0.02,"15,040.00","9,053,147.80"
48,2025-12-02,607.9,610.0,597.0,605.0,0.75,"9,946.00","6,013,123.30"
49,2025-12-01,596.0,605.0,591.0,600.5,1.78,"17,214.00","10,331,523.10"
50,2025-11-30,610.0,620.0,590.0,590.0,-3.59,"38,154.00","23,017,546.50"
51,2025-11-27,620.0,622.9,610.1,612.0,-1.1,"22,462.00","13,841,701.50"
52,2025-11-26,600.0,620.1,595.4,618.8,2.08,"28,723.00","17,490,524.30"
