S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,187.00,193.00,185.20,189.00,1.45,"281,626.00","53,363,003.80"
2,2026-02-08,190.0,191.6,186.1,186.3,-0.96,"185,555.00","35,073,895.70"
3,2026-02-05,185.0,190.5,183.5,188.1,1.84,"247,695.00","46,569,169.60"
4,2026-02-04,179.8,188.0,179.8,184.7,0.71,"104,336.00","19,210,264.60"
5,2026-02-03,190.7,190.7,182.7,183.4,-1.93,"174,094.00","32,113,566.40"
6,2026-02-02,185.3,191.9,185.3,187.0,-1.06,"119,509.00","22,496,730.00"
7,2026-02-01,194.0,194.0,188.0,189.0,-1.31,"146,801.00","27,846,384.30"
8,2026-01-29,183.0,195.0,183.0,191.5,3.68,"622,010.00","120,054,568.00"
9,2026-01-28,190.6,190.6,182.0,184.7,-1.18,"156,674.00","28,842,607.40"
10,2026-01-27,192.0,194.8,186.0,186.9,-3.16,"220,724.00","41,710,119.10"
11,2026-01-26,194.0,198.0,189.0,193.0,-0.72,"301,541.00","57,835,009.60"
12,2026-01-25,188.8,195.0,186.0,194.4,5.02,"390,453.00","74,833,286.40"
13,2026-01-22,183.8,186.2,179.5,185.1,2.72,"225,861.00","41,294,299.40"
14,2026-01-21,182.0,184.8,180.0,180.2,-0.93,"152,385.00","27,593,042.50"
15,2026-01-20,176.0,183.6,176.0,181.9,4.0,"281,865.00","50,897,361.30"
16,2026-01-18,174.0,175.0,173.5,174.9,0.52,"112,088.00","19,546,848.30"
17,2026-01-14,177.0,177.0,173.0,174.0,0.0,"69,499.00","12,071,404.10"
18,2026-01-13,173.0,174.9,172.1,174.0,0.17,"38,737.00","6,717,617.80"
19,2026-01-12,175.0,176.0,173.5,173.7,-0.74,"73,988.00","12,905,376.80"
20,2026-01-08,173.0,175.0,173.0,175.0,0.63,"73,734.00","12,824,389.20"
21,2026-01-07,173.2,175.5,172.6,173.9,-0.06,"70,354.00","12,194,761.90"
22,2026-01-06,173.0,175.0,172.7,174.0,0.0,"77,345.00","13,450,877.00"
23,2026-01-05,172.5,175.6,172.0,174.0,0.0,"58,281.00","10,118,945.00"
24,2026-01-04,170.5,175.0,170.5,174.0,0.06,"68,037.00","11,808,309.50"
25,2026-01-01,173.6,175.0,173.0,173.9,0.17,"56,448.00","9,824,470.60"
26,2025-12-31,174.1,176.0,173.6,173.6,-0.23,"76,181.00","13,293,217.00"
27,2025-12-29,176.0,177.0,173.0,174.0,-0.85,"80,230.00","14,009,583.00"
28,2025-12-28,174.0,176.2,173.5,175.5,1.56,"74,151.00","12,950,328.80"
29,2025-12-24,174.0,174.0,172.4,172.8,-0.69,"40,204.00","6,952,627.60"
