S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,749.00,760.00,735.00,753.00,-0.91,"4,257.00","3,192,059.80"
2,2026-02-09,779.9,779.9,746.0,759.9,-1.3,"10,732.00","8,062,873.10"
3,2026-02-08,770.0,780.0,763.0,769.9,1.97,"11,482.00","8,852,184.00"
4,2026-02-05,779.9,781.4,740.0,755.0,-1.55,"8,913.00","6,772,848.80"
5,2026-02-04,765.0,779.0,745.0,766.9,-0.4,"5,208.00","3,940,418.90"
6,2026-02-03,805.6,805.6,761.0,770.0,-2.52,"11,370.00","8,752,557.00"
7,2026-02-02,781.1,824.0,775.1,789.9,-0.89,"9,249.00","7,274,078.00"
8,2026-02-01,820.9,820.9,777.7,797.0,-0.98,"11,692.00","9,208,218.80"
9,2026-01-29,808.5,824.6,780.0,804.9,-2.44,"23,939.00","19,143,823.00"
10,2026-01-28,830.1,850.0,795.0,825.0,-2.6,"26,000.00","21,311,572.30"
11,2026-01-27,840.0,856.8,823.2,847.0,0.83,"29,354.00","24,649,001.50"
12,2026-01-26,820.0,865.0,810.0,840.0,2.44,"30,052.00","24,863,099.90"
13,2026-01-25,840.0,840.0,808.0,820.0,-0.61,"13,821.00","11,295,514.30"
14,2026-01-22,829.0,830.0,783.0,825.0,0.32,"9,432.00","7,713,611.50"
15,2026-01-21,832.1,865.0,821.0,822.4,-3.13,"17,163.00","14,261,892.50"
16,2026-01-20,804.4,874.6,804.4,849.0,3.44,"35,932.00","30,610,434.80"
17,2026-01-18,801.0,825.0,801.0,820.8,0.47,"10,160.00","8,280,620.80"
18,2026-01-14,810.0,824.9,801.6,817.0,0.12,"13,667.00","11,108,019.30"
19,2026-01-13,795.0,828.0,795.0,816.0,0.59,"15,846.00","12,896,651.90"
20,2026-01-12,812.5,832.0,811.2,811.2,-2.15,"6,781.00","5,536,261.30"
21,2026-01-08,817.4,833.0,811.0,829.0,-0.6,"13,864.00","11,354,886.40"
22,2026-01-07,823.2,854.9,822.0,834.0,-0.71,"4,916.00","4,075,287.50"
23,2026-01-06,821.3,852.0,805.0,840.0,0.24,"11,682.00","9,759,174.00"
24,2026-01-05,831.1,840.0,816.0,838.0,-1.18,"11,807.00","9,797,518.90"
25,2026-01-04,831.0,874.0,814.4,848.0,0.01,"14,071.00","11,702,924.80"
26,2026-01-01,835.0,858.0,835.0,847.9,-0.13,"20,188.00","17,040,047.20"
