S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,"1,757.00","1,760.00","1,745.10","1,745.10",-0.85,"7,907.00","13,844,653.90"
2,2026-02-08,"1,783.00","1,783.00","1,755.00","1,760.00",0.11,"10,344.00","18,203,345.00"
3,2026-02-05,"1,760.00","1,762.00","1,750.00","1,758.00",-0.06,"6,960.00","12,223,235.90"
4,2026-02-04,"1,740.00","1,768.00","1,740.00","1,759.00",0.06,"8,537.00","15,013,288.10"
5,2026-02-03,"1,775.00","1,785.00","1,756.00","1,758.00",-0.4,"5,468.00","9,624,877.70"
6,2026-02-02,"1,759.00","1,780.00","1,759.00","1,765.00",0.05,"5,866.00","10,352,083.50"
7,2026-02-01,"1,773.00","1,780.00","1,752.00","1,764.10",-0.5,"5,944.00","10,525,524.30"
8,2026-01-29,"1,783.00","1,783.00","1,771.00","1,773.00",-0.56,"8,369.00","14,855,948.10"
9,2026-01-28,"1,797.90","1,797.90","1,770.00","1,783.00",0.06,"10,328.00","18,378,911.80"
10,2026-01-27,"1,790.00","1,798.00","1,775.00","1,782.00",-0.39,"13,637.00","24,356,939.30"
11,2026-01-26,"1,800.00","1,818.10","1,780.00","1,789.00",-0.44,"16,632.00","29,851,106.00"
12,2026-01-25,"1,799.90","1,800.00","1,775.00","1,796.90",1.23,"14,842.00","26,540,156.50"
13,2026-01-22,"1,777.00","1,785.00","1,770.00","1,775.00",-0.11,"6,255.00","11,096,949.80"
14,2026-01-21,"1,770.00","1,800.00","1,770.00","1,776.90",0.11,"5,599.00","9,951,255.00"
15,2026-01-20,"1,800.00","1,800.00","1,769.30","1,775.00",0.5,"10,948.00","19,500,579.60"
16,2026-01-18,"1,780.00","1,785.00","1,765.20","1,766.10",-0.45,"11,569.00","20,508,592.10"
17,2026-01-14,"1,790.00","1,790.00","1,770.00","1,774.00",-0.06,"3,522.00","6,251,939.50"
18,2026-01-13,"1,766.00","1,790.00","1,752.00","1,775.00",0.06,"8,562.00","15,188,486.70"
19,2026-01-12,"1,775.00","1,780.00","1,770.00","1,774.00",-0.28,"5,719.00","10,154,150.40"
20,2026-01-08,"1,780.00","1,785.00","1,770.00","1,779.00",-0.06,"3,923.00","6,966,326.30"
21,2026-01-07,"1,770.00","1,785.00","1,770.00","1,780.00",0.56,"12,273.00","21,817,646.50"
22,2026-01-06,"1,770.50","1,780.00","1,769.00","1,770.00",-0.03,"6,494.00","11,509,091.50"
23,2026-01-05,"1,781.00","1,809.00","1,770.50","1,770.50",0.99,"14,342.00","25,538,864.40"
24,2026-01-04,"1,849.00","1,849.50","1,832.00","1,840.80",0.32,"14,110.00","25,938,771.70"
25,2026-01-01,"1,845.00","1,848.90","1,835.00","1,835.00",-0.49,"5,246.00","9,647,448.40"
26,2025-12-31,"1,838.00","1,858.00","1,838.00","1,844.00",0.38,"3,462.00","6,389,999.00"
27,2025-12-29,"1,837.00","1,841.00","1,827.00","1,837.00",0.6,"5,627.00","10,336,820.40"
28,2025-12-28,"1,831.00","1,831.00","1,797.00","1,826.10",0.92,"11,465.00","20,720,854.10"
29,2025-12-24,"1,814.00","1,815.00","1,807.00","1,809.50",0.14,"8,411.00","15,237,836.20"
30,2025-12-23,"1,830.00","1,830.00","1,780.00","1,807.00",-0.99,"12,749.00","23,016,717.40"
31,2025-12-22,"1,840.00","1,840.00","1,801.10","1,825.00",-0.65,"11,585.00","21,056,627.40"
32,2025-12-21,"1,855.00","1,855.00","1,836.10","1,837.00",-0.59,"8,279.00","15,221,138.00"
33,2025-12-18,"1,835.10","1,850.00","1,835.00","1,847.90",-0.11,"5,035.00","9,268,914.90"
34,2025-12-17,"1,850.00","1,855.00","1,837.00","1,850.00",0.0,"6,389.00","11,803,538.40"
