S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,910.80,917.00,900.50,917.00,-1.16,"1,691.00","1,534,937.40"
2,2026-02-16,921.00,930.00,921.00,927.80,-0.53,"1,682.00","1,554,141.50"
3,2026-02-12,946.40,946.40,915.00,932.70,0.51,"1,244.00","1,156,904.20"
4,2026-02-11,913.10,938.00,912.00,928.00,0.54,560.00,"514,782.00"
5,2026-02-10,920.00,928.70,915.00,923.00,-0.74,"3,868.00","3,566,624.30"
6,2026-02-09,925.00,935.00,925.00,929.90,-1.07,820.00,"759,809.00"
7,2026-02-08,908.00,989.30,908.00,940.00,2.22,"4,694.00","4,480,987.80"
8,2026-02-05,933.00,952.00,919.60,919.60,0.49,"1,894.00","1,753,550.50"
9,2026-02-04,941.00,941.50,915.10,915.10,-0.96,"1,497.00","1,390,934.40"
10,2026-02-03,910.10,933.00,910.00,924.00,0.98,549.00,"505,163.50"
11,2026-02-02,953.00,953.00,915.00,915.00,-2.14,"1,626.00","1,508,866.50"
12,2026-02-01,968.90,968.90,920.00,935.00,-1.58,"2,005.00","1,888,181.70"
13,2026-01-29,956.50,956.50,925.10,950.00,1.28,"3,279.00","3,067,900.50"
14,2026-01-28,932.10,940.00,920.00,938.00,-0.74,"4,301.00","4,018,752.20"
15,2026-01-27,961.00,978.00,945.00,945.00,-3.47,"4,153.00","3,979,783.10"
16,2026-01-26,973.00,990.00,952.80,979.00,-1.31,"5,301.00","5,126,185.30"
17,2026-01-25,918.00,993.00,915.00,992.00,8.18,"6,044.00","5,765,335.10"
18,2026-01-22,901.20,917.00,901.20,917.00,0.74,"3,635.00","3,312,793.80"
19,2026-01-21,917.30,929.90,905.20,910.30,-1.16,"3,030.00","2,769,422.00"
20,2026-01-20,900.10,936.30,900.10,921.00,0.66,"6,581.00","6,087,371.10"
21,2026-01-18,905.00,916.00,900.10,915.00,1.55,532.00,"483,820.00"
22,2026-01-14,890.00,901.10,890.00,901.00,0.99,688.00,"617,946.00"
23,2026-01-13,915.00,915.00,892.00,892.20,-0.87,790.00,"711,383.40"
24,2026-01-12,885.50,900.00,885.50,900.00,-0.33,341.00,"304,160.00"
25,2026-01-08,890.00,903.00,886.00,903.00,0.0,"1,070.00","952,971.30"
26,2026-01-07,900.00,905.00,888.00,903.00,-1.3,"2,342.00","2,101,012.00"
27,2026-01-06,919.00,938.00,905.20,914.90,1.09,937.00,"856,866.40"
28,2026-01-05,887.00,918.00,887.00,905.00,0.0,"2,473.00","2,240,139.50"
29,2026-01-04,885.00,922.00,882.00,905.00,0.56,"1,051.00","950,186.90"
30,2026-01-01,900.00,900.00,886.00,900.00,0.0,80.00,"71,645.00"
31,2025-12-31,886.00,914.00,886.00,900.00,-0.39,"1,396.00","1,259,558.50"
32,2025-12-29,888.00,905.00,888.00,903.50,0.17,"1,144.00","1,031,440.50"
33,2025-12-28,897.70,908.00,886.20,902.00,1.35,580.00,"520,362.00"
34,2025-12-24,875.00,890.00,871.10,890.00,0.34,228.00,"201,251.00"
35,2025-12-23,885.00,892.60,872.50,887.00,0.0,193.00,"170,227.00"
36,2025-12-22,877.00,887.00,877.00,887.00,-0.78,153.00,"134,409.00"
37,2025-12-21,880.10,896.00,874.00,894.00,-0.22,"1,538.00","1,355,862.00"
38,2025-12-18,885.00,900.00,880.10,896.00,-0.11,"1,174.00","1,039,592.30"
