S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,258.80,260.80,256.00,256.30,-0.97,"107,462.00","27,709,240.20"
2,2026-02-17,259.1,262.0,258.5,258.8,-0.31,"142,288.00","36,917,096.70"
3,2026-02-16,264.9,265.0,259.3,259.6,-0.92,"111,297.00","29,003,558.20"
4,2026-02-12,260.0,265.0,259.6,262.0,0.77,"170,886.00","44,759,326.10"
5,2026-02-11,263.0,264.8,259.0,260.0,0.0,"126,413.00","32,954,111.50"
6,2026-02-10,260.0,263.0,259.2,260.0,-0.31,"133,772.00","34,839,880.60"
7,2026-02-09,268.2,268.2,259.9,260.8,-0.84,"175,079.00","45,663,120.50"
8,2026-02-08,264.0,269.4,262.0,263.0,-1.31,"138,605.00","36,686,464.90"
9,2026-02-05,261.8,266.5,261.0,266.5,1.8,"119,095.00","31,407,654.00"
10,2026-02-04,261.0,264.9,260.0,261.8,0.0,"119,640.00","31,266,565.10"
11,2026-02-03,264.0,264.1,261.0,261.8,-0.65,"112,892.00","29,557,854.10"
12,2026-02-02,263.5,266.0,262.2,263.5,-0.19,"81,316.00","21,415,906.30"
13,2026-02-01,268.0,268.5,264.0,264.0,-1.68,"120,251.00","31,855,291.10"
14,2026-01-29,267.0,274.9,263.0,268.5,0.56,"358,322.00","97,042,985.40"
15,2026-01-28,268.0,268.5,261.6,267.0,-0.26,"159,506.00","42,102,006.90"
16,2026-01-27,273.9,273.9,264.0,267.7,-1.22,"236,928.00","63,365,273.40"
17,2026-01-26,275.0,277.0,269.0,271.0,-1.09,"252,322.00","68,545,408.90"
18,2026-01-25,265.0,274.9,265.0,274.0,3.01,"325,511.00","88,830,279.20"
19,2026-01-22,265.0,266.9,262.0,266.0,0.0,"156,183.00","41,222,660.60"
20,2026-01-21,273.0,273.0,264.1,266.0,-1.85,"163,436.00","43,585,785.60"
21,2026-01-20,268.0,272.5,265.1,271.0,3.12,"233,146.00","62,819,287.20"
22,2026-01-18,260.0,264.9,260.0,262.8,1.08,"91,052.00","23,954,338.50"
23,2026-01-14,255.9,260.5,255.9,260.0,0.78,"118,274.00","30,565,032.90"
24,2026-01-13,259.9,263.5,257.0,258.0,-0.73,"219,246.00","56,885,492.40"
25,2026-01-12,260.0,264.0,259.1,259.9,-0.84,"205,975.00","53,615,492.70"
26,2026-01-08,263.0,264.0,261.5,262.1,-0.34,"79,864.00","20,943,902.30"
27,2026-01-07,264.1,265.6,262.2,263.0,-1.31,"53,034.00","13,994,154.20"
28,2026-01-06,265.0,268.0,264.1,266.5,0.57,"98,795.00","26,313,537.10"
29,2026-01-05,261.1,265.7,261.1,265.0,0.42,"65,143.00","17,215,809.80"
30,2026-01-04,260.0,265.0,260.0,263.9,-0.42,"58,595.00","15,389,960.50"
31,2026-01-01,265.0,268.4,263.1,265.0,-0.64,"53,643.00","14,205,538.10"
32,2025-12-31,267.3,269.8,266.1,266.7,-0.22,"53,815.00","14,391,180.20"
33,2025-12-29,269.0,269.5,265.0,267.3,-0.52,"62,036.00","16,527,006.20"
34,2025-12-28,264.0,269.0,263.0,268.7,2.87,"83,048.00","22,078,793.20"
35,2025-12-24,262.0,263.4,260.0,261.2,-0.31,"35,131.00","9,205,012.50"
36,2025-12-23,260.2,264.0,260.0,262.0,0.38,"57,007.00","14,896,859.90"
37,2025-12-22,263.9,266.0,260.2,261.0,-0.8,"80,923.00","21,158,737.20"
38,2025-12-21,264.5,265.0,263.0,263.1,-0.53,"99,635.00","26,252,837.20"
