S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,"1,750.10","1,785.00","1,732.00","1,762.90",-1.24,"3,679.00","6,425,667.60"
2,2026-02-10,"1,770.00","1,785.00","1,756.00","1,785.00",0.73,"1,405.00","2,490,623.50"
3,2026-02-09,"1,799.00","1,802.00","1,770.40","1,772.00",-1.56,"3,350.00","5,979,893.20"
4,2026-02-08,"1,800.00","1,888.90","1,800.00","1,800.00",-1.8,"10,769.00","19,974,703.40"
5,2026-02-05,"1,770.00","1,840.00","1,770.00","1,833.00",2.92,"4,406.00","7,968,010.00"
6,2026-02-04,"1,782.10","1,790.00","1,780.00","1,781.00",0.06,"2,353.00","4,201,788.60"
7,2026-02-03,"1,760.00","1,800.00","1,760.00","1,780.00",-0.67,"2,840.00","5,058,250.00"
8,2026-02-02,"1,752.10","1,822.70","1,751.50","1,792.00",1.3,"4,119.00","7,354,247.60"
9,2026-02-01,"1,751.00","1,777.00","1,751.00","1,769.00",-0.62,"1,900.00","3,336,209.60"
10,2026-01-29,"1,791.10","1,826.00","1,769.00","1,780.00",-1.39,"4,476.00","7,984,391.00"
11,2026-01-28,"1,796.10","1,828.00","1,780.20","1,805.00",-1.12,"2,875.00","5,170,209.00"
12,2026-01-27,"1,919.00","1,948.90","1,815.20","1,825.50",-4.87,"8,017.00","15,010,037.10"
13,2026-01-26,"1,948.00","1,949.00","1,886.50","1,919.00",-0.56,"9,404.00","17,979,493.90"
14,2026-01-25,"1,789.90","1,935.00","1,776.00","1,929.90",8.79,"8,402.00","15,542,229.70"
15,2026-01-22,"1,729.20","1,778.00","1,727.00","1,774.00",0.92,"4,217.00","7,349,428.20"
16,2026-01-21,"1,730.00","1,767.90","1,730.00","1,757.80",-0.01,"1,665.00","2,901,632.30"
17,2026-01-20,"1,710.00","1,780.00","1,707.00","1,758.00",1.62,"4,467.00","7,854,495.50"
18,2026-01-18,"1,710.00","1,755.00","1,710.00","1,730.00",1.7,"2,829.00","4,928,825.00"
19,2026-01-14,"1,702.00","1,729.90","1,695.00","1,701.00",-0.3,"2,103.00","3,585,837.60"
20,2026-01-13,"1,715.00","1,720.00","1,705.50","1,706.10",-0.8,"2,601.00","4,452,883.90"
21,2026-01-12,"1,700.20","1,725.00","1,700.20","1,719.90",0.51,"2,474.00","4,248,417.80"
22,2026-01-08,"1,706.00","1,740.00","1,706.00","1,711.10",-0.23,"1,386.00","2,376,875.70"
23,2026-01-07,"1,725.00","1,774.00","1,712.00","1,715.00",-1.44,"1,560.00","2,714,526.00"
24,2026-01-06,"1,750.00","1,785.00","1,740.00","1,740.00",-0.57,"1,469.00","2,578,268.10"
25,2026-01-05,"1,701.00","1,751.30","1,700.00","1,750.00",2.46,"2,541.00","4,409,167.00"
26,2026-01-04,"1,720.00","1,720.00","1,694.00","1,708.00",-0.7,"2,391.00","4,067,694.00"
27,2026-01-01,"1,700.20","1,727.90","1,700.20","1,720.00",-0.12,"1,155.00","1,982,474.00"
28,2025-12-31,"1,739.20","1,773.00","1,720.00","1,722.00",0.99,"2,734.00","4,755,987.60"
29,2025-12-29,"1,712.00","1,728.00","1,705.10","1,705.10",-0.4,"2,185.00","3,738,445.90"
30,2025-12-28,"1,705.00","1,736.00","1,700.00","1,712.00",-0.98,"2,185.00","3,748,591.70"
31,2025-12-24,"1,711.00","1,730.00","1,700.00","1,729.00",0.06,"2,220.00","3,813,443.00"
32,2025-12-23,"1,700.00","1,740.00","1,700.00","1,728.00",1.27,"1,504.00","2,576,308.00"
33,2025-12-22,"1,710.20","1,717.00","1,700.10","1,706.30",-1.44,"3,917.00","6,696,058.00"
34,2025-12-21,"1,750.00","1,750.00","1,726.00","1,731.20",-1.52,"1,398.00","2,434,456.60"
35,2025-12-18,"1,760.10","1,770.00","1,752.10","1,758.00",-0.96,790.00,"1,388,801.00"
36,2025-12-17,"1,761.00","1,795.00","1,761.00","1,775.00",0.77,"2,923.00","5,192,678.30"
37,2025-12-16,"1,760.10","1,795.00","1,760.10","1,761.50",-0.59,899.00,"1,595,714.50"
38,2025-12-15,"1,765.00","1,795.00","1,765.00","1,772.00",0.28,"1,800.00","3,192,854.50"
39,2025-12-14,"1,777.00","1,810.00","1,767.00","1,767.00",-0.56,"2,034.00","3,615,019.00"
40,2025-12-11,"1,765.00","1,822.00","1,765.00","1,777.00",-0.72,"1,069.00","1,905,457.00"
41,2025-12-10,"1,784.00","1,800.00","1,780.00","1,789.90",-0.95,"1,285.00","2,301,037.00"
42,2025-12-09,"1,792.00","1,820.00","1,783.90","1,807.00",0.71,"1,850.00","3,318,775.80"
43,2025-12-08,"1,820.00","1,856.40","1,790.00","1,794.20",-0.27,"2,368.00","4,289,299.80"
44,2025-12-07,"1,835.00","1,835.00","1,775.10","1,799.00",-1.96,"2,535.00","4,565,035.10"
45,2025-12-03,"1,811.00","1,846.00","1,806.10","1,835.00",0.54,"2,632.00","4,782,467.00"
46,2025-12-02,"1,830.00","1,868.00","1,822.00","1,825.10",-0.81,"1,223.00","2,244,372.00"
47,2025-12-01,"1,860.00","1,866.60","1,831.10","1,840.00",0.55,"3,850.00","7,096,271.00"
48,2025-11-30,"1,840.00","1,900.00","1,830.00","1,830.00",-2.14,"3,138.00","5,842,272.10"
49,2025-11-27,"1,871.00","1,900.00","1,861.00","1,870.00",-0.95,"3,064.00","5,735,143.00"
50,2025-11-26,"1,900.00","1,930.00","1,866.00","1,888.00",-0.63,"1,889.00","3,550,796.40"
51,2025-11-25,"1,916.00","1,916.00","1,881.00","1,900.00",-0.84,"1,510.00","2,855,744.10"
52,2025-11-24,"1,889.90","1,988.00","1,841.30","1,916.00",3.23,"93,508.00","184,994,872.60"
53,2025-11-23,"1,788.50","1,887.00","1,788.50","1,856.00",1.7,"3,438.00","6,379,180.00"
54,2025-11-20,"1,788.60","1,851.00","1,788.60","1,825.00",-0.01,"2,796.00","5,128,108.40"
55,2025-11-19,"1,850.00","1,851.10","1,825.10","1,825.10",-1.35,"1,310.00","2,409,249.00"
56,2025-11-18,"1,887.90","1,964.00","1,850.00","1,850.10",-0.05,"3,576.00","6,758,775.50"
57,2025-11-17,"1,801.30","1,870.50","1,792.10","1,851.00",0.87,"6,642.00","12,322,075.00"
