S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-23,358.00,362.00,358.00,358.90,-0.58,"38,914.00","13,981,760.70"
2,2026-02-22,360.0,365.0,359.0,361.0,0.0,"71,552.00","25,800,965.30"
3,2026-02-17,363.2,364.5,361.0,361.0,-1.1,"62,974.00","22,879,763.20"
4,2026-02-16,362.1,370.0,362.1,365.0,0.8,"57,230.00","20,914,766.60"
5,2026-02-12,362.1,366.0,360.0,362.1,0.0,"66,545.00","24,130,400.80"
6,2026-02-11,370.3,370.3,362.1,362.1,-0.28,"43,711.00","15,910,353.30"
7,2026-02-10,363.6,366.9,363.0,363.1,-0.27,"44,028.00","16,013,726.00"
8,2026-02-09,366.0,366.4,362.5,364.1,-0.57,"74,223.00","27,070,597.10"
9,2026-02-08,372.0,374.0,366.0,366.2,-1.0,"52,247.00","19,250,333.00"
10,2026-02-05,364.0,370.0,364.0,369.9,1.34,"55,084.00","20,253,491.10"
11,2026-02-04,357.8,372.4,357.8,365.0,-0.03,"32,001.00","11,725,739.10"
12,2026-02-03,368.0,369.8,365.0,365.1,-0.52,"38,681.00","14,153,660.20"
13,2026-02-02,366.3,371.0,366.0,367.0,0.19,"43,210.00","15,882,600.80"
14,2026-02-01,369.0,373.0,365.0,366.3,-1.0,"66,162.00","24,287,839.20"
15,2026-01-29,370.0,374.9,368.0,370.0,-0.32,"81,108.00","30,143,631.60"
16,2026-01-28,371.0,374.5,368.5,371.2,-0.22,"55,058.00","20,434,561.60"
17,2026-01-27,380.0,383.0,368.5,372.0,-2.36,"68,289.00","25,582,278.40"
18,2026-01-26,385.0,385.0,378.0,381.0,-0.57,"97,084.00","36,979,214.80"
19,2026-01-25,380.0,384.0,376.0,383.2,2.19,"128,998.00","49,110,825.70"
20,2026-01-22,372.0,376.0,371.0,375.0,-0.27,"57,181.00","21,348,136.90"
21,2026-01-21,380.0,382.9,375.1,376.0,-0.63,"42,993.00","16,192,606.60"
22,2026-01-20,373.5,380.9,370.0,378.4,2.88,"107,711.00","40,619,994.40"
23,2026-01-18,365.0,370.0,362.5,367.8,0.79,"117,425.00","42,923,626.40"
24,2026-01-14,365.0,369.7,361.6,364.9,-0.57,"85,359.00","31,047,337.20"
25,2026-01-13,373.6,373.6,363.1,367.0,0.19,"24,355.00","8,919,761.40"
26,2026-01-12,367.0,369.0,366.0,366.3,-1.29,"54,953.00","20,174,268.80"
27,2026-01-08,370.0,372.9,368.0,371.1,0.3,"16,784.00","6,225,156.90"
28,2026-01-07,368.2,373.0,368.0,370.0,0.0,"28,978.00","10,723,669.10"
29,2026-01-06,371.0,376.0,369.0,370.0,-0.27,"35,765.00","13,276,490.10"
30,2026-01-05,367.0,371.0,367.0,371.0,0.3,"44,697.00","16,493,573.80"
31,2026-01-04,367.0,370.0,366.1,369.9,0.22,"29,183.00","10,741,570.40"
32,2026-01-01,371.0,375.0,367.3,369.1,-0.49,"23,436.00","8,657,338.00"
33,2025-12-31,365.2,385.0,365.2,370.9,-0.43,"41,736.00","15,560,057.90"
34,2025-12-29,377.0,377.0,372.0,372.5,-1.19,"33,068.00","12,360,132.10"
35,2025-12-28,372.0,377.0,370.0,377.0,2.45,"47,346.00","17,691,316.50"
36,2025-12-24,362.2,370.0,362.2,368.0,0.96,"20,961.00","7,704,822.90"
37,2025-12-23,365.0,369.0,362.0,364.5,-0.57,"39,012.00","14,211,463.40"
38,2025-12-22,370.0,371.4,365.0,366.6,-1.19,"39,500.00","14,531,694.80"
39,2025-12-21,375.0,375.0,370.4,371.0,-0.8,"44,132.00","16,413,676.90"
40,2025-12-18,375.0,377.6,373.5,374.0,-0.27,"23,303.00","8,736,609.50"
41,2025-12-17,373.1,379.8,373.1,375.0,-0.13,"63,886.00","24,025,204.70"
42,2025-12-16,373.0,376.9,373.0,375.5,0.81,"57,484.00","21,518,318.70"
43,2025-12-15,371.8,374.0,371.0,372.5,0.19,"32,451.00","12,080,930.20"
44,2025-12-14,382.6,382.6,371.0,371.8,-0.88,"36,115.00","13,512,861.30"
45,2025-12-11,375.5,378.7,375.0,375.1,-0.11,"24,960.00","9,383,785.40"
46,2025-12-10,380.0,380.0,374.1,375.5,-0.4,"29,481.00","11,108,181.60"
47,2025-12-09,376.0,379.9,375.0,377.0,0.27,"43,722.00","16,507,917.10"
48,2025-12-08,375.5,378.8,375.1,376.0,-0.21,"21,791.00","8,216,841.40"
49,2025-12-07,375.0,381.0,374.4,376.8,-0.05,"53,367.00","20,119,302.50"
50,2025-12-03,372.4,380.0,372.4,377.0,-0.79,"28,568.00","10,796,174.90"
51,2025-12-02,376.3,384.5,376.3,380.0,-0.26,"24,277.00","9,221,167.60"
52,2025-12-01,385.0,385.9,378.0,381.0,-0.52,"46,254.00","17,580,200.60"
53,2025-11-30,390.0,393.0,380.2,383.0,-1.77,"99,085.00","38,504,204.70"
54,2025-11-27,390.3,391.9,386.1,389.9,-0.1,"73,269.00","28,453,982.50"
55,2025-11-26,390.0,393.4,387.0,390.3,-0.43,"82,819.00","32,389,902.30"
56,2025-11-25,394.1,395.0,386.0,392.0,-0.51,"104,989.00","40,950,863.50"
57,2025-11-24,381.0,395.0,375.0,394.0,5.46,"177,309.00","68,691,677.80"
58,2025-11-23,366.0,374.7,366.0,373.6,2.08,"33,398.00","12,454,925.50"
59,2025-11-20,368.0,370.0,365.8,366.0,-0.46,"38,833.00","14,262,262.30"
60,2025-11-19,373.0,373.9,367.7,367.7,-1.42,"19,611.00","7,250,202.90"
61,2025-11-18,369.0,376.9,369.0,373.0,1.08,"47,332.00","17,636,200.60"
62,2025-11-17,369.0,371.0,366.0,369.0,0.0,"40,056.00","14,714,957.60"
63,2025-11-16,367.0,372.0,366.1,369.0,-0.54,"30,126.00","11,107,991.60"
64,2025-11-13,368.0,375.0,368.0,371.0,0.32,"18,476.00","6,846,299.20"
65,2025-11-12,370.5,374.8,369.0,369.8,-0.59,"20,715.00","7,686,792.50"
66,2025-11-11,370.0,373.0,366.0,372.0,0.0,"31,853.00","11,745,987.10"
67,2025-11-10,368.2,377.0,367.0,372.0,0.38,"32,577.00","12,082,957.20"
68,2025-11-09,377.0,379.0,370.5,370.6,-1.7,"41,972.00","15,650,572.60"
69,2025-11-06,381.0,387.0,375.4,377.0,-1.77,"27,298.00","10,392,231.60"
70,2025-11-05,380.0,383.9,377.0,383.8,0.47,"38,414.00","14,562,492.30"
71,2025-11-04,382.1,390.0,379.5,382.0,-1.29,"46,169.00","17,774,108.30"
72,2025-11-03,391.0,397.0,384.0,387.0,-0.77,"68,022.00","26,559,622.90"
73,2025-11-02,380.0,394.7,372.5,390.0,3.61,"103,004.00","39,818,030.90"
74,2025-10-30,375.0,379.3,368.5,376.4,0.64,"47,741.00","17,866,228.70"
75,2025-10-29,375.0,380.0,370.1,374.0,-0.21,"60,493.00","22,622,829.50"
76,2025-10-28,361.0,377.0,360.0,374.8,3.82,"63,492.00","23,538,670.10"
77,2025-10-26,360.0,361.0,356.0,361.0,0.31,"33,126.00","11,885,232.30"
78,2025-10-19,355.0,364.9,355.0,359.9,1.35,"37,932.00","13,557,844.80"
79,2025-10-16,368.0,370.0,355.0,355.1,-2.42,"44,972.00","16,129,240.70"
80,2025-10-15,368.2,375.0,355.0,363.9,-2.96,"111,926.00","40,604,543.20"
81,2025-10-14,385.0,387.0,371.0,375.0,-2.6,"78,606.00","29,429,510.10"
82,2025-10-13,378.0,385.0,363.0,385.0,3.77,"49,283.00","18,403,341.90"
83,2025-10-12,375.1,382.0,367.0,371.0,-2.88,"71,068.00","26,418,407.40"
84,2025-10-09,382.5,401.8,380.0,382.0,1.87,"51,412.00","19,908,074.00"
85,2025-10-08,379.0,383.0,370.1,375.0,-2.09,"59,669.00","22,334,262.80"
86,2025-10-07,385.0,393.0,382.3,383.0,-1.79,"23,967.00","9,233,235.50"
87,2025-09-28,390.0,393.0,384.1,390.0,0.0,"23,313.00","9,042,783.10"
88,2025-09-25,387.0,392.1,384.3,390.0,-0.26,"23,230.00","9,023,759.20"
89,2025-09-24,394.9,399.8,382.0,391.0,-0.99,"23,187.00","8,995,580.60"
90,2025-09-23,381.0,398.0,381.0,394.9,3.15,"33,892.00","13,288,912.20"
91,2025-09-21,354.8,387.0,354.8,382.84,5.76,"70,270.00","26,215,321.50"
92,2025-09-18,385.8,385.8,360.0,362.0,-8.04,"11,585.00","4,241,762.40"
93,2025-09-08,404.0,404.0,392.5,393.65,-0.62,"23,630.00","9,333,858.00"
94,2025-09-07,395.0,401.0,395.0,396.09,-0.48,"22,202.00","8,820,532.10"
95,2025-09-04,396.0,399.8,395.0,397.99,0.27,"45,028.00","17,855,716.40"
96,2025-09-03,400.0,402.0,396.0,396.91,-0.79,"38,676.00","15,397,819.90"
97,2025-09-02,400.1,405.8,399.6,400.06,-0.28,"39,506.00","15,826,685.50"
98,2025-09-01,408.9,408.9,400.2,401.17,0.07,"26,392.00","10,587,353.60"
99,2025-08-31,405.0,406.8,400.5,400.9,-1.38,"41,360.00","16,637,991.30"
