S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,477.30,477.30,461.10,468.90,0.19,"22,853.00","10,660,783.90"
2,2026-02-25,458.0,468.9,452.0,468.0,3.2,"53,095.00","24,622,509.20"
3,2026-02-24,457.6,457.6,445.0,453.5,1.07,"12,314.00","5,566,583.40"
4,2026-02-23,459.0,459.0,447.2,448.7,-0.29,"16,905.00","7,602,987.50"
5,2026-02-22,462.0,462.0,448.1,450.0,-0.66,"19,072.00","8,577,506.40"
6,2026-02-17,462.0,462.0,451.0,453.0,-0.44,"20,652.00","9,348,680.70"
7,2026-02-16,464.1,464.1,451.5,455.0,0.0,"30,332.00","13,794,090.50"
8,2026-02-12,453.0,455.9,450.2,455.0,0.44,"27,426.00","12,432,290.60"
9,2026-02-11,458.0,458.0,452.2,453.0,-0.37,"28,692.00","13,025,654.50"
10,2026-02-10,456.5,460.1,454.7,454.7,-0.92,"29,031.00","13,254,400.60"
11,2026-02-09,462.0,462.0,457.0,458.9,-0.91,"26,654.00","12,212,864.40"
12,2026-02-08,467.0,470.4,462.3,463.1,-0.86,"37,168.00","17,300,179.50"
13,2026-02-05,462.0,467.1,458.0,467.1,1.1,"47,561.00","21,924,592.90"
14,2026-02-04,461.9,464.5,457.3,462.0,0.35,"20,753.00","9,550,702.20"
15,2026-02-03,460.1,464.0,460.1,460.4,-0.3,"13,891.00","6,401,214.60"
16,2026-02-02,462.0,465.0,460.2,461.8,0.11,"32,505.00","15,020,600.30"
17,2026-02-01,473.0,473.0,460.8,461.3,-1.01,"44,230.00","20,427,836.90"
18,2026-01-29,469.5,470.0,464.2,466.0,-0.75,"47,967.00","22,366,344.80"
19,2026-01-28,463.1,471.0,463.1,469.5,-0.11,"23,002.00","10,759,690.30"
20,2026-01-27,481.0,481.0,469.0,470.0,-2.29,"68,256.00","32,324,501.80"
21,2026-01-26,485.0,485.0,475.1,481.0,-0.41,"52,313.00","25,051,788.20"
22,2026-01-25,475.0,485.1,465.6,483.0,1.68,"42,615.00","20,450,022.60"
23,2026-01-22,474.0,477.0,472.0,475.0,-0.21,"33,963.00","16,128,769.10"
24,2026-01-21,482.8,482.8,474.5,476.0,-0.17,"40,538.00","19,291,179.80"
25,2026-01-20,466.0,477.8,466.0,476.8,2.32,"85,579.00","40,716,721.10"
26,2026-01-18,463.0,469.0,462.3,466.0,0.52,"57,801.00","26,901,369.90"
27,2026-01-14,463.7,466.0,462.0,463.6,-0.02,"28,405.00","13,175,634.50"
28,2026-01-13,464.0,470.0,462.5,463.7,-0.06,"46,595.00","21,648,161.70"
29,2026-01-12,460.2,467.5,460.2,464.0,-0.64,"28,756.00","13,344,694.80"
30,2026-01-08,451.9,467.8,451.9,467.0,1.28,"50,532.00","23,395,827.80"
31,2026-01-07,475.3,475.3,460.0,461.1,-1.05,"41,260.00","19,080,787.40"
32,2026-01-06,465.0,470.0,462.4,466.0,0.13,"28,158.00","13,130,017.50"
33,2026-01-05,466.5,466.5,457.2,465.4,-2.23,"66,915.00","30,938,073.90"
34,2026-01-04,476.1,477.0,473.0,476.0,0.02,"60,619.00","28,738,665.10"
35,2026-01-01,480.0,480.0,474.1,475.9,-0.02,"42,147.00","20,030,816.50"
36,2025-12-31,481.7,481.7,472.2,476.0,0.78,"37,483.00","17,841,459.10"
37,2025-12-29,484.9,484.9,472.1,472.3,-0.69,"27,673.00","13,169,702.40"
38,2025-12-28,470.0,479.9,469.0,475.6,1.84,"42,943.00","20,350,406.70"
39,2025-12-24,475.6,475.6,466.1,467.0,0.15,"22,752.00","10,625,811.60"
40,2025-12-23,465.0,472.0,462.0,466.3,-0.26,"31,752.00","14,818,312.80"
41,2025-12-22,471.0,475.0,467.0,467.5,-2.2,"86,615.00","40,723,466.60"
42,2025-12-21,490.0,490.2,475.0,478.0,-2.85,"92,451.00","44,413,895.80"
