S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-02,264.20,269.40,264.20,269.40,3.98,30.00,"8,030.00"
2,2026-01-14,259.1,259.1,259.1,259.1,1.97,10.00,"2,591.00"
3,2025-12-14,244.33,254.1,244.33,254.1,4.0,52.00,"13,150.20"
4,2025-11-16,244.33,244.33,244.33,244.33,0.0,8.00,"1,948.00"
5,2025-07-06,293.2,293.2,293.2,293.2,1.81,10.00,"2,932.00"
6,2025-06-24,288.0,288.0,288.0,288.0,1.98,10.00,"2,880.00"
7,2025-05-25,282.4,282.4,282.4,282.4,0.0,1.00,277.90
8,2025-04-22,282.4,282.4,282.4,282.4,1.99,32.00,"9,036.80"
9,2025-03-20,276.9,276.9,276.9,276.9,0.0,1.00,277.30
10,2025-03-16,276.9,276.9,276.9,276.9,0.0,2.00,545.40
11,2025-02-25,256.8,276.9,256.8,276.9,9.97,60.00,"16,120.00"
12,2025-02-06,251.8,251.8,251.8,251.8,0.0,10.00,"2,562.30"
13,2025-01-02,251.8,251.8,251.8,251.8,0.0,3.00,769.50
14,2024-12-31,251.8,251.8,251.8,251.8,1.98,10.00,"2,518.00"
15,2024-12-22,246.9,246.9,246.9,246.9,1.98,10.00,"2,469.00"
16,2024-12-17,242.1,242.1,242.1,242.1,0.0,3.00,732.60
17,2024-11-25,242.1,242.1,242.1,242.1,0.0,10.00,"2,421.00"
18,2024-11-19,242.1,242.1,242.1,242.1,0.0,36.00,"8,686.80"
19,2024-10-23,242.1,242.1,242.1,242.1,0.0,3.00,719.00
20,2024-10-20,242.1,242.1,242.1,242.1,1.97,19.00,"4,556.70"
21,2024-10-01,237.42,237.42,237.42,237.42,0.0,1.00,242.00
22,2024-09-10,284.9,284.9,284.9,284.9,1.97,117.00,"33,333.30"
23,2024-09-08,279.4,279.4,279.4,279.4,1.97,10.00,"2,794.00"
24,2024-09-04,274.0,274.0,274.0,274.0,1.97,10.00,"2,740.00"
25,2024-07-28,268.7,268.7,268.7,268.7,1.97,10.00,"2,687.00"
26,2024-07-18,258.4,263.5,258.4,263.5,3.99,172.00,"45,260.80"
27,2024-03-26,253.4,253.4,253.4,253.4,0.0,45.00,"11,359.60"
28,2024-02-20,253.4,253.4,253.4,253.4,1.97,79.00,"19,826.30"
29,2024-02-15,248.5,248.5,248.5,248.5,0.0,115.00,"28,229.40"
30,2024-01-23,230.4,248.5,230.4,248.5,9.99,57.00,"13,719.50"
31,2023-10-12,276.9,282.4,276.9,282.4,4.01,20.00,"5,593.00"
32,2023-09-19,271.5,271.5,271.5,271.5,1.99,10.00,"2,715.00"
33,2023-08-07,266.2,266.2,266.2,266.2,0.0,23.00,"6,216.90"
34,2023-07-24,266.2,266.2,266.2,266.2,1.99,15.00,"3,993.00"
35,2023-07-16,261.0,261.0,261.0,261.0,1.99,15.00,"3,915.00"
36,2023-06-11,255.9,255.9,255.9,255.9,0.0,1.00,250.80
37,2023-05-23,255.9,255.9,255.9,255.9,0.0,1.00,254.00
38,2023-04-06,250.9,255.9,250.9,255.9,4.02,46.00,"11,721.40"
39,2023-02-01,246.0,246.0,246.0,246.0,1.99,10.00,"2,460.00"
40,2022-12-11,241.2,241.2,241.2,241.2,0.0,9.00,"2,128.50"
41,2022-11-28,231.9,241.2,231.9,241.2,6.09,188.00,"45,205.60"
42,2022-09-29,278.7,284.2,278.7,284.2,3.99,91.00,"25,807.20"
43,2022-09-18,268.0,273.3,268.0,273.3,4.0,20.00,"5,413.00"
44,2022-09-16,262.8,262.8,262.8,262.8,1.98,10.00,"2,628.00"
45,2022-09-13,257.7,257.7,257.7,257.7,1.98,36.00,"9,277.20"
46,2022-09-04,252.7,252.7,252.7,252.7,0.0,8.00,"2,048.00"
47,2022-05-11,252.7,252.7,252.7,252.7,0.0,3.00,772.80
48,2022-05-10,252.7,252.7,272.7,252.7,0.0,6.00,"1,531.20"
49,2022-03-06,247.8,252.7,247.8,252.7,3.99,255.00,"64,389.50"
50,2021-07-05,316.0,316.0,316.0,316.0,4.98,10.00,"3,160.00"
51,2021-05-23,301.0,301.0,301.0,301.0,4.88,10.00,"3,010.00"
52,2021-05-20,287.0,287.0,287.0,287.0,4.74,10.00,"2,870.00"
53,2021-02-09,274.0,274.0,274.0,274.0,4.98,10.00,"2,740.00"
54,2020-12-28,261.0,261.0,261.0,261.0,4.82,10.00,"2,610.00"
55,2020-12-09,249.0,249.0,249.0,249.0,4.62,24.00,"5,976.00"
56,2020-12-02,238.0,238.0,238.0,238.0,4.39,10.00,"2,380.00"
57,2020-11-23,228.0,228.0,228.0,228.0,4.59,10.00,"2,280.00"
58,2020-11-05,218.0,218.0,218.0,218.0,4.81,10.00,"2,180.00"
59,2020-11-04,208.0,208.0,208.0,208.0,4.52,10.00,"2,080.00"
60,2020-10-18,199.0,199.0,199.0,199.0,4.74,10.00,"1,990.00"
61,2020-09-22,190.0,190.0,190.0,190.0,1.6,80.00,"15,200.00"
62,2020-02-23,187.0,187.0,187.0,187.0,1.6,"3,500.00","654,500.00"
63,2019-07-28,214.0,214.0,214.0,214.0,1.9,19.00,"4,102.00"
64,2019-07-25,202.0,210.0,202.0,210.0,-1.41,73.00,"15,046.00"
65,2015-04-13,213.0,213.0,213.0,213.0,0.0,681.00,"145,053.00"
66,2015-01-05,209.0,213.0,213.0,213.0,0.0,17.00,"3,621.00"
67,2014-03-25,205.0,209.0,209.0,209.0,0.0,178.00,"37,202.00"
68,2014-02-06,246.0,0.0,0.0,246.0,0.0,"1,050.00","1,050.00"
69,2014-01-29,242.0,246.0,246.0,246.0,0.0,36.00,"8,856.00"
70,2012-09-13,246.0,242.0,242.0,242.0,0.0,12.00,"2,904.00"
71,2012-01-08,251.0,246.0,246.0,246.0,0.0,14.00,"3,444.00"
72,2011-10-30,250.0,251.0,251.0,251.0,0.0,17.00,"4,267.00"
