S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-28,"1,172.90","1,280.00","1,025.00","1,039.00",-6.99,"538,665.00","583,340,716.60"
2,2026-04-27,"1,019.90","1,117.10","1,019.90","1,117.10",15.0,"79,890.00","89,204,220.00"
3,2026-04-24,886.2,971.4,886.2,971.4,15.0,"9,180.00","8,912,259.00"
4,2026-04-23,756.6,844.7,756.6,844.7,14.99,"4,760.00","4,018,632.00"
5,2026-04-22,657.9,734.6,657.9,734.6,15.0,"1,740.00","1,276,342.00"
6,2026-04-21,580.0,638.8,580.0,638.8,15.0,"1,000.00","637,512.00"
7,2026-04-20,507.2,555.5,507.2,555.5,14.99,900.0,"498,464.00"
8,2026-04-17,447.9,483.1,447.9,483.1,10.0,550.0,"260,263.00"
9,2026-04-16,407.2,439.2,407.2,439.2,9.99,420.0,"183,677.00"
10,2026-04-15,370.2,399.3,370.2,399.3,10.0,630.0,"249,971.00"
11,2026-04-13,330.0,363.0,330.0,363.0,10.0,410.0,"147,191.00"
12,2026-04-10,300.0,330.0,300.0,330.0,10.0,250.0,"81,310.00"
