S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,612.00,614.50,604.00,604.00,-1.15,"124,501.00","75,625,560.50"
2,2026-02-16,616.10,620.00,610.20,611.00,-0.16,"131,649.00","80,956,046.20"
3,2026-02-12,610.10,615.90,610.00,612.00,0.49,"133,822.00","81,926,276.80"
4,2026-02-11,614.00,625.00,607.30,609.00,-0.16,"149,526.00","91,559,054.30"
5,2026-02-10,610.00,618.50,607.00,610.00,-0.73,"138,719.00","84,907,616.60"
6,2026-02-09,617.00,625.00,612.00,614.50,-1.21,"148,696.00","91,768,427.20"
7,2026-02-08,624.70,628.00,615.30,622.00,1.12,"307,474.00","191,390,207.80"
8,2026-02-05,610.00,619.00,606.10,615.10,1.0,"131,470.00","80,807,142.70"
9,2026-02-04,597.00,620.00,597.00,609.00,0.0,"120,041.00","73,145,252.00"
10,2026-02-03,616.00,619.00,607.00,609.00,-0.56,"156,312.00","95,482,185.30"
11,2026-02-02,599.80,618.20,599.80,612.40,0.07,"151,189.00","92,634,891.30"
12,2026-02-01,623.00,623.00,610.00,612.00,-1.11,"212,694.00","130,594,396.10"
13,2026-01-29,624.00,628.30,616.10,618.90,-0.58,"204,191.00","126,906,769.50"
14,2026-01-28,629.00,629.00,615.00,622.50,0.23,"291,115.00","180,356,565.60"
15,2026-01-27,632.20,640.00,620.00,621.10,-1.74,"360,901.00","226,747,249.90"
16,2026-01-26,650.00,650.00,630.10,632.10,-1.7,"370,914.00","236,141,506.30"
17,2026-01-25,627.00,648.00,626.00,643.00,2.88,"500,453.00","320,060,025.10"
18,2026-01-22,621.50,627.00,615.00,625.00,0.71,"248,358.00","154,130,578.30"
19,2026-01-21,630.00,636.00,620.00,620.60,-1.43,"200,183.00","125,277,857.10"
20,2026-01-20,636.40,637.70,625.00,629.60,0.9,"338,399.00","213,825,170.10"
21,2026-01-18,622.90,632.00,616.00,624.00,1.46,"221,954.00","138,745,356.80"
22,2026-01-14,624.70,624.90,615.00,615.00,-0.65,"165,940.00","102,789,091.20"
23,2026-01-13,620.80,626.30,618.00,619.00,-0.29,"273,911.00","170,167,064.50"
24,2026-01-12,621.20,639.00,619.00,620.80,-0.67,"391,092.00","245,884,371.50"
25,2026-01-08,618.00,625.00,610.70,625.00,1.21,"241,681.00","148,926,997.60"
26,2026-01-07,620.00,626.00,613.60,617.50,-0.88,"260,554.00","161,022,176.90"
