S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,423.00,432.00,422.00,429.00,0.02,"43,780.00","18,679,610.50"
2,2026-02-11,425.0,429.9,423.6,428.9,1.76,"17,957.00","7,638,265.10"
3,2026-02-10,427.0,430.0,421.2,421.5,-0.87,"37,949.00","16,098,219.00"
4,2026-02-09,431.0,432.9,424.4,425.2,-1.8,"66,225.00","28,302,056.40"
5,2026-02-08,435.0,445.0,433.0,433.0,-0.92,"36,232.00","15,790,781.30"
6,2026-02-05,430.0,437.0,430.0,437.0,1.39,"33,945.00","14,723,518.90"
7,2026-02-04,430.0,439.0,428.3,431.0,-0.62,"30,433.00","13,119,632.20"
8,2026-02-03,432.0,439.0,430.2,433.7,-0.3,"31,700.00","13,764,266.10"
9,2026-02-02,426.0,440.0,426.0,435.0,0.23,"40,470.00","17,574,618.60"
10,2026-02-01,440.0,440.0,431.5,434.0,-0.48,"33,029.00","14,344,963.20"
11,2026-01-29,446.0,448.1,435.1,436.1,-1.11,"64,836.00","28,548,128.30"
12,2026-01-28,436.1,444.0,434.0,441.0,0.3,"45,231.00","19,843,370.80"
13,2026-01-27,445.0,450.0,437.0,439.7,-1.3,"74,963.00","33,196,978.40"
14,2026-01-26,455.0,458.8,445.0,445.5,-0.78,"115,995.00","52,234,228.10"
15,2026-01-25,436.0,454.0,436.0,449.0,2.98,"138,539.00","62,181,933.50"
16,2026-01-22,431.1,440.8,431.1,436.0,0.0,"49,348.00","21,526,680.70"
17,2026-01-21,445.0,448.0,434.7,436.0,-1.69,"42,471.00","18,690,870.60"
18,2026-01-20,440.0,449.9,440.0,443.5,1.95,"70,705.00","31,400,600.70"
19,2026-01-18,427.0,438.0,427.0,435.0,1.87,"33,035.00","14,376,717.50"
20,2026-01-14,424.0,436.0,424.0,427.0,-0.21,"31,388.00","13,415,971.60"
21,2026-01-13,429.1,440.0,425.0,427.9,-0.81,"40,248.00","17,348,963.70"
22,2026-01-12,426.2,445.0,426.2,431.4,0.79,"35,648.00","15,567,598.90"
23,2026-01-08,436.0,439.0,424.0,428.0,-0.7,"33,393.00","14,324,384.00"
24,2026-01-07,435.0,440.0,428.2,431.0,-1.15,"29,190.00","12,647,698.80"
25,2026-01-06,438.0,446.3,431.5,436.0,-0.37,"52,973.00","23,130,266.90"
26,2026-01-05,420.1,446.0,420.1,437.6,3.94,"124,068.00","54,488,322.80"
27,2026-01-04,418.4,426.0,418.4,421.0,-0.09,"29,265.00","12,357,797.30"
28,2026-01-01,426.1,427.0,420.1,421.4,-1.08,"18,285.00","7,743,265.90"
29,2025-12-31,422.8,430.0,422.8,426.0,0.8,"36,506.00","15,608,582.10"
30,2025-12-29,425.8,430.0,422.5,422.6,-1.26,"25,091.00","10,657,546.20"
31,2025-12-28,414.8,429.0,414.8,428.0,3.18,"47,913.00","20,305,798.40"
32,2025-12-24,412.5,419.0,412.5,414.8,0.56,"25,341.00","10,525,028.60"
33,2025-12-23,410.1,417.0,410.1,412.5,-0.65,"17,959.00","7,438,806.70"
34,2025-12-22,417.0,418.9,415.0,415.2,-0.67,"22,530.00","9,370,229.40"
35,2025-12-21,420.1,420.1,416.0,418.0,-0.5,"24,090.00","10,067,145.00"
36,2025-12-18,421.0,427.0,420.0,420.1,-0.64,"21,905.00","9,226,291.30"
37,2025-12-17,422.0,429.0,422.0,422.8,-0.05,"17,792.00","7,563,633.30"
38,2025-12-16,418.6,425.0,418.6,423.0,0.48,"16,462.00","6,964,913.80"
39,2025-12-15,420.0,423.0,417.1,421.0,0.24,"17,656.00","7,413,106.10"
40,2025-12-14,420.2,424.0,419.1,420.0,-1.18,"22,558.00","9,507,434.50"
41,2025-12-11,418.0,426.0,418.0,425.0,0.81,"18,944.00","8,014,542.90"
42,2025-12-10,431.0,431.0,420.0,421.6,-0.59,"28,696.00","12,123,313.20"
43,2025-12-09,424.0,429.8,423.0,424.1,-0.68,"8,787.00","3,740,038.20"
44,2025-12-08,420.0,429.9,420.0,427.0,0.95,"22,739.00","9,633,961.70"
45,2025-12-07,423.0,430.0,422.1,423.0,-0.94,"23,735.00","10,069,517.70"
46,2025-12-03,430.0,438.0,425.0,427.0,-1.41,"42,550.00","18,340,738.90"
47,2025-12-02,430.1,438.0,430.1,433.1,-0.44,"28,012.00","12,155,765.60"
48,2025-12-01,432.0,438.0,429.3,435.0,0.67,"32,627.00","14,129,428.40"
49,2025-11-30,432.1,445.7,432.0,432.1,-1.12,"73,325.00","32,240,126.70"
50,2025-11-27,438.0,444.0,435.0,437.0,-0.68,"24,816.00","10,874,449.90"
51,2025-11-26,435.1,444.0,435.1,440.0,0.46,"42,628.00","18,777,285.50"
52,2025-11-25,438.0,444.0,433.0,438.0,0.0,"40,870.00","17,893,791.60"
53,2025-11-24,440.0,440.0,431.5,438.0,0.5,"44,522.00","19,404,250.00"
54,2025-11-23,424.1,442.9,424.1,435.8,2.3,"57,025.00","24,872,753.90"
55,2025-11-20,418.0,433.0,415.0,426.0,1.91,"63,536.00","26,963,519.20"
