S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,970.00,"1,049.90",945.20,960.00,0.58,"7,503.00","7,290,067.40"
2,2026-02-04,961.80,961.80,944.10,954.50,1.22,372.00,"353,898.40"
3,2026-02-03,968.00,969.00,943.00,943.00,-0.74,"3,235.00","3,087,923.90"
4,2026-02-02,968.00,"1,006.00",950.00,950.00,0.0,"2,323.00","2,216,103.00"
5,2026-02-01,940.20,"1,008.00",940.00,950.00,-0.11,"3,320.00","3,157,696.90"
6,2026-01-29,965.00,965.00,947.20,951.00,-0.73,"2,466.00","2,347,514.50"
7,2026-01-28,940.00,974.00,940.00,958.00,0.31,"1,919.00","1,840,303.00"
8,2026-01-27,966.00,981.00,955.00,955.00,-2.55,"4,030.00","3,889,483.30"
9,2026-01-26,980.00,980.00,967.30,980.00,0.0,849.00,"828,374.30"
10,2026-01-25,970.00,"1,028.00",947.30,980.00,3.0,"5,507.00","5,350,032.20"
11,2026-01-22,951.00,956.90,947.00,951.50,-0.89,"3,238.00","3,081,005.90"
12,2026-01-21,970.00,970.00,956.10,960.00,-1.03,"1,392.00","1,337,023.60"
13,2026-01-20,965.00,980.00,960.10,970.00,1.25,"1,783.00","1,738,706.20"
14,2026-01-18,950.00,987.90,949.90,958.00,-1.16,"6,822.00","6,577,168.50"
15,2026-01-14,940.80,990.00,940.80,969.20,0.96,"1,028.00","987,341.10"
16,2026-01-13,945.70,960.00,910.00,960.00,-0.52,"2,421.00","2,295,532.20"
17,2026-01-12,921.00,965.00,921.00,965.00,3.1,"4,566.00","4,295,130.10"
18,2026-01-08,944.00,944.00,918.00,936.00,0.11,775.00,"722,181.70"
19,2026-01-07,920.00,935.00,920.00,935.00,0.54,"1,399.00","1,297,817.30"
20,2026-01-06,931.00,944.00,917.10,930.00,-0.11,"1,124.00","1,040,199.20"
21,2026-01-05,908.00,937.00,908.00,931.00,1.2,639.00,"589,233.10"
22,2026-01-04,930.00,930.00,915.00,920.00,-0.54,591.00,"542,004.10"
23,2026-01-01,945.00,945.00,912.10,925.00,-1.91,"2,106.00","1,942,736.50"
24,2025-12-31,930.00,944.50,925.20,943.00,1.4,"1,093.00","1,023,478.10"
25,2025-12-29,926.00,933.00,926.00,930.00,-0.63,"2,161.00","2,004,838.20"
26,2025-12-28,905.00,935.90,905.00,935.90,3.15,"5,237.00","4,816,352.70"
27,2025-12-24,905.00,916.00,900.20,907.30,0.25,"1,271.00","1,149,688.20"
28,2025-12-23,911.00,911.00,900.00,905.00,-0.66,437.00,"395,238.70"
29,2025-12-22,903.10,911.00,903.10,911.00,0.0,"2,095.00","1,898,461.30"
30,2025-12-21,930.00,930.00,910.00,911.00,-2.04,"3,201.00","2,939,570.50"
31,2025-12-18,925.00,938.00,923.00,930.00,-0.96,"2,822.00","2,626,876.50"
32,2025-12-17,949.00,949.00,939.00,939.00,-1.04,"3,990.00","3,752,782.30"
33,2025-12-16,939.00,949.00,935.10,948.90,1.05,"2,262.00","2,129,619.60"
34,2025-12-15,948.00,951.50,935.10,939.00,-0.95,"1,438.00","1,356,805.50"
35,2025-12-14,971.20,971.20,934.00,948.00,-4.34,"6,407.00","6,094,087.20"
36,2025-12-11,980.00,999.60,980.00,991.00,0.92,738.00,"729,697.30"
37,2025-12-10,991.50,991.50,980.20,982.00,-0.96,"1,598.00","1,574,698.40"
38,2025-12-09,"1,009.00","1,009.00",990.00,991.50,0.15,261.00,"259,586.90"
39,2025-12-08,990.00,990.00,981.00,990.00,0.0,"1,482.00","1,461,846.70"
40,2025-12-07,"1,000.00","1,000.00",985.60,990.00,-1.98,"4,511.00","4,474,452.50"
41,2025-12-03,"1,017.00","1,025.00","1,010.00","1,010.00",-0.54,"2,479.00","2,521,828.10"
42,2025-12-02,"1,011.00","1,030.00","1,011.00","1,015.50",-0.92,738.00,"753,313.00"
43,2025-12-01,"1,010.00","1,024.90",996.00,"1,024.90",1.48,"1,541.00","1,560,896.00"
44,2025-11-30,"1,037.90","1,038.30","1,005.00","1,010.00",-0.79,"1,629.00","1,662,294.50"
45,2025-11-27,"1,017.00","1,025.00","1,016.00","1,018.00",0.69,"1,706.00","1,735,899.00"
46,2025-11-26,"1,011.10","1,024.00","1,007.00","1,011.00",-0.01,"1,739.00","1,764,195.00"
47,2025-11-25,"1,020.00","1,028.00","1,010.00","1,011.10",0.09,987.00,"1,000,548.30"
48,2025-11-24,"1,020.00","1,030.00","1,005.00","1,010.20",0.42,"1,550.00","1,576,896.60"
49,2025-11-23,"1,008.00","1,008.00",989.00,"1,006.00",1.72,"1,533.00","1,534,138.40"
50,2025-11-20,996.00,996.00,975.20,989.00,1.07,444.00,"440,402.00"
51,2025-11-19,982.00,"1,001.00",975.70,978.50,-0.66,792.00,"777,057.00"
52,2025-11-18,972.30,"1,001.00",972.30,985.00,-0.4,"1,197.00","1,185,073.60"
53,2025-11-17,971.00,989.00,971.00,989.00,1.02,"1,572.00","1,542,175.90"
54,2025-11-16,975.30,990.00,975.30,979.00,-1.51,"1,853.00","1,815,325.80"
55,2025-11-13,979.20,995.00,979.20,994.00,-0.1,618.00,"612,659.00"
56,2025-11-12,976.20,"1,019.80",976.20,995.00,-0.01,739.00,"736,476.60"
57,2025-11-11,"1,005.00","1,005.00",988.80,995.10,-0.99,319.00,"318,061.20"
