S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-24,830.00,840.00,829.00,830.00,-0.23,"5,269.00","4,390,894.60"
2,2026-02-23,830.00,835.00,830.00,831.90,0.23,"4,831.00","4,014,175.10"
3,2026-02-22,826.50,834.00,822.10,830.00,0.0,"16,479.00","13,616,729.20"
4,2026-02-17,842.90,842.90,830.00,830.00,-0.72,"11,535.00","9,618,627.80"
5,2026-02-16,850.00,850.00,836.00,836.00,-0.11,"8,528.00","7,155,265.90"
6,2026-02-12,825.20,845.00,825.00,836.90,0.47,"14,302.00","11,989,119.50"
7,2026-02-11,839.50,841.00,831.20,833.00,0.12,"7,110.00","5,959,868.00"
8,2026-02-10,844.90,845.00,830.00,832.00,-0.94,"9,867.00","8,224,856.20"
9,2026-02-09,836.00,846.00,832.00,839.90,-0.72,"14,355.00","12,007,279.90"
10,2026-02-08,834.00,850.00,833.20,846.00,1.1,"13,731.00","11,636,745.30"
11,2026-02-05,827.30,854.00,827.30,836.80,3.17,"28,704.00","24,178,399.70"
12,2026-02-04,828.80,828.80,811.10,811.10,-1.83,"7,183.00","5,898,997.40"
13,2026-02-03,840.00,841.50,826.20,826.20,-1.99,"13,010.00","10,854,386.00"
14,2026-02-02,832.00,844.00,832.00,843.00,0.36,"9,142.00","7,669,643.30"
15,2026-02-01,856.20,856.20,830.50,840.00,0.0,"7,128.00","6,001,068.70"
16,2026-01-29,846.00,850.00,831.00,840.00,0.59,"14,190.00","11,947,821.30"
17,2026-01-28,846.70,849.90,832.10,835.10,0.59,"7,518.00","6,291,065.10"
18,2026-01-27,850.00,851.00,830.20,830.20,-1.75,"14,837.00","12,465,934.00"
19,2026-01-26,848.30,865.00,841.20,845.00,-0.39,"9,989.00","8,477,267.20"
20,2026-01-25,850.00,860.00,841.00,848.30,-0.2,"9,836.00","8,368,373.20"
21,2026-01-22,841.40,850.00,841.30,850.00,1.03,"4,282.00","3,622,446.00"
22,2026-01-21,839.00,856.00,838.90,841.30,0.21,"14,197.00","12,028,143.20"
23,2026-01-20,840.00,844.00,830.00,839.50,1.38,"13,200.00","11,079,224.60"
24,2026-01-18,826.00,835.00,826.00,828.10,0.25,"6,311.00","5,245,962.60"
25,2026-01-14,819.10,829.50,819.10,826.00,0.73,"3,227.00","2,655,531.90"
26,2026-01-13,832.00,832.00,818.20,820.00,-0.26,"3,440.00","2,823,781.40"
27,2026-01-12,806.20,826.00,806.00,822.10,0.4,"9,766.00","8,029,536.90"
28,2026-01-08,807.00,819.00,806.10,818.80,0.47,"9,117.00","7,441,963.00"
29,2026-01-07,820.00,820.00,805.00,815.00,1.31,"11,876.00","9,661,137.20"
