S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,"1,106.00","1,133.40","1,106.00","1,121.00",0.85,"1,054.00","1,178,457.20"
2,2026-02-26,"1,130.00","1,132.00","1,104.00","1,111.60",0.05,672.00,"754,857.40"
3,2026-02-25,"1,111.00","1,113.00","1,111.00","1,111.10",-0.08,362.00,"402,360.00"
4,2026-02-24,"1,100.00","1,115.00","1,100.00","1,112.00",1.0,"1,848.00","2,051,677.80"
5,2026-02-23,"1,108.00","1,108.00","1,100.00","1,101.00",-0.63,"1,034.00","1,139,284.30"
6,2026-02-22,"1,115.00","1,125.00","1,106.00","1,108.00",0.45,565.00,"629,328.00"
7,2026-02-17,"1,104.30","1,134.00","1,103.00","1,103.00",-0.81,"2,522.00","2,797,828.50"
8,2026-02-16,"1,107.10","1,115.00","1,103.00","1,112.00",0.13,"3,802.00","4,228,329.00"
9,2026-02-12,"1,117.00","1,120.00","1,107.10","1,110.60",-1.19,"1,964.00","2,186,177.50"
10,2026-02-11,"1,138.10","1,138.20","1,117.10","1,124.00",0.72,893.00,"1,004,665.10"
11,2026-02-10,"1,141.90","1,141.90","1,115.00","1,116.00",-2.27,"4,250.00","4,771,479.20"
12,2026-02-09,"1,153.10","1,154.00","1,105.00","1,141.90",-2.15,"4,432.00","5,039,237.00"
13,2026-02-08,"1,174.00","1,180.00","1,166.00","1,167.00",-0.6,726.00,"847,949.60"
14,2026-02-05,"1,164.00","1,187.20","1,161.00","1,174.00",0.86,"1,802.00","2,113,940.10"
15,2026-02-04,"1,186.00","1,187.00","1,164.00","1,164.00",-0.09,782.00,"912,736.80"
16,2026-02-03,"1,190.00","1,193.50","1,155.30","1,165.00",-2.39,394.00,"461,902.00"
17,2026-02-02,"1,155.10","1,193.50","1,151.00","1,193.50",2.0,"3,009.00","3,510,305.10"
18,2026-02-01,"1,185.20","1,185.20","1,166.40","1,170.10",-1.27,990.00,"1,166,850.30"
19,2026-01-29,"1,185.00","1,193.00","1,176.10","1,185.20",0.02,"1,660.00","1,968,423.20"
20,2026-01-28,"1,180.00","1,227.00","1,172.00","1,185.00",0.42,"4,304.00","5,137,205.70"
21,2026-01-27,"1,196.00","1,197.00","1,170.00","1,180.00",-1.42,"5,630.00","6,639,339.00"
22,2026-01-26,"1,224.00","1,224.00","1,190.00","1,197.00",-0.65,"2,632.00","3,147,828.50"
23,2026-01-25,"1,180.00","1,219.00","1,180.00","1,204.80",2.1,"3,824.00","4,579,214.50"
24,2026-01-22,"1,160.10","1,180.00","1,160.10","1,180.00",0.08,"4,296.00","5,002,406.90"
25,2026-01-21,"1,205.00","1,205.00","1,161.50","1,179.00",-0.34,974.00,"1,135,295.90"
26,2026-01-20,"1,193.40","1,198.90","1,173.00","1,183.00",1.11,"2,701.00","3,201,524.50"
27,2026-01-18,"1,165.00","1,183.50","1,164.00","1,170.00",0.6,"2,920.00","3,404,465.50"
28,2026-01-14,"1,151.00","1,163.00","1,151.00","1,163.00",1.04,878.00,"1,016,541.30"
29,2026-01-13,"1,140.00","1,167.90","1,140.00","1,151.00",0.52,"2,249.00","2,580,842.20"
30,2026-01-12,"1,150.00","1,167.00","1,145.00","1,145.00",-0.43,"3,428.00","3,936,855.10"
31,2026-01-08,"1,135.30","1,157.00","1,135.20","1,150.00",-0.69,"1,679.00","1,921,889.30"
32,2026-01-07,"1,164.00","1,177.00","1,140.00","1,158.00",-0.51,"2,184.00","2,505,715.00"
33,2026-01-06,"1,139.00","1,173.00","1,139.00","1,163.90",1.21,"2,511.00","2,915,390.00"
34,2026-01-05,"1,145.00","1,159.00","1,128.00","1,150.00",0.45,"1,378.00","1,578,533.00"
35,2026-01-04,"1,117.30","1,147.50","1,117.00","1,144.90",2.5,"1,515.00","1,716,816.30"
36,2026-01-01,"1,182.00","1,182.00","1,160.10","1,170.00",-0.85,"3,982.00","4,646,681.70"
37,2025-12-31,"1,175.00","1,186.90","1,175.00","1,180.00",-0.67,"1,726.00","2,039,094.50"
38,2025-12-29,"1,190.00","1,193.00","1,185.00","1,188.00",-0.17,"1,189.00","1,413,172.40"
39,2025-12-28,"1,160.00","1,190.00","1,160.00","1,190.00",2.66,"2,909.00","3,436,302.80"
40,2025-12-24,"1,160.00","1,179.00","1,159.00","1,159.20",-0.92,"4,055.00","4,705,942.90"
41,2025-12-23,"1,170.00","1,170.00","1,162.00","1,170.00",-0.85,"1,948.00","2,270,965.00"
42,2025-12-22,"1,199.00","1,200.00","1,162.00","1,180.00",-0.67,"3,647.00","4,274,415.00"
43,2025-12-21,"1,235.00","1,235.00","1,166.30","1,187.90",-5.72,"17,200.00","20,443,620.10"
44,2025-12-18,"1,265.00","1,265.00","1,245.30","1,260.00",-0.1,"2,550.00","3,202,049.80"
45,2025-12-17,"1,265.00","1,268.90","1,257.00","1,261.20",0.1,"1,828.00","2,314,616.10"
46,2025-12-16,"1,240.10","1,274.30","1,240.10","1,260.00",-0.08,"1,747.00","2,196,567.30"
47,2025-12-15,"1,290.00","1,290.00","1,246.00","1,261.00",-0.55,"5,159.00","6,634,126.00"
48,2025-12-14,"1,285.00","1,285.00","1,251.00","1,268.00",-0.16,"3,741.00","4,696,459.70"
49,2025-12-11,"1,272.90","1,275.00","1,247.60","1,270.00",-0.23,"3,031.00","3,830,054.00"
50,2025-12-10,"1,281.00","1,281.00","1,253.00","1,272.90",1.35,"3,789.00","4,762,480.00"
51,2025-12-09,"1,283.00","1,298.90","1,256.00","1,256.00",-0.32,"2,158.00","2,771,203.10"
52,2025-12-08,"1,304.00","1,304.00","1,255.00","1,260.00",-1.56,"4,035.00","5,100,607.00"
53,2025-12-07,"1,260.30","1,280.00","1,255.00","1,280.00",0.71,"1,519.00","1,920,844.00"
54,2025-12-03,"1,290.00","1,298.00","1,270.40","1,271.00",-1.28,"4,396.00","5,642,698.50"
55,2025-12-02,"1,294.00","1,313.80","1,285.00","1,287.50",-0.5,968.00,"1,250,185.40"
56,2025-12-01,"1,315.40","1,315.40","1,270.20","1,294.00",0.15,"2,385.00","3,082,730.10"
57,2025-11-30,"1,299.00","1,315.00","1,290.00","1,292.00",-0.54,"6,396.00","8,295,189.90"
58,2025-11-27,"1,324.90","1,325.00","1,299.00","1,299.00",-1.96,"1,938.00","2,525,028.90"
59,2025-11-26,"1,299.00","1,350.00","1,299.00","1,325.00",0.01,"7,846.00","10,340,704.40"
60,2025-11-25,"1,294.00","1,324.90","1,270.00","1,324.90",3.11,"11,865.00","15,341,812.20"
61,2025-11-24,"1,258.00","1,285.00","1,239.00","1,285.00",1.98,"7,839.00","9,981,980.40"
62,2025-11-23,"1,215.10","1,260.00","1,215.10","1,260.00",3.78,"5,149.00","6,427,159.30"
63,2025-11-20,"1,224.90","1,226.00","1,214.10","1,214.10",-1.04,"1,646.00","2,004,247.40"
64,2025-11-19,"1,248.00","1,248.00","1,213.40","1,226.90",0.16,"1,155.00","1,412,720.00"
65,2025-11-18,"1,220.00","1,229.40","1,207.00","1,225.00",0.57,"4,115.00","5,028,291.80"
66,2025-11-17,"1,200.00","1,219.80","1,200.00","1,218.00",1.5,"1,384.00","1,674,633.20"
67,2025-11-16,"1,183.00","1,211.00","1,183.00","1,200.00",0.33,996.00,"1,191,993.00"
68,2025-11-13,"1,208.00","1,208.00","1,195.20","1,196.00",0.66,"3,696.00","4,430,654.80"
69,2025-11-12,"1,181.20","1,208.70","1,181.20","1,188.10",-1.4,865.00,"1,031,625.80"
