S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,910.00,910.00,896.20,909.00,-0.11,"2,082.00","1,871,572.30"
2,2026-02-09,910.00,910.00,900.10,910.00,0.0,"5,301.00","4,807,281.80"
3,2026-02-08,930.00,940.00,906.00,910.00,-2.15,"4,485.00","4,123,165.20"
4,2026-02-05,930.00,930.00,915.50,930.00,1.09,"1,752.00","1,608,010.30"
5,2026-02-04,906.50,925.00,906.50,920.00,-0.42,"1,855.00","1,699,346.30"
6,2026-02-03,905.00,923.90,905.00,923.90,0.64,"2,111.00","1,935,682.00"
7,2026-02-02,930.00,932.00,916.40,918.00,0.44,"2,290.00","2,115,334.60"
8,2026-02-01,907.00,915.00,907.00,914.00,-0.45,"3,871.00","3,524,319.60"
9,2026-01-29,929.00,929.00,916.00,918.10,-0.37,"3,120.00","2,868,291.00"
10,2026-01-28,925.00,938.00,921.50,921.50,-0.38,"4,115.00","3,801,027.00"
11,2026-01-27,922.10,935.00,922.00,925.00,-1.48,"4,918.00","4,559,891.80"
12,2026-01-26,940.00,943.00,926.20,938.90,-0.05,"4,832.00","4,533,036.10"
13,2026-01-25,933.30,939.80,922.00,939.40,2.67,"3,686.00","3,441,971.00"
14,2026-01-22,910.00,922.00,910.00,915.00,0.14,845.00,"776,895.00"
15,2026-01-21,940.00,940.00,913.50,913.70,-1.96,"2,026.00","1,865,433.00"
16,2026-01-20,906.00,940.00,906.00,932.00,2.08,"2,569.00","2,395,696.50"
17,2026-01-18,900.00,914.50,900.00,913.00,2.8,"2,485.00","2,253,405.70"
18,2026-01-14,884.00,888.20,884.00,888.10,-0.6,523.00,"464,229.90"
19,2026-01-13,886.00,905.00,886.00,893.50,-0.72,"1,154.00","1,039,691.00"
20,2026-01-12,888.10,943.00,888.10,900.00,-0.3,"4,260.00","3,884,687.20"
21,2026-01-08,900.00,903.00,886.00,902.70,0.3,648.00,"577,720.70"
22,2026-01-07,881.00,900.00,881.00,900.00,2.16,"1,986.00","1,776,503.00"
23,2026-01-06,905.00,905.00,876.00,881.00,-0.73,"1,887.00","1,658,343.00"
24,2026-01-05,889.90,889.90,868.00,887.50,1.43,"3,489.00","3,057,499.90"
25,2026-01-04,875.00,877.00,870.00,875.00,0.34,"1,861.00","1,622,169.40"
26,2026-01-01,935.00,938.00,926.80,930.00,-1.48,"4,909.00","4,567,262.10"
