S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,922.30,953.00,922.30,931.00,-0.43,"3,138.00","2,937,123.90"
2,2026-02-05,922.30,957.00,922.30,935.00,0.95,"3,091.00","2,913,566.40"
3,2026-02-04,956.00,957.00,926.20,926.20,-1.99,"3,460.00","3,245,739.70"
4,2026-02-03,953.70,953.90,925.00,945.00,0.43,"4,150.00","3,863,172.10"
5,2026-02-02,955.00,955.00,940.20,941.00,-1.27,"2,557.00","2,408,269.30"
6,2026-02-01,947.00,963.90,947.00,953.10,0.22,"3,035.00","2,903,632.80"
7,2026-01-29,960.00,961.80,943.40,951.00,-1.12,"6,144.00","5,865,866.40"
8,2026-01-28,943.00,961.80,935.00,961.80,1.99,"11,456.00","10,750,226.50"
9,2026-01-27,970.00,970.00,942.00,943.00,-1.77,"5,391.00","5,105,939.20"
10,2026-01-26,960.20,971.90,948.00,960.00,-0.01,"8,047.00","7,714,175.10"
11,2026-01-25,960.20,970.00,950.00,960.10,-0.01,"7,785.00","7,488,007.40"
12,2026-01-22,964.00,964.00,933.10,960.20,0.86,"9,323.00","8,797,503.60"
13,2026-01-21,968.00,968.00,952.00,952.00,-0.21,"6,382.00","6,098,306.30"
14,2026-01-20,979.90,979.90,951.60,954.00,-1.14,"5,114.00","4,916,519.60"
15,2026-01-18,955.00,984.80,937.10,965.00,1.26,"5,219.00","5,038,104.10"
16,2026-01-14,955.00,955.00,924.00,953.00,0.85,"5,995.00","5,606,190.50"
17,2026-01-13,964.00,964.00,921.30,945.00,-0.53,"10,428.00","9,763,901.20"
18,2026-01-12,969.00,988.00,950.00,950.00,-3.85,"15,901.00","15,265,760.80"
19,2026-01-08,973.20,992.00,970.00,988.00,-0.5,"4,657.00","4,530,405.50"
20,2026-01-07,980.00,995.00,969.00,993.00,-0.7,"7,662.00","7,523,155.00"
21,2026-01-06,980.00,"1,080.00",980.00,"1,000.00",0.0,"6,392.00","6,355,380.40"
22,2026-01-05,963.10,"1,015.00",963.10,"1,000.00",1.76,"11,222.00","11,174,497.40"
23,2026-01-04,"1,096.70","1,140.00","1,045.00","1,081.00",-3.4,"25,895.00","27,795,706.00"
24,2026-01-01,"1,065.30","1,140.00","1,042.00","1,119.00",2.94,"20,959.00","22,319,773.50"
25,2025-12-31,"1,035.90","1,119.00","1,035.90","1,087.00",2.84,"16,189.00","17,248,828.50"
26,2025-12-29,"1,026.10","1,131.00","1,026.10","1,057.00",0.96,"4,184.00","4,402,001.00"
27,2025-12-28,"1,036.90","1,055.00","1,030.10","1,047.00",0.97,"6,011.00","6,272,500.60"
28,2025-12-24,"1,000.00","1,071.00","1,000.00","1,036.90",2.16,"4,804.00","5,015,755.30"
29,2025-12-23,"1,059.00","1,059.00","1,012.00","1,015.00",-2.31,"2,903.00","2,967,310.80"
30,2025-12-22,"1,014.30","1,075.60","1,000.70","1,039.00",0.4,"9,776.00","10,020,797.10"
31,2025-12-21,"1,058.40","1,070.00","1,016.00","1,034.90",-4.18,"18,200.00","18,810,812.50"
32,2025-12-18,"1,078.00","1,098.00","1,043.00","1,080.00",-1.82,"13,785.00","14,472,044.60"
33,2025-12-17,"1,087.80","1,100.00","1,045.00","1,100.00",-0.9,"11,218.00","12,016,889.90"
34,2025-12-16,"1,029.10","1,110.00","1,029.10","1,110.00",5.7,"5,504.00","5,877,344.00"
35,2025-12-15,"1,020.70","1,104.00","1,020.70","1,050.10",0.83,"5,160.00","5,406,633.30"
36,2025-12-14,"1,070.00","1,090.90","1,036.00","1,041.50",-2.94,"30,362.00","31,833,276.00"
37,2025-12-11,"1,100.00","1,110.00","1,045.00","1,073.00",-1.56,"5,241.00","5,597,617.50"
38,2025-12-10,"1,081.00","1,189.30","1,070.00","1,090.00",-0.92,"20,664.00","22,610,313.70"
39,2025-12-09,"1,115.20","1,116.10","1,095.20","1,100.10",-3.32,"11,028.00","12,159,678.10"
40,2025-12-08,"1,134.00","1,139.00","1,110.00","1,137.90",0.34,"24,385.00","27,323,454.80"
41,2025-12-07,"1,110.00","1,170.70","1,110.00","1,134.00",2.16,"52,118.00","59,479,898.90"
42,2025-12-03,"1,078.00","1,122.00","1,078.00","1,110.00",0.91,"18,238.00","20,194,711.00"
43,2025-12-02,"1,058.40","1,135.00","1,058.40","1,100.00",1.85,"19,761.00","22,031,514.20"
44,2025-12-01,"1,028.00","1,128.00","1,028.00","1,080.00",3.05,"15,371.00","16,564,729.60"
45,2025-11-30,"1,015.30","1,100.00","1,015.30","1,048.00",1.16,"10,530.00","11,019,517.50"
46,2025-11-27,"1,011.40","1,036.00","1,011.40","1,036.00",0.39,"1,851.00","1,897,824.80"
47,2025-11-26,"1,013.40","1,033.00","1,013.40","1,032.00",-0.19,"1,816.00","1,871,422.70"
48,2025-11-25,"1,028.10","1,055.00","1,025.10","1,034.00",-1.43,"3,720.00","3,855,834.30"
49,2025-11-24,994.70,"1,061.20",994.70,"1,049.00",3.35,"6,452.00","6,725,124.50"
50,2025-11-23,980.00,"1,025.00",980.00,"1,015.00",1.71,"3,147.00","3,188,001.80"
51,2025-11-20,987.10,"1,003.90",986.00,997.90,0.59,"1,377.00","1,364,718.20"
52,2025-11-19,"1,014.00","1,014.00",990.00,992.00,-1.19,904.00,"898,149.30"
53,2025-11-18,982.00,"1,010.00",982.00,"1,003.90",0.69,"1,142.00","1,137,327.70"
54,2025-11-17,981.00,999.90,981.00,997.00,0.97,641.00,"635,267.90"
55,2025-11-16,986.70,"1,014.00",986.10,987.40,-1.75,366.00,"364,536.30"
56,2025-11-13,980.00,"1,005.00",980.00,"1,005.00",0.8,"2,290.00","2,271,483.60"
57,2025-11-12,993.50,"1,013.00",993.50,997.00,-1.0,"1,397.00","1,393,900.50"
58,2025-11-11,982.00,"1,070.00",982.00,"1,007.10",0.51,"2,551.00","2,577,677.80"
59,2025-11-10,995.00,"1,008.00",991.00,"1,002.00",0.7,"2,927.00","2,916,482.60"
60,2025-11-09,"1,002.10","1,008.00",986.00,995.00,-2.64,"2,886.00","2,861,190.40"
61,2025-11-06,"1,007.00","1,027.10",995.00,"1,022.00",1.49,"2,897.00","2,938,001.00"
62,2025-11-05,987.10,"1,008.90",985.00,"1,007.00",1.21,"4,326.00","4,307,182.00"
63,2025-11-04,"1,000.00","1,039.90",995.00,995.00,-2.42,"1,238.00","1,237,978.20"
