S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,975.00,975.00,961.00,970.00,-0.02,"1,520.00","1,475,618.70"
2,2026-02-09,980.00,990.00,957.00,970.20,-2.3,"6,504.00","6,271,719.90"
3,2026-02-08,998.00,"1,005.00",990.10,993.00,-0.7,"1,950.00","1,947,551.70"
4,2026-02-05,980.10,"1,010.00",980.10,"1,000.00",0.26,"2,644.00","2,650,719.40"
5,2026-02-04,975.00,997.40,970.10,997.40,1.99,"1,736.00","1,711,378.40"
6,2026-02-03,978.00,980.00,970.00,977.90,-0.01,"1,123.00","1,093,469.00"
7,2026-02-02,976.00,978.00,970.20,978.00,0.46,"1,341.00","1,306,644.00"
8,2026-02-01,975.00,990.00,971.00,973.50,-1.18,"1,505.00","1,469,861.40"
9,2026-01-29,999.00,999.00,983.00,985.10,-1.19,"1,384.00","1,365,868.50"
10,2026-01-28,985.10,997.00,985.00,997.00,-0.1,"2,238.00","2,217,839.00"
11,2026-01-27,"1,015.00","1,015.00",990.00,998.00,-1.67,"1,773.00","1,772,761.30"
12,2026-01-26,"1,015.00","1,028.00","1,002.60","1,015.00",0.0,"1,856.00","1,881,411.70"
13,2026-01-25,976.00,"1,015.00",976.00,"1,015.00",2.01,"4,893.00","4,928,877.90"
14,2026-01-22,993.00,996.00,973.50,995.00,0.2,971.00,"958,337.80"
15,2026-01-21,981.00,993.00,974.00,993.00,1.32,"1,113.00","1,091,397.90"
16,2026-01-20,975.10,994.00,974.50,980.10,0.51,"1,876.00","1,846,244.40"
17,2026-01-18,963.60,994.00,963.60,975.10,0.01,679.00,"663,819.00"
18,2026-01-14,980.00,980.00,965.10,975.00,-0.51,295.00,"285,796.90"
19,2026-01-13,970.50,999.00,970.20,980.00,-0.51,791.00,"769,491.10"
20,2026-01-12,"1,000.00","1,000.00",980.00,985.00,-1.4,468.00,"461,790.00"
21,2026-01-08,981.00,"1,000.00",981.00,999.00,-0.1,"1,307.00","1,285,586.90"
22,2026-01-07,"1,031.00","1,031.00",990.80,"1,000.00",-1.09,570.00,"568,548.20"
23,2026-01-06,"1,010.00","1,011.00","1,000.00","1,011.00",0.1,"2,550.00","2,568,657.00"
24,2026-01-05,981.10,"1,010.00",976.10,"1,010.00",1.51,"2,527.00","2,510,579.80"
25,2026-01-04,"1,024.00","1,024.00",994.00,995.00,-1.29,"1,252.00","1,250,524.60"
26,2026-01-01,"1,000.10","1,015.00","1,000.00","1,008.00",-0.3,"2,314.00","2,329,202.90"
27,2025-12-31,987.00,"1,011.00",987.00,"1,011.00",0.61,"4,484.00","4,504,478.40"
28,2025-12-29,"1,015.00","1,015.00",990.00,"1,004.90",0.1,"1,362.00","1,353,999.40"
29,2025-12-28,980.00,"1,004.70",980.00,"1,003.90",1.61,"2,364.00","2,350,154.80"
30,2025-12-24,962.00,990.00,962.00,988.00,0.83,"1,313.00","1,287,287.10"
31,2025-12-23,960.70,979.90,960.50,979.90,0.07,678.00,"658,571.60"
32,2025-12-22,960.60,979.20,960.00,979.20,0.02,610.00,"587,194.60"
33,2025-12-21,980.00,997.80,961.10,979.00,-1.61,"1,834.00","1,795,108.30"
34,2025-12-18,999.00,"1,012.00",990.40,995.00,0.2,"3,543.00","3,528,253.60"
35,2025-12-17,986.20,996.00,986.20,993.00,0.81,"2,532.00","2,508,091.60"
36,2025-12-16,970.50,989.00,970.50,985.00,1.55,989.00,"973,923.00"
37,2025-12-15,964.00,974.00,964.00,970.00,0.71,"1,247.00","1,208,339.90"
38,2025-12-14,952.00,971.00,952.00,963.20,1.51,"5,508.00","5,323,042.90"
39,2025-12-11,969.00,969.00,945.00,948.90,-0.33,543.00,"514,886.10"
40,2025-12-10,950.00,952.00,943.00,952.00,-0.83,"2,345.00","2,217,600.40"
41,2025-12-09,951.00,960.00,947.00,960.00,0.0,909.00,"864,731.70"
42,2025-12-08,940.00,960.00,940.00,960.00,0.84,"1,097.00","1,048,461.10"
43,2025-12-07,940.00,958.00,940.00,952.00,-0.31,"1,393.00","1,320,355.20"
44,2025-12-03,955.00,968.00,955.00,955.00,0.19,994.00,"956,422.40"
45,2025-12-02,950.80,967.00,950.40,953.20,-0.51,387.00,"370,027.40"
46,2025-12-01,955.00,970.00,954.00,958.10,0.64,"1,989.00","1,924,035.80"
47,2025-11-30,952.00,970.80,952.00,952.00,0.02,"3,351.00","3,212,927.60"
48,2025-11-27,962.00,980.00,951.80,951.80,-2.88,860.00,"830,180.10"
49,2025-11-26,948.00,988.30,948.00,980.00,1.33,822.00,"802,563.60"
50,2025-11-25,947.00,985.20,947.00,967.10,0.1,862.00,"833,055.00"
51,2025-11-24,979.50,979.50,959.50,966.10,-0.3,"2,052.00","1,972,211.90"
52,2025-11-23,960.00,979.20,950.00,969.00,2.87,"1,050.00","1,011,183.50"
53,2025-11-20,930.10,949.00,930.10,942.00,0.18,274.00,"257,998.10"
54,2025-11-19,953.00,960.00,940.30,940.30,-2.37,978.00,"926,935.10"
55,2025-11-18,946.00,970.00,946.00,963.10,-0.2,733.00,"705,525.70"
56,2025-11-17,950.00,965.00,935.10,965.00,1.33,463.00,"443,689.00"
57,2025-11-16,955.00,969.90,951.10,952.30,-1.82,694.00,"662,411.90"
58,2025-11-13,975.00,975.00,970.00,970.00,-1.55,303.00,"293,986.60"
59,2025-11-12,980.00,998.90,965.50,985.30,1.79,697.00,"687,445.30"
60,2025-11-11,960.10,975.00,960.00,968.00,-0.72,377.00,"364,641.90"
61,2025-11-10,"1,000.90","1,001.00",975.00,975.00,-1.12,517.00,"512,387.10"
62,2025-11-09,966.50,986.00,966.50,986.00,0.16,366.00,"356,322.60"
63,2025-11-06,965.10,984.40,965.00,984.40,0.05,866.00,"839,261.30"
64,2025-11-05,965.00,984.00,963.00,983.90,0.38,218.00,"211,976.90"
65,2025-11-04,981.10,987.10,980.20,980.20,-1.98,963.00,"948,890.90"
66,2025-11-03,"1,000.00","1,020.00",996.00,"1,000.00",-1.19,596.00,"600,170.00"
67,2025-11-02,"1,016.90","1,027.00","1,012.00","1,012.00",1.3,"1,441.00","1,467,362.40"
68,2025-10-30,980.00,"1,007.00",961.00,999.00,0.4,"1,089.00","1,073,147.60"
69,2025-10-29,994.50,"1,000.00",979.10,995.00,2.05,"2,151.00","2,119,629.60"
70,2025-10-28,972.00,"1,003.80",970.00,975.00,-0.94,698.00,"687,844.00"
71,2025-10-26,965.00,984.30,950.00,984.30,2.0,791.00,"758,701.90"
72,2025-10-19,956.10,975.20,956.10,965.00,-1.03,483.00,"467,853.60"
73,2025-10-16,990.00,"1,003.00",975.00,975.00,-1.52,865.00,"849,008.30"
