S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,"1,322.00","1,359.70","1,306.00","1,342.00",1.51,"3,451.00","4,627,003.40"
2,2026-02-25,"1,322.00","1,331.00","1,310.00","1,322.00",1.07,678.00,"890,813.00"
3,2026-02-24,"1,320.00","1,320.00","1,302.80","1,308.00",0.62,727.00,"954,083.70"
4,2026-02-23,"1,305.00","1,315.60","1,300.00","1,300.00",-0.76,"1,401.00","1,825,771.90"
5,2026-02-22,"1,305.00","1,316.00","1,291.00","1,309.90",0.48,"2,932.00","3,807,800.20"
6,2026-02-17,"1,302.60","1,318.90","1,302.50","1,303.60",-1.47,"3,606.00","4,710,141.50"
7,2026-02-16,"1,308.20","1,325.00","1,308.20","1,323.00",-0.15,"2,263.00","2,967,677.30"
8,2026-02-12,"1,307.50","1,329.00","1,306.00","1,325.00",-0.3,"2,845.00","3,736,429.10"
9,2026-02-11,"1,340.90","1,340.90","1,310.00","1,329.00",1.06,"2,868.00","3,776,411.10"
10,2026-02-10,"1,335.00","1,342.00","1,300.00","1,315.00",-1.42,"4,851.00","6,355,572.00"
11,2026-02-09,"1,370.50","1,370.50","1,308.40","1,334.00",-0.82,"7,528.00","9,954,317.80"
12,2026-02-08,"1,360.00","1,377.00","1,333.00","1,345.00",-0.37,"4,456.00","5,972,453.10"
13,2026-02-05,"1,340.10","1,373.00","1,340.00","1,350.00",0.0,"6,743.00","9,080,521.50"
14,2026-02-04,"1,389.90","1,393.30","1,347.50","1,350.00",-1.17,"3,679.00","5,006,365.40"
15,2026-02-03,"1,400.00","1,400.00","1,366.00","1,366.00",-2.39,"4,518.00","6,234,791.10"
16,2026-02-02,"1,523.90","1,523.90","1,399.50","1,399.50",-10.0,"37,359.00","52,296,489.80"
17,2026-02-01,"1,390.00","1,555.00","1,360.40","1,555.00",9.7,"28,463.00","39,630,874.70"
18,2026-01-29,"1,543.50","1,543.50","1,417.50","1,417.50",-10.0,"40,178.00","56,972,834.30"
19,2026-01-28,"1,410.00","1,582.00","1,398.00","1,575.00",9.51,"16,965.00","24,258,078.30"
20,2026-01-27,"1,425.00","1,449.00","1,385.00","1,438.20",0.93,"8,842.00","12,564,704.70"
21,2026-01-26,"1,410.00","1,425.00","1,376.00","1,425.00",2.52,"6,460.00","9,027,429.40"
22,2026-01-25,"1,358.00","1,398.00","1,350.00","1,390.00",4.12,"7,389.00","10,171,315.00"
23,2026-01-22,"1,334.00","1,350.00","1,332.00","1,335.00",-1.11,"4,502.00","6,020,530.10"
24,2026-01-21,"1,383.50","1,385.00","1,345.00","1,350.00",-1.17,"4,651.00","6,364,736.70"
25,2026-01-20,"1,365.00","1,369.00","1,344.00","1,366.00",1.34,"7,025.00","9,499,250.30"
26,2026-01-18,"1,340.90","1,367.00","1,336.00","1,348.00",2.51,"4,626.00","6,233,007.70"
27,2026-01-14,"1,301.50","1,330.00","1,295.00","1,315.00",-0.38,"3,105.00","4,074,639.90"
28,2026-01-13,"1,324.00","1,324.90","1,300.00","1,320.00",-0.3,"1,560.00","2,032,320.50"
29,2026-01-12,"1,311.00","1,326.00","1,285.00","1,324.00",-0.44,"6,071.00","7,865,007.90"
30,2026-01-08,"1,330.00","1,330.00","1,305.00","1,329.90",-0.01,374.00,"494,196.30"
31,2026-01-07,"1,317.00","1,354.00","1,317.00","1,330.00",-1.0,"5,458.00","7,322,323.50"
32,2026-01-06,"1,325.00","1,344.40","1,307.00","1,343.50",1.4,"2,137.00","2,836,530.60"
33,2026-01-05,"1,314.00","1,329.50","1,300.00","1,325.00",0.84,"3,278.00","4,299,579.50"
34,2026-01-04,"1,327.00","1,327.00","1,300.00","1,314.00",-0.98,"4,846.00","6,324,928.70"
35,2026-01-01,"1,323.00","1,333.00","1,312.10","1,327.00",-1.04,"2,776.00","3,659,880.00"
36,2025-12-31,"1,352.40","1,368.00","1,305.00","1,341.00",1.14,"4,985.00","6,655,300.50"
37,2025-12-29,"1,524.00","1,545.00","1,488.20","1,514.90",1.26,"31,252.00","46,819,622.50"
38,2025-12-28,"1,522.00","1,522.00","1,485.00","1,496.00",-0.13,"7,360.00","10,984,393.40"
39,2025-12-24,"1,471.10","1,499.00","1,471.10","1,498.00",0.54,"2,736.00","4,069,788.50"
40,2025-12-23,"1,500.00","1,500.00","1,470.00","1,490.00",0.28,"2,243.00","3,309,462.00"
41,2025-12-22,"1,512.90","1,512.90","1,469.10","1,485.90",-0.14,"4,817.00","7,157,761.80"
42,2025-12-21,"1,516.70","1,516.70","1,476.00","1,488.00",0.07,"3,445.00","5,122,235.70"
43,2025-12-18,"1,524.00","1,524.00","1,466.10","1,487.00",-0.87,"5,347.00","7,873,784.50"
44,2025-12-17,"1,510.80","1,521.10","1,460.00","1,500.00",-0.72,"3,785.00","5,586,301.60"
45,2025-12-16,"1,490.00","1,515.00","1,485.00","1,510.90",0.86,"2,606.00","3,878,197.70"
46,2025-12-15,"1,475.70","1,515.00","1,475.60","1,498.00",0.54,"1,275.00","1,894,255.40"
47,2025-12-14,"1,490.00","1,642.00","1,490.00","1,490.00",-1.84,"6,634.00","9,951,726.50"
48,2025-12-11,"1,508.00","1,518.00","1,496.00","1,518.00",1.53,"2,243.00","3,374,078.00"
49,2025-12-10,"1,514.00","1,514.00","1,491.00","1,495.10",-0.66,966.00,"1,443,062.40"
50,2025-12-09,"1,530.00","1,530.00","1,492.10","1,505.00",-3.46,"5,457.00","8,218,815.30"
51,2025-12-08,"1,560.00","1,560.00","1,497.10","1,559.00",-0.26,"8,902.00","13,456,153.80"
52,2025-12-07,"1,627.80","1,627.80","1,540.00","1,563.00",-5.9,"4,785.00","7,540,086.00"
53,2025-12-03,"1,511.00","1,661.00","1,502.00","1,661.00",10.0,"6,671.00","10,235,624.30"
54,2025-12-02,"1,510.00","1,524.00","1,503.50","1,510.00",0.0,926.00,"1,396,258.90"
55,2025-12-01,"1,506.00","1,520.00","1,499.00","1,510.00",0.67,"1,533.00","2,314,709.00"
56,2025-11-30,"1,497.00","1,524.00","1,491.00","1,500.00",-1.22,"3,066.00","4,621,321.50"
57,2025-11-27,"1,496.50","1,544.00","1,496.50","1,518.60",-0.55,"1,284.00","1,952,023.00"
58,2025-11-26,"1,544.00","1,544.00","1,515.00","1,527.00",0.13,676.00,"1,028,555.00"
59,2025-11-25,"1,503.00","1,525.00","1,502.00","1,525.00",0.79,"2,383.00","3,604,625.70"
60,2025-11-24,"1,524.00","1,524.00","1,500.00","1,513.00",1.07,987.00,"1,494,812.30"
61,2025-11-23,"1,480.00","1,509.60","1,480.00","1,497.00",1.49,"2,092.00","3,135,699.20"
62,2025-11-20,"1,450.50","1,479.00","1,450.00","1,475.00",0.42,"2,938.00","4,320,935.00"
63,2025-11-19,"1,498.90","1,498.90","1,457.10","1,468.90",-0.68,363.00,"531,525.70"
64,2025-11-18,"1,465.00","1,490.00","1,460.40","1,479.00",0.82,776.00,"1,141,316.20"
65,2025-11-17,"1,489.90","1,489.90","1,451.00","1,467.00",0.41,"1,409.00","2,059,817.10"
66,2025-11-16,"1,470.00","1,470.00","1,448.40","1,461.00",0.08,"1,126.00","1,651,635.30"
67,2025-11-13,"1,450.00","1,473.00","1,444.30","1,459.90",-0.28,150.00,"219,751.00"
68,2025-11-12,"1,451.30","1,464.00","1,445.00","1,464.00",-0.34,"2,100.00","3,045,810.00"
