S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,"1,498.00","1,507.50","1,450.60","1,456.50",-3.38,"2,116.00","3,149,283.30"
2,2026-02-08,"1,460.00","1,507.50","1,445.00","1,507.50",2.0,"1,912.00","2,810,428.00"
3,2026-02-05,"1,483.00","1,512.00","1,455.00","1,478.00",1.64,355.00,"521,312.00"
4,2026-02-04,"1,454.30","1,480.00","1,454.20","1,454.20",-1.01,460.00,"673,966.00"
5,2026-02-03,"1,479.00","1,499.40","1,449.50","1,469.00",0.14,"4,025.00","5,971,080.10"
6,2026-02-02,"1,426.20","1,469.00","1,426.20","1,467.00",1.17,777.00,"1,130,416.40"
7,2026-02-01,"1,435.00","1,508.00","1,435.00","1,450.00",0.0,"1,871.00","2,747,445.50"
8,2026-01-29,"1,460.00","1,468.00","1,426.10","1,450.00",0.69,"3,914.00","5,640,113.30"
9,2026-01-28,"1,450.00","1,460.00","1,430.00","1,440.00",-0.76,"1,128.00","1,628,585.00"
10,2026-01-27,"1,488.00","1,489.00","1,423.10","1,451.00",-0.62,"1,854.00","2,690,085.50"
11,2026-01-26,"1,475.00","1,500.00","1,460.00","1,460.00",-0.68,"1,936.00","2,861,304.00"
12,2026-01-25,"1,465.00","1,509.00","1,450.00","1,470.00",1.38,"4,501.00","6,672,162.20"
13,2026-01-22,"1,430.10","1,465.80","1,430.00","1,450.00",-0.34,"2,568.00","3,721,427.50"
14,2026-01-21,"1,435.30","1,460.00","1,434.80","1,455.00",-0.61,"1,900.00","2,734,240.70"
15,2026-01-20,"1,465.00","1,470.00","1,442.00","1,464.00",1.88,"1,450.00","2,103,615.40"
16,2026-01-18,"1,438.00","1,495.00","1,437.00","1,437.00",1.91,"1,786.00","2,584,873.60"
17,2026-01-14,"1,440.00","1,445.00","1,410.00","1,410.00",-1.4,"1,161.00","1,646,685.80"
18,2026-01-13,"1,416.00","1,447.00","1,416.00","1,430.00",-0.97,"1,976.00","2,814,358.00"
19,2026-01-12,"1,427.00","1,444.00","1,422.00","1,444.00",-0.48,"1,149.00","1,640,616.10"
20,2026-01-08,"1,425.00","1,476.90","1,425.00","1,451.00",0.21,573.00,"826,956.00"
21,2026-01-07,"1,450.00","1,470.90","1,435.00","1,448.00",-0.14,426.00,"616,503.00"
22,2026-01-06,"1,441.00","1,467.00","1,430.00","1,450.00",-1.28,"1,535.00","2,213,263.60"
23,2026-01-05,"1,477.00","1,477.00","1,424.00","1,468.80",1.3,718.00,"1,035,295.00"
24,2026-01-04,"1,422.10","1,458.00","1,410.00","1,450.00",0.0,"1,350.00","1,931,876.30"
25,2026-01-01,"1,437.00","1,450.00","1,425.00","1,450.00",-0.61,"1,243.00","1,782,249.70"
26,2025-12-31,"1,450.00","1,472.00","1,431.10","1,458.90",1.31,"1,251.00","1,810,819.00"
27,2025-12-29,"1,468.00","1,484.90","1,440.00","1,440.00",-3.23,805.00,"1,170,027.00"
28,2025-12-28,"1,456.00","1,497.00","1,439.00","1,488.00",0.2,"2,487.00","3,618,748.30"
29,2025-12-24,"1,437.00","1,523.00","1,437.00","1,485.00",1.28,297.00,"436,649.00"
30,2025-12-23,"1,469.10","1,589.00","1,445.00","1,466.30",-2.18,"4,993.00","7,342,398.70"
