S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2024-03-12,561.00,590.40,561.00,580.00,5.45,"25,868.00","14,867,392.40"
2,2024-03-10,516.20,557.50,516.20,550.00,5.16,"16,389.00","8,992,983.60"
3,2024-03-07,532.90,532.90,520.00,523.00,-0.38,"1,170.00","612,559.00"
4,2024-03-06,523.00,525.00,520.00,525.00,0.57,"2,969.00","1,553,495.00"
5,2024-03-05,535.00,535.50,515.30,522.00,-0.57,"4,372.00","2,286,734.80"
6,2024-03-04,515.00,525.00,515.00,525.00,3.82,20.00,"10,400.00"
7,2024-03-03,510.50,516.00,500.10,505.70,-2.56,"8,679.00","4,406,286.40"
8,2024-02-29,525.00,527.00,516.60,519.00,-0.54,"2,444.00","1,270,017.00"
9,2024-02-28,526.50,528.00,520.60,521.80,-0.89,"2,958.00","1,545,381.90"
10,2024-02-27,524.00,530.00,524.00,526.50,0.48,"6,740.00","3,552,718.00"
11,2024-02-26,525.00,529.00,516.20,524.00,-0.19,"3,986.00","2,077,949.00"
12,2024-02-25,528.10,535.00,520.90,525.00,-2.56,"9,575.00","5,063,017.40"
13,2024-02-22,549.00,550.00,538.70,538.80,-1.86,"1,671.00","904,133.40"
14,2024-02-21,554.80,554.80,543.00,549.00,-0.72,"1,472.00","801,697.80"
15,2024-02-20,545.00,553.00,540.00,553.00,0.00,"2,278.00","1,241,937.20"
16,2024-02-18,555.00,563.00,552.00,553.00,-2.30,"1,849.00","1,026,090.30"
17,2024-02-15,557.00,569.00,557.00,566.00,-0.35,"4,609.00","2,589,613.30"
18,2024-02-14,555.00,576.00,555.00,568.00,1.97,"3,133.00","1,763,368.10"
19,2024-02-13,560.00,571.00,549.00,557.00,-1.76,"8,108.00","4,543,400.60"
20,2024-02-12,551.00,571.20,551.00,567.00,1.25,"3,026.00","1,717,826.50"
21,2024-02-11,580.00,589.00,560.00,560.00,-2.78,"12,577.00","7,172,247.10"
22,2024-02-08,564.10,576.00,564.10,576.00,1.05,"3,115.00","1,779,546.80"
23,2024-02-07,586.50,586.50,567.00,570.00,-0.87,"4,965.00","2,848,526.50"
24,2024-02-06,560.00,575.00,560.00,575.00,4.36,"4,461.00","2,546,873.80"
25,2024-02-05,552.00,572.00,541.00,551.00,-0.74,"6,768.00","3,778,542.10"
26,2024-02-04,550.00,580.00,550.00,555.10,-0.34,"3,178.00","1,788,302.70"
27,2024-02-01,559.10,570.00,551.10,557.00,-1.76,"7,444.00","4,174,655.40"
28,2024-01-31,575.00,586.00,566.00,567.00,-2.74,"5,469.00","3,133,994.20"
29,2024-01-30,585.00,596.00,579.10,583.00,-0.34,"3,615.00","2,116,150.80"
30,2024-01-29,612.00,612.00,585.00,585.00,-2.50,"4,438.00","2,634,179.40"
31,2024-01-28,575.10,601.00,575.10,600.00,5.26,"9,840.00","5,772,208.10"
32,2024-01-25,590.00,590.00,570.00,570.00,-3.39,"10,287.00","5,934,223.20"
33,2024-01-24,585.00,595.00,582.00,590.00,0.51,"4,286.00","2,525,392.00"
34,2024-01-23,594.00,598.00,585.00,587.00,-1.18,"7,959.00","4,713,415.80"
35,2024-01-22,606.00,606.00,594.00,594.00,-2.14,"6,924.00","4,146,801.90"
36,2024-01-21,630.00,632.00,607.00,607.00,-2.27,"5,154.00","3,186,962.30"
37,2024-01-18,613.10,630.00,604.10,621.10,-0.62,"9,687.00","5,994,310.30"
38,2024-01-17,608.70,651.70,607.00,625.00,0.63,"24,282.00","15,426,705.70"
39,2024-01-16,616.00,635.90,616.00,621.10,-0.46,"8,097.00","5,089,815.40"
40,2024-01-14,601.00,626.20,592.00,624.00,5.58,"7,703.00","4,703,807.80"
41,2024-01-11,589.00,600.00,578.00,591.00,0.48,"7,759.00","4,578,879.10"
42,2024-01-10,579.00,597.00,568.20,588.20,3.56,"7,051.00","4,158,544.70"
43,2024-01-09,571.00,582.00,568.00,568.00,-0.53,"5,326.00","3,059,896.40"
44,2024-01-08,570.00,576.00,553.70,571.00,-0.05,"9,431.00","5,346,357.50"
45,2024-01-07,563.00,580.00,555.00,571.30,3.50,"16,917.00","9,700,779.10"
46,2024-01-04,540.00,559.60,538.00,552.00,2.60,"5,517.00","3,046,842.60"
47,2024-01-03,538.60,547.00,533.00,538.00,-0.11,"4,022.00","2,167,665.00"
48,2024-01-02,545.00,545.00,535.30,538.60,-0.26,"4,737.00","2,556,523.70"
49,2024-01-01,551.90,557.00,540.00,540.00,-4.07,"13,833.00","7,565,759.30"
50,2023-12-28,565.40,572.00,552.00,562.90,-2.43,"3,160.00","1,768,660.00"
51,2023-12-27,584.00,584.00,570.00,576.90,-3.04,"1,702.00","980,094.30"
52,2023-12-24,615.00,616.00,594.00,595.00,-3.25,"4,087.00","2,457,091.90"
53,2023-12-21,635.00,641.00,615.00,615.00,-3.32,"4,831.00","3,018,430.90"
54,2023-12-20,611.00,675.00,611.00,636.10,2.93,"7,190.00","4,648,272.70"
55,2023-12-19,590.00,626.00,590.00,618.00,5.10,"7,972.00","4,865,986.20"
56,2023-12-18,550.00,594.00,545.20,588.00,7.87,"7,896.00","4,584,400.60"
57,2023-12-17,534.10,555.00,530.00,545.10,0.02,"2,065.00","1,122,726.40"
58,2023-12-14,530.00,553.40,519.40,545.00,0.93,"3,717.00","2,006,258.80"
59,2023-12-13,538.00,543.00,526.30,540.00,1.47,"2,995.00","1,603,278.70"
60,2023-12-12,515.00,540.00,515.00,532.20,3.95,"5,269.00","2,766,422.80"
61,2023-12-11,519.00,524.90,505.00,512.00,-1.35,"5,076.00","2,601,656.00"
62,2023-12-10,499.00,519.00,499.00,519.00,5.90,30.00,"15,269.00"
63,2023-12-07,486.00,502.70,486.00,490.10,-1.13,"1,300.00","640,443.00"
64,2023-12-06,484.90,495.70,481.30,495.70,2.16,"1,552.00","752,689.90"
65,2023-12-05,483.10,501.00,483.10,485.20,-1.38,"2,391.00","1,167,478.00"
66,2023-12-04,490.00,504.90,486.60,492.00,0.24,"1,139.00","561,824.70"
67,2023-12-03,486.00,499.80,486.00,490.80,0.16,"1,277.00","628,391.40"
68,2023-11-30,495.90,515.00,488.00,490.00,-3.16,"2,792.00","1,394,842.00"
69,2023-11-29,497.00,525.00,490.00,506.00,1.40,"3,138.00","1,585,620.00"
70,2023-11-28,508.00,527.00,494.00,499.00,-1.38,"4,247.00","2,139,033.00"
71,2023-11-27,520.00,523.00,501.10,506.00,-4.53,"1,512.00","774,540.00"
72,2023-11-26,522.00,544.90,509.00,530.00,3.52,"1,929.00","1,007,651.60"
73,2023-11-23,518.00,518.00,504.70,512.00,-1.37,411.00,"210,161.90"
74,2023-11-22,520.00,520.00,499.50,519.10,-1.96,"2,463.00","1,252,809.00"
75,2023-11-21,540.00,543.00,529.00,529.50,-2.49,"1,008.00","535,609.00"
76,2023-11-20,553.00,566.00,542.10,543.00,-3.72,"2,391.00","1,310,915.10"
77,2023-11-09,551.00,565.00,548.00,564.00,1.22,"1,123.00","624,943.00"
78,2023-11-08,567.00,567.00,556.00,557.20,0.22,523.00,"292,873.10"
79,2023-11-07,566.00,576.90,555.00,556.00,0.18,836.00,"466,605.00"
80,2023-11-06,566.10,577.40,555.00,555.00,0.00,172.00,"98,331.00"
81,2023-11-05,561.70,572.00,555.00,555.00,-1.19,"1,393.00","790,786.00"
82,2023-11-02,573.00,584.00,561.70,561.70,-3.82,658.00,"379,723.30"
83,2023-11-01,561.00,590.00,561.00,584.00,2.78,609.00,"343,444.00"
84,2023-10-31,568.30,570.00,568.20,568.20,-1.87,660.00,"375,103.00"
85,2023-10-30,592.60,592.60,569.40,579.00,-0.34,"1,141.00","654,089.10"
86,2023-10-29,584.00,584.00,570.00,581.00,-2.35,"1,706.00","983,452.00"
87,2023-10-19,595.00,606.90,588.00,595.00,0.00,"1,196.00","711,099.00"
88,2023-10-18,591.00,614.70,580.30,595.00,-1.28,737.00,"439,269.90"
89,2023-10-17,613.80,638.50,602.00,602.70,0.15,216.00,"132,347.70"
90,2023-10-16,590.00,601.80,578.30,601.80,2.00,435.00,"254,476.70"
91,2023-10-12,590.00,590.00,581.00,590.00,-0.17,"1,090.00","635,032.10"
92,2023-10-11,586.00,600.00,585.00,591.00,0.17,871.00,"519,431.00"
93,2023-10-10,590.00,592.00,590.00,590.00,-1.34,527.00,"311,207.10"
94,2023-10-09,595.00,606.00,595.00,598.00,-1.16,975.00,"584,700.00"
95,2023-10-08,614.00,620.00,605.00,605.00,-2.26,"1,059.00","646,568.90"
96,2023-10-05,609.00,630.00,607.20,619.00,0.00,"1,526.00","945,413.50"
97,2023-10-04,622.00,622.00,610.00,619.00,0.98,"2,469.00","1,512,954.50"
98,2023-10-03,602.00,622.20,602.00,613.00,0.49,305.00,"187,136.50"
99,2023-10-02,604.00,616.00,603.10,610.00,-0.65,343.00,"208,964.40"
100,2023-10-01,647.00,647.00,614.00,614.00,-3.46,"1,100.00","681,852.80"
101,2023-09-27,636.00,640.00,618.00,636.00,1.92,"3,629.00","2,284,651.20"
102,2023-09-26,644.00,645.20,624.00,624.00,-1.36,395.00,"254,387.30"
103,2023-09-25,634.00,640.00,632.60,632.60,-1.62,"1,499.00","952,198.60"
104,2023-09-24,635.00,647.00,633.10,643.00,3.21,"3,509.00","2,230,780.50"
105,2023-09-21,620.00,639.00,620.00,623.00,1.30,492.00,"308,311.00"
106,2023-09-19,606.00,615.00,600.00,615.00,1.32,"1,010.00","610,400.00"
107,2023-09-18,600.00,607.00,600.00,607.00,0.30,210.00,"126,070.00"
108,2023-09-17,620.00,620.00,605.20,605.20,-3.94,394.00,"239,710.00"
109,2023-09-13,613.00,630.00,613.00,630.00,2.76,414.00,"256,291.00"
110,2023-09-12,611.00,620.00,611.00,613.10,-1.11,783.00,"482,528.00"
111,2023-09-11,611.00,620.00,610.00,620.00,1.64,"1,916.00","1,176,297.50"
112,2023-09-10,600.00,610.00,600.00,610.00,1.67,722.00,"437,492.00"
113,2023-09-07,604.00,605.00,599.00,600.00,-1.80,730.00,"438,585.00"
114,2023-09-05,605.00,611.00,600.00,611.00,0.99,473.00,"285,075.00"
115,2023-09-04,605.00,605.00,595.00,605.00,1.00,"2,690.00","1,610,096.00"
116,2023-09-03,600.00,605.00,596.10,599.00,-0.99,"1,011.00","605,639.20"
117,2023-08-30,620.90,625.00,602.10,605.00,-1.47,"1,599.00","983,550.40"
118,2023-08-29,602.10,614.80,602.10,614.00,1.07,230.00,"139,755.70"
119,2023-08-28,616.50,616.50,607.50,607.50,-3.42,230.00,"141,685.00"
