S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,624.00,625.00,619.00,619.00,0.65,"8,041.00","4,989,989.80"
2,2026-02-10,622.0,626.9,615.0,615.0,-1.44,"13,488.00","8,367,868.10"
3,2026-02-09,630.0,632.0,624.0,624.0,-1.22,"12,614.00","7,906,429.10"
4,2026-02-08,630.1,643.0,627.5,631.7,0.27,"20,181.00","12,741,891.10"
5,2026-02-05,630.1,635.0,628.2,630.0,-0.32,"17,083.00","10,775,067.30"
6,2026-02-04,640.0,640.0,629.1,632.0,-0.39,"3,864.00","2,439,604.20"
7,2026-02-03,644.9,644.9,631.0,634.5,-0.86,"5,502.00","3,482,683.70"
8,2026-02-02,626.2,640.0,626.2,640.0,0.47,"6,340.00","4,037,822.00"
9,2026-02-01,646.0,646.1,636.0,637.0,-3.12,"13,647.00","8,736,686.50"
10,2026-01-29,645.0,665.0,645.0,657.5,0.54,"18,386.00","12,059,320.60"
11,2026-01-28,646.0,669.9,646.0,654.0,-0.74,"5,322.00","3,472,074.00"
12,2026-01-27,653.0,674.0,653.0,658.9,-0.92,"12,929.00","8,522,460.60"
13,2026-01-26,677.0,677.0,665.0,665.0,-1.48,"18,273.00","12,211,003.30"
14,2026-01-25,683.0,683.0,660.0,675.0,0.76,"20,071.00","13,506,209.80"
15,2026-01-22,636.0,669.9,636.0,669.9,3.38,"65,392.00","42,571,185.60"
16,2026-01-21,632.1,653.0,632.1,648.0,0.62,"10,963.00","7,105,840.40"
17,2026-01-20,628.0,651.5,628.0,644.0,0.63,"14,557.00","9,403,473.20"
18,2026-01-18,622.2,640.0,622.2,640.0,1.67,"4,811.00","3,061,838.20"
19,2026-01-14,623.1,632.0,620.0,629.5,0.56,"8,667.00","5,411,790.60"
20,2026-01-13,645.0,645.0,622.1,626.0,-1.26,"7,645.00","4,785,321.80"
21,2026-01-12,640.0,640.0,630.0,634.0,-0.03,"9,231.00","5,830,912.20"
22,2026-01-08,652.6,652.6,628.1,634.2,-0.91,"4,372.00","2,783,921.20"
23,2026-01-07,630.5,659.0,630.5,640.0,0.02,"5,578.00","3,616,025.70"
24,2026-01-06,640.0,645.0,635.1,639.9,1.07,"6,888.00","4,394,328.40"
25,2026-01-05,636.0,647.1,633.0,633.1,-0.46,"3,417.00","2,176,349.20"
26,2026-01-04,649.0,649.0,628.1,636.0,-0.59,"1,359.00","859,722.90"
27,2026-01-01,649.0,649.0,632.1,639.8,-0.5,"5,171.00","3,281,004.90"
28,2025-12-31,647.0,650.0,634.5,643.0,0.8,"7,062.00","4,509,963.20"
29,2025-12-29,655.4,655.4,633.1,637.9,-0.78,"5,431.00","3,463,742.60"
30,2025-12-28,633.3,642.9,633.0,642.9,1.89,"7,885.00","5,026,616.70"
31,2025-12-24,632.1,643.4,630.8,631.0,-1.41,"6,710.00","4,240,627.60"
32,2025-12-23,646.9,650.0,632.0,640.0,-0.31,"5,279.00","3,396,118.70"
33,2025-12-22,640.0,642.0,629.0,642.0,-0.47,"6,401.00","4,057,926.20"
34,2025-12-21,643.0,665.0,633.0,645.0,-1.62,"6,365.00","4,085,010.30"
35,2025-12-18,648.0,660.0,646.0,655.6,-0.36,"4,299.00","2,785,008.50"
36,2025-12-17,660.0,664.5,652.0,658.0,0.49,"1,083.00","710,318.00"
37,2025-12-16,650.0,654.9,645.0,654.8,0.74,"8,767.00","5,700,799.80"
38,2025-12-15,645.0,654.9,645.0,650.0,0.62,"2,477.00","1,607,530.40"
39,2025-12-14,647.0,655.0,645.0,646.0,-0.92,"5,979.00","3,869,858.10"
40,2025-12-11,665.0,668.4,652.0,652.0,-1.66,"5,110.00","3,348,949.60"
41,2025-12-10,650.0,663.9,650.0,663.0,0.45,"1,805.00","1,187,402.60"
42,2025-12-09,660.0,663.8,656.3,660.0,-0.02,"4,012.00","2,639,944.70"
43,2025-12-08,652.5,665.2,652.0,660.1,-0.86,"5,611.00","3,702,644.30"
44,2025-12-07,666.4,683.3,653.1,665.8,-2.09,"14,872.00","9,954,552.00"
45,2025-12-03,697.6,697.6,677.0,680.0,-0.58,"40,093.00","27,392,344.30"
46,2025-12-02,656.9,684.0,656.9,684.0,2.1,"26,458.00","17,822,126.20"
47,2025-12-01,652.5,673.2,652.5,669.9,2.9,"32,453.00","21,623,430.60"
48,2025-11-30,675.0,675.0,651.0,651.0,-2.84,"11,327.00","7,480,779.50"
49,2025-11-27,654.1,677.0,654.1,670.0,0.6,"27,865.00","18,637,814.70"
50,2025-11-26,661.0,668.0,661.0,666.0,-0.45,"25,536.00","17,024,080.00"
51,2025-11-25,667.0,671.0,655.0,669.0,0.15,"9,669.00","6,408,789.30"
52,2025-11-24,650.0,672.0,650.0,668.0,3.26,"40,720.00","27,153,584.00"
