S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2023-07-13,701.90,701.90,677.00,693.50,0.65,588.00,"406,103.00"
2,2023-07-12,657.00,690.00,655.00,689.00,3.14,"3,259.00","2,186,991.50"
3,2023-07-11,672.00,680.00,649.80,668.00,0.89,"1,444.00","954,346.90"
4,2023-07-10,663.00,670.00,660.00,662.10,1.86,662.00,"441,361.70"
5,2023-07-09,642.60,655.00,642.00,650.00,3.17,217.00,"141,306.60"
6,2023-07-06,633.00,639.00,630.00,630.00,-1.25,93.00,"58,947.00"
7,2023-07-05,663.50,663.50,638.00,638.00,-5.13,438.00,"287,049.00"
8,2023-07-04,673.00,673.00,659.60,672.50,1.89,695.00,"463,036.30"
9,2023-07-03,681.00,684.00,658.00,660.00,-3.08,"1,866.00","1,253,231.00"
10,2023-07-02,714.00,719.00,681.00,681.00,-6.46,"2,898.00","2,007,707.00"
11,2023-06-28,748.60,753.00,690.00,728.00,-0.82,"4,060.00","2,846,392.30"
12,2023-06-27,692.80,737.00,692.80,734.00,8.05,"5,227.00","3,795,437.20"
13,2023-06-26,666.00,679.30,658.10,679.30,4.03,"1,842.00","1,231,588.00"
14,2023-06-25,660.00,685.80,650.00,653.00,-2.96,"2,560.00","1,697,518.80"
15,2023-06-22,680.30,680.30,666.70,672.90,-1.09,248.00,"167,690.10"
16,2023-06-21,654.00,680.30,635.40,680.30,1.96,"2,710.00","1,755,002.60"
17,2023-06-20,681.00,706.80,667.20,667.20,-0.12,"1,307.00","905,368.80"
18,2023-06-19,708.90,708.90,668.00,668.00,-5.77,"1,235.00","833,054.60"
19,2023-06-18,670.00,708.90,657.00,708.90,5.81,"1,145.00","760,109.50"
20,2023-06-15,659.60,673.00,647.00,670.00,-0.45,219.00,"144,811.50"
21,2023-06-14,678.70,692.20,651.90,673.00,-0.78,"1,320.00","905,627.00"
22,2023-06-13,640.00,678.30,640.00,678.30,5.65,"1,491.00","978,620.70"
23,2023-06-12,635.00,643.00,635.00,642.00,0.47,"1,543.00","991,991.00"
24,2023-06-11,630.00,639.00,620.10,639.00,1.43,495.00,"311,861.00"
25,2023-06-08,630.00,630.00,618.00,630.00,0.00,634.00,"398,485.00"
26,2023-06-07,620.20,630.00,620.00,630.00,1.61,367.00,"230,117.60"
27,2023-06-06,618.00,620.00,618.00,620.00,0.32,392.00,"242,436.00"
28,2023-06-05,619.00,619.00,607.00,618.00,-0.31,534.00,"325,775.20"
29,2023-06-04,587.50,619.90,587.50,619.90,7.62,366.00,"220,793.00"
30,2023-06-01,597.50,597.50,576.00,576.00,-1.72,"1,200.00","707,357.80"
31,2023-05-31,583.00,589.00,583.00,586.10,-0.66,199.00,"116,545.00"
32,2023-05-30,590.00,602.00,580.00,590.00,-1.99,400.00,"233,120.00"
33,2023-05-28,644.00,645.00,602.00,602.00,-4.90,655.00,"409,670.30"
34,2023-05-24,612.00,633.00,605.00,633.00,4.98,"1,098.00","677,658.00"
35,2023-05-23,583.60,603.00,583.60,603.00,5.38,445.00,"265,166.00"
36,2023-05-22,582.20,582.20,572.20,572.20,-3.67,50.00,"29,010.00"
37,2023-05-21,580.00,594.00,580.00,594.00,1.92,20.00,"11,740.00"
38,2023-05-18,561.20,594.60,556.00,582.80,5.93,"1,453.00","815,928.80"
39,2023-05-17,568.10,568.10,550.20,550.20,-1.22,440.00,"244,368.00"
40,2023-05-16,547.00,557.00,545.80,557.00,0.02,340.00,"185,773.00"
41,2023-05-15,526.40,556.90,526.40,556.90,4.05,526.00,"280,835.90"
42,2023-05-14,546.00,546.00,535.20,535.20,-2.34,511.00,"276,539.20"
43,2023-05-11,550.00,550.00,548.00,548.00,-2.32,30.00,"16,470.00"
44,2023-05-10,566.00,566.00,550.00,561.00,-1.06,320.00,"177,249.00"
45,2023-05-09,560.00,570.00,560.00,567.00,3.07,70.00,"39,611.00"
46,2023-05-08,550.10,550.10,550.10,550.10,-1.94,17.00,"9,351.70"
47,2023-05-04,554.00,572.20,554.00,561.00,-0.71,390.00,"220,124.00"
48,2023-05-03,565.00,565.00,565.00,565.00,0.36,59.00,"33,335.00"
49,2023-05-02,575.00,575.00,563.00,563.00,-3.94,198.00,"113,653.20"
50,2023-04-30,586.10,586.10,586.10,586.10,-1.99,80.00,"46,888.00"
51,2023-04-27,586.00,598.00,576.50,598.00,1.86,695.00,"403,812.50"
52,2023-04-26,586.10,587.10,584.10,587.10,-1.49,867.00,"507,337.00"
53,2023-04-25,596.00,596.00,596.00,596.00,0.00,120.00,"71,520.00"
54,2023-04-24,577.30,596.00,577.30,596.00,1.88,224.00,"132,193.80"
55,2023-04-23,600.10,600.10,581.20,585.00,-3.31,250.00,"148,106.50"
56,2023-04-20,608.00,608.00,605.00,605.00,-1.63,84.00,"50,890.00"
57,2023-04-19,622.20,622.20,615.00,615.00,0.82,20.00,"12,372.00"
58,2023-04-18,602.00,610.00,602.00,610.00,0.49,270.00,"162,685.00"
59,2023-04-17,620.00,622.00,607.00,607.00,-1.62,190.00,"116,856.80"
60,2023-04-16,615.00,617.00,605.00,617.00,-1.30,280.00,"171,583.00"
61,2023-04-13,654.00,665.00,621.00,625.10,-4.42,601.00,"378,473.50"
62,2023-04-12,621.00,655.00,610.00,654.00,7.41,853.00,"528,943.10"
63,2023-04-11,595.00,608.90,595.00,608.90,4.00,49.00,"29,313.50"
64,2023-04-10,590.00,590.00,585.50,585.50,-0.76,20.00,"11,755.00"
65,2023-04-09,594.40,594.40,590.00,590.00,-2.72,"1,000.00","591,364.30"
66,2023-04-06,627.30,639.80,605.00,606.50,-1.38,103.00,"62,999.50"
67,2023-04-05,620.00,620.00,615.00,615.00,-0.16,207.00,"127,583.00"
68,2023-04-04,615.00,627.00,615.00,616.00,0.16,"1,535.00","947,500.00"
69,2023-04-03,619.50,622.00,607.20,615.00,-0.73,"1,391.00","852,411.60"
70,2023-04-02,633.00,645.00,619.50,619.50,-2.13,"2,674.00","1,680,529.40"
71,2023-03-30,635.10,645.00,633.00,633.00,0.00,"1,527.00","979,645.30"
72,2023-03-29,616.10,646.90,614.50,633.00,0.97,"2,258.00","1,406,164.60"
73,2023-03-28,732.00,760.00,729.90,746.00,3.61,"8,068.00","5,984,646.50"
74,2023-03-27,687.00,720.00,687.00,720.00,2.71,"1,684.00","1,189,193.20"
75,2023-03-26,705.10,705.10,701.00,701.00,-1.96,"1,164.00","819,017.20"
76,2023-03-23,718.00,720.00,711.00,715.00,-0.56,605.00,"432,837.50"
77,2023-03-22,722.00,735.00,708.10,719.00,-0.14,"1,941.00","1,403,778.50"
78,2023-03-20,691.60,722.90,691.60,720.00,6.18,"4,335.00","3,069,348.40"
79,2023-03-19,678.00,688.00,677.00,678.10,0.16,699.00,"475,490.40"
80,2023-03-16,702.00,705.00,676.00,677.00,-4.80,"5,286.00","3,625,412.40"
81,2023-03-15,720.00,720.00,707.00,711.10,-1.24,703.00,"498,008.00"
82,2023-03-14,726.00,735.00,720.00,720.00,-2.31,"2,106.00","1,519,223.00"
83,2023-03-13,731.00,737.00,723.40,737.00,-0.15,816.00,"594,810.00"
84,2023-03-12,726.00,748.80,726.00,738.10,0.29,370.00,"273,731.00"
85,2023-03-09,740.00,749.00,736.00,736.00,0.82,90.00,"66,490.00"
86,2023-03-07,742.00,742.00,730.00,730.00,-1.35,125.00,"92,310.00"
87,2023-03-05,743.00,743.00,731.20,740.00,-2.34,799.00,"585,560.90"
88,2023-03-02,758.00,762.00,757.70,757.70,-1.98,615.00,"466,248.80"
89,2023-03-01,775.00,775.00,773.00,773.00,-1.59,829.00,"641,821.00"
90,2023-02-28,780.00,785.50,766.10,785.50,-1.19,244.00,"188,559.70"
91,2023-02-27,811.00,811.00,767.50,795.00,-0.08,"1,022.00","792,946.70"
92,2023-02-26,749.70,795.60,722.00,795.60,4.00,"1,109.00","828,931.10"
93,2023-02-23,833.00,833.00,765.00,765.00,-10.00,"9,191.00","7,126,095.80"
94,2023-02-22,860.00,860.00,847.10,850.00,-0.70,589.00,"502,222.00"
95,2023-02-20,877.00,877.00,856.00,856.00,-0.47,453.00,"392,759.00"
96,2023-02-16,889.00,890.00,860.00,860.00,-3.15,403.00,"352,516.00"
97,2023-02-15,880.00,888.00,876.00,888.00,0.33,226.00,"199,385.00"
98,2023-02-14,900.00,900.00,885.00,885.10,-1.33,550.00,"487,122.20"
99,2023-02-12,910.00,910.00,896.20,897.00,-3.34,624.00,"561,711.00"
100,2023-02-09,900.00,929.40,900.00,928.00,2.97,369.00,"339,666.00"
101,2023-02-08,920.00,933.00,900.00,901.20,-1.62,"1,909.00","1,730,931.00"
102,2023-02-07,863.00,919.00,863.00,916.00,4.30,"1,082.00","975,431.30"
103,2023-02-06,886.00,886.00,878.20,878.20,-0.88,389.00,"342,450.00"
104,2023-02-05,886.00,912.00,886.00,886.00,-1.01,452.00,"404,759.00"
105,2023-02-02,892.00,900.00,892.00,895.00,-1.54,315.00,"281,869.00"
106,2023-02-01,886.10,909.00,886.10,909.00,1.56,907.00,"810,460.00"
107,2023-01-31,907.00,913.00,895.00,895.00,-1.97,708.00,"636,849.80"
108,2023-01-30,920.00,925.10,913.00,913.00,-1.30,"1,426.00","1,309,832.00"
109,2023-01-29,921.00,948.60,921.00,925.00,-1.16,466.00,"431,341.80"
110,2023-01-26,966.00,966.00,935.90,935.90,-2.00,921.00,"867,371.30"
111,2023-01-25,947.00,960.00,946.00,955.00,-1.04,"1,703.00","1,623,144.20"
112,2023-01-24,928.00,965.00,923.00,965.00,1.91,"2,689.00","2,519,242.00"
113,2023-01-23,949.00,949.00,935.00,946.90,-0.33,283.00,"265,878.80"
114,2023-01-19,945.00,958.00,941.00,950.00,0.00,"1,611.00","1,525,279.40"
115,2023-01-18,941.00,978.00,941.00,950.00,1.06,"3,452.00","3,291,235.40"
116,2023-01-17,936.30,955.00,929.00,940.00,2.40,"11,326.00","10,668,338.60"
117,2023-01-12,907.00,925.90,900.00,918.00,3.15,"4,809.00","4,383,304.40"
118,2023-01-10,920.00,930.00,875.20,890.00,-2.73,"6,358.00","5,806,422.10"
119,2023-01-09,938.40,945.00,910.10,915.00,-0.54,"4,390.00","4,099,495.90"
120,2023-01-08,917.00,930.00,890.00,920.00,0.88,"5,978.00","5,462,416.00"
121,2023-01-05,935.00,936.00,885.00,912.00,-0.55,"3,202.00","2,870,644.50"
