S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-23,780.00,780.00,769.00,770.30,-0.25,"4,195.00","3,239,054.20"
2,2026-02-22,775.00,780.00,772.10,772.20,-1.0,"5,450.00","4,217,155.50"
3,2026-02-17,776.00,786.90,776.00,780.00,0.26,"8,172.00","6,381,820.30"
4,2026-02-16,776.10,782.00,776.00,778.00,-0.38,"5,621.00","4,380,533.40"
5,2026-02-12,775.00,790.00,775.00,781.00,-0.13,"4,153.00","3,246,109.30"
6,2026-02-11,795.60,795.60,773.00,782.00,0.26,"6,119.00","4,803,800.80"
7,2026-02-10,780.00,783.70,775.10,780.00,0.0,"5,571.00","4,335,107.20"
8,2026-02-09,787.10,798.00,780.00,780.00,-2.5,"10,910.00","8,557,813.10"
9,2026-02-08,811.00,811.00,785.00,800.00,0.5,"8,420.00","6,665,587.00"
10,2026-02-05,790.20,800.00,785.00,796.00,0.73,"7,192.00","5,696,832.10"
11,2026-02-04,798.00,802.00,786.10,790.20,0.27,"2,211.00","1,744,959.30"
12,2026-02-03,800.00,801.50,786.00,788.10,0.25,"6,187.00","4,889,554.20"
13,2026-02-02,798.00,798.00,785.10,786.10,-0.91,"7,425.00","5,859,255.00"
14,2026-02-01,794.10,802.00,792.00,793.30,-1.08,"4,513.00","3,590,994.60"
15,2026-01-29,797.00,810.00,797.00,802.00,0.12,"8,316.00","6,676,272.60"
16,2026-01-28,800.00,805.00,796.00,801.00,-0.62,"9,408.00","7,538,100.00"
17,2026-01-27,812.00,820.00,805.00,806.00,-1.83,"15,954.00","12,944,253.50"
18,2026-01-26,832.00,839.00,810.00,821.00,-0.64,"23,743.00","19,605,666.20"
19,2026-01-25,809.20,832.00,809.20,826.30,2.14,"15,244.00","12,505,426.90"
20,2026-01-22,801.00,809.00,795.00,809.00,0.87,"6,496.00","5,189,669.20"
21,2026-01-21,821.60,821.70,800.00,802.00,-0.45,"9,092.00","7,327,922.20"
22,2026-01-20,811.90,820.00,805.00,805.60,1.21,"8,755.00","7,116,130.60"
23,2026-01-18,790.00,815.00,790.00,796.00,2.71,"19,361.00","15,595,339.70"
24,2026-01-14,770.00,790.00,770.00,775.00,0.26,"5,051.00","3,927,932.60"
25,2026-01-13,777.00,781.00,770.00,773.00,-0.53,"5,808.00","4,506,377.10"
26,2026-01-12,790.00,790.00,775.00,777.10,-1.01,"4,412.00","3,450,347.20"
27,2026-01-08,781.50,794.90,775.00,785.00,0.45,"3,553.00","2,775,732.90"
28,2026-01-07,785.00,790.00,780.00,781.50,-0.56,"4,073.00","3,188,663.80"
29,2026-01-06,795.00,795.70,780.00,785.90,0.74,"5,871.00","4,613,155.70"
30,2026-01-05,770.10,787.00,770.10,780.10,0.66,"10,048.00","7,811,774.70"
31,2026-01-04,770.00,790.00,765.00,775.00,1.34,"5,836.00","4,533,192.80"
