S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2023-07-13,"1,002.90","1,002.90",950.00,967.00,-1.73,"2,606.00","2,508,331.70"
2,2023-07-12,966.90,984.30,933.00,984.00,3.80,"3,300.00","3,191,975.30"
3,2023-07-11,969.00,969.00,931.00,948.00,-1.76,"1,314.00","1,241,911.50"
4,2023-07-10,947.00,965.00,936.00,965.00,1.58,"1,455.00","1,376,891.10"
5,2023-07-09,960.00,960.00,926.60,950.00,0.53,"1,223.00","1,147,960.70"
6,2023-07-06,935.10,948.00,935.10,945.00,1.06,480.00,"451,640.40"
7,2023-07-05,936.00,954.00,935.10,935.10,-1.36,"1,090.00","1,021,564.80"
8,2023-07-04,930.00,948.00,930.00,948.00,1.83,285.00,"266,600.00"
9,2023-07-03,944.00,968.00,931.00,931.00,0.43,"2,961.00","2,827,175.30"
10,2023-07-02,984.00,985.00,927.00,927.00,-4.92,"2,577.00","2,472,482.00"
11,2023-06-28,"1,034.00","1,034.00",963.00,975.00,-3.85,"2,670.00","2,711,563.20"
12,2023-06-27,975.00,"1,022.00",974.00,"1,014.00",5.85,"5,728.00","5,732,934.40"
13,2023-06-26,909.80,958.00,900.00,958.00,7.40,"2,877.00","2,641,058.00"
14,2023-06-25,872.10,924.00,872.00,892.00,0.39,"2,709.00","2,398,193.00"
15,2023-06-22,907.00,907.00,888.50,888.50,-2.04,"1,518.00","1,350,798.00"
16,2023-06-21,891.00,914.00,890.00,907.00,0.43,"2,673.00","2,425,767.00"
17,2023-06-20,904.00,938.40,902.00,903.10,-1.84,"2,140.00","1,938,323.50"
18,2023-06-19,931.00,949.00,905.00,920.00,-1.18,"3,399.00","3,106,367.30"
19,2023-06-18,921.90,931.00,921.90,931.00,1.75,"1,655.00","1,536,809.00"
20,2023-06-15,901.00,915.00,900.00,915.00,0.88,121.00,"109,093.00"
21,2023-06-14,907.00,943.00,906.00,907.00,1.67,"1,794.00","1,635,760.00"
22,2023-06-13,880.00,910.00,880.00,892.10,-0.55,"1,631.00","1,461,097.50"
23,2023-06-12,884.00,899.90,865.00,897.00,-0.33,618.00,"544,554.80"
24,2023-06-11,868.00,900.00,837.90,900.00,5.26,"1,775.00","1,517,041.90"
25,2023-06-08,846.00,855.00,840.00,855.00,-0.58,924.00,"777,944.00"
26,2023-06-07,847.00,881.00,847.00,860.00,3.49,636.00,"545,348.00"
27,2023-06-06,817.50,847.00,815.10,831.00,-0.63,"1,344.00","1,132,589.90"
28,2023-06-05,836.30,836.30,803.60,831.00,1.34,"3,931.00","3,205,123.80"
29,2023-06-04,935.00,949.00,910.00,931.20,1.55,"4,690.00","4,350,373.10"
30,2023-06-01,890.00,918.00,890.00,917.00,1.89,693.00,"626,860.00"
31,2023-05-31,902.00,905.00,886.90,900.00,-2.17,"4,249.00","3,813,893.90"
32,2023-05-30,917.00,920.00,903.00,920.00,-1.60,"2,355.00","2,139,467.00"
33,2023-05-28,960.00,982.00,935.00,935.00,-1.58,"4,760.00","4,546,900.00"
34,2023-05-24,928.40,950.00,915.00,950.00,4.37,"3,224.00","3,018,346.50"
35,2023-05-23,873.00,923.00,857.00,910.20,6.22,"3,497.00","3,125,022.50"
36,2023-05-22,830.00,856.90,827.20,856.90,1.53,450.00,"378,043.40"
37,2023-05-21,830.10,844.90,830.10,844.00,-0.12,"2,326.00","1,943,456.50"
38,2023-05-18,837.00,861.00,837.00,845.00,2.05,"1,562.00","1,318,751.30"
39,2023-05-17,826.80,828.00,820.00,828.00,1.60,192.00,"158,564.50"
