S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,861.20,875.00,860.00,875.00,0.93,"2,541.00","2,190,098.80"
2,2026-02-24,855.30,872.00,855.30,866.90,0.53,"1,671.00","1,442,634.20"
3,2026-02-23,861.00,868.00,860.00,862.30,-0.16,"3,816.00","3,286,521.30"
4,2026-02-22,857.00,866.90,852.00,863.70,0.43,"3,858.00","3,307,167.40"
5,2026-02-17,860.50,872.00,858.00,860.00,-0.81,"7,195.00","6,202,497.90"
6,2026-02-16,866.00,870.00,861.10,867.00,-0.34,"2,071.00","1,793,104.80"
7,2026-02-12,879.90,882.00,863.10,870.00,0.0,"3,505.00","3,062,340.20"
8,2026-02-11,882.30,899.90,862.40,870.00,0.58,"3,017.00","2,645,841.90"
9,2026-02-10,878.60,890.00,865.00,865.00,-1.09,"1,961.00","1,710,723.10"
10,2026-02-09,876.00,881.00,873.00,874.50,-0.63,"1,093.00","958,770.70"
11,2026-02-08,885.00,890.00,878.00,880.00,0.34,"3,554.00","3,135,647.90"
12,2026-02-05,886.90,886.90,876.50,877.00,-0.34,"2,683.00","2,362,135.70"
13,2026-02-04,877.10,888.00,875.10,880.00,-0.56,"2,189.00","1,925,013.80"
14,2026-02-03,885.20,889.00,880.00,885.00,-0.11,"3,274.00","2,891,234.70"
15,2026-02-02,889.90,895.00,885.30,886.00,-0.55,"3,074.00","2,727,653.10"
16,2026-02-01,880.00,890.90,880.00,890.90,0.67,"4,345.00","3,854,055.70"
17,2026-01-29,890.00,904.70,877.30,885.00,-1.02,"10,281.00","9,147,529.80"
18,2026-01-28,882.10,915.00,882.10,894.10,-0.55,"3,816.00","3,432,144.50"
19,2026-01-27,922.00,930.00,892.10,899.00,-2.49,"15,773.00","14,387,285.30"
20,2026-01-26,906.10,922.00,901.00,922.00,1.65,"13,169.00","12,019,295.50"
21,2026-01-25,904.00,907.00,889.00,907.00,1.69,"9,357.00","8,444,254.30"
22,2026-01-22,896.00,896.00,881.20,891.90,0.1,"5,986.00","5,296,605.70"
23,2026-01-21,910.90,910.90,885.20,891.00,-0.98,"2,834.00","2,525,325.40"
24,2026-01-20,870.00,905.10,870.00,899.80,2.22,"5,254.00","4,716,540.60"
