S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,740.00,740.00,729.00,729.00,-0.65,"4,687.00","3,426,421.50"
2,2026-02-25,730.10,735.00,726.10,733.80,-0.03,"6,329.00","4,632,365.50"
3,2026-02-24,728.00,734.50,725.40,734.00,1.19,"4,345.00","3,165,223.40"
4,2026-02-23,722.00,730.00,722.00,725.40,0.03,"5,593.00","4,053,196.90"
5,2026-02-22,740.90,740.90,725.00,725.20,-0.66,"6,218.00","4,530,502.60"
6,2026-02-17,731.00,736.00,728.00,730.00,-0.68,"6,987.00","5,109,373.50"
7,2026-02-16,732.00,735.00,730.00,735.00,0.29,"4,310.00","3,154,716.00"
8,2026-02-12,735.00,736.50,726.00,732.90,-0.15,"10,683.00","7,820,968.10"
9,2026-02-11,743.00,743.00,730.00,734.00,0.27,"10,134.00","7,428,785.20"
10,2026-02-10,735.00,740.00,730.00,732.00,-0.54,"6,223.00","4,571,551.60"
11,2026-02-09,747.00,747.00,730.00,736.00,0.0,"12,456.00","9,138,669.30"
12,2026-02-08,732.00,785.00,732.00,736.00,-0.54,"12,341.00","9,131,978.10"
13,2026-02-05,735.00,746.00,735.00,740.00,0.0,"6,614.00","4,893,881.90"
14,2026-02-04,755.00,755.00,735.00,740.00,-0.92,"3,085.00","2,292,512.00"
15,2026-02-03,755.00,755.00,728.00,746.90,0.26,"10,877.00","8,008,053.60"
16,2026-02-02,745.00,750.80,741.00,745.00,0.0,"5,963.00","4,458,208.10"
17,2026-02-01,740.00,756.90,740.00,745.00,-0.93,"2,916.00","2,172,285.30"
18,2026-01-29,743.10,753.00,743.10,752.00,0.0,"8,498.00","6,358,940.60"
19,2026-01-28,760.00,760.00,745.00,752.00,-1.31,"9,602.00","7,215,789.50"
20,2026-01-27,778.00,778.00,748.00,762.00,-1.04,"10,981.00","8,371,602.60"
21,2026-01-26,765.00,775.00,761.00,770.00,1.18,"10,800.00","8,292,762.00"
22,2026-01-25,756.00,761.00,747.00,761.00,1.87,"15,511.00","11,727,510.60"
23,2026-01-22,757.00,757.00,735.00,747.00,-0.93,"9,050.00","6,729,457.90"
24,2026-01-21,750.00,757.00,747.00,754.00,0.13,"3,290.00","2,471,133.90"
25,2026-01-20,761.90,761.90,744.00,753.00,0.8,"6,455.00","4,857,125.80"
26,2026-01-18,745.00,748.00,736.00,747.00,1.77,"10,907.00","8,089,929.30"
27,2026-01-14,730.00,736.00,724.80,734.00,-0.14,"6,329.00","4,611,136.00"
28,2026-01-13,728.50,735.00,726.10,735.00,0.67,"4,812.00","3,501,904.50"
29,2026-01-12,740.00,742.50,730.10,730.10,-1.34,"7,149.00","5,267,053.30"
30,2026-01-08,740.00,743.00,734.60,740.00,0.54,"9,578.00","7,078,290.40"
31,2026-01-07,740.00,745.00,735.00,736.00,-0.46,"3,229.00","2,383,281.70"
32,2026-01-06,743.90,745.00,736.00,739.40,0.05,"5,773.00","4,267,792.90"
33,2026-01-05,728.00,742.00,728.00,739.00,0.0,"1,874.00","1,380,872.90"
34,2026-01-04,751.00,751.00,730.00,739.00,0.27,"4,777.00","3,494,146.30"
35,2026-01-01,739.00,745.60,730.40,737.00,-0.27,"3,682.00","2,698,663.50"
36,2025-12-31,739.00,748.00,738.00,739.00,0.0,"5,158.00","3,835,829.40"
37,2025-12-29,738.90,746.00,735.00,739.00,0.41,"5,168.00","3,808,070.40"
38,2025-12-28,738.00,738.00,727.40,736.00,1.24,"6,105.00","4,469,019.30"
39,2025-12-24,782.00,782.00,766.10,768.00,-0.65,"9,489.00","7,307,698.50"
40,2025-12-23,784.00,784.00,768.40,773.00,-0.17,"3,193.00","2,458,679.90"
41,2025-12-22,790.00,790.00,772.00,774.30,-1.36,"1,900.00","1,471,635.10"
42,2025-12-21,775.00,785.00,770.70,785.00,0.62,"2,439.00","1,894,023.80"
43,2025-12-18,791.70,791.70,778.20,780.20,0.03,"3,435.00","2,679,655.30"
44,2025-12-17,795.00,795.00,775.20,780.00,0.0,"4,472.00","3,494,290.70"
45,2025-12-16,785.00,785.00,772.00,780.00,0.0,"12,149.00","9,422,676.70"
46,2025-12-15,777.00,780.20,771.00,780.00,-0.76,"7,539.00","5,844,463.00"
47,2025-12-14,785.00,786.00,777.80,786.00,-0.86,"4,449.00","3,469,258.00"
48,2025-12-11,804.00,804.00,777.80,792.80,0.48,"3,726.00","2,920,576.60"
49,2025-12-10,802.00,802.00,787.00,789.00,0.25,"1,594.00","1,258,111.70"
50,2025-12-09,803.00,803.00,782.30,787.00,-0.13,"5,925.00","4,669,776.40"
51,2025-12-08,780.00,788.00,779.90,788.00,-0.88,"4,465.00","3,495,390.70"
52,2025-12-07,815.00,815.00,780.00,795.00,-0.6,"5,489.00","4,310,972.30"
53,2025-12-03,823.00,823.00,790.00,799.80,-0.89,"4,412.00","3,515,020.80"
54,2025-12-02,792.00,819.00,792.00,807.00,0.0,"4,189.00","3,369,717.00"
55,2025-12-01,822.00,822.00,801.00,807.00,0.12,"5,995.00","4,829,158.00"
56,2025-11-30,831.00,831.00,806.00,806.00,-1.1,"7,795.00","6,343,367.10"
57,2025-11-27,831.00,831.00,812.00,815.00,-0.01,"12,032.00","9,820,634.20"
58,2025-11-26,816.00,819.90,799.70,815.10,1.89,"18,341.00","14,911,632.30"
59,2025-11-25,815.00,815.00,792.10,800.00,0.01,"9,511.00","7,580,455.70"
60,2025-11-24,802.00,804.00,781.00,799.90,1.64,"17,967.00","14,336,695.30"
61,2025-11-23,780.00,789.00,779.90,787.00,1.61,"5,781.00","4,523,353.40"
62,2025-11-20,765.00,777.00,765.00,774.50,-0.71,"11,343.00","8,721,620.10"
63,2025-11-19,795.60,795.60,777.00,780.00,0.0,"5,665.00","4,416,886.20"
64,2025-11-18,787.00,794.00,780.00,780.00,-0.52,"7,404.00","5,808,952.10"
65,2025-11-17,786.00,790.00,780.00,784.10,0.27,"2,126.00","1,667,503.30"
66,2025-11-16,775.20,785.00,770.00,782.00,-1.01,"3,053.00","2,385,100.90"
67,2025-11-13,796.00,796.00,778.00,790.00,1.14,"6,053.00","4,748,804.10"
68,2025-11-12,785.00,795.00,780.00,781.10,-0.24,"5,343.00","4,185,191.20"
69,2025-11-11,797.00,797.00,780.00,783.00,-1.51,"8,510.00","6,666,027.30"
70,2025-11-10,792.00,795.90,775.00,795.00,1.47,"7,955.00","6,230,198.30"
71,2025-11-09,800.00,800.00,783.50,783.50,-1.09,"7,056.00","5,575,681.40"
72,2025-11-06,809.00,812.00,790.00,792.10,-0.74,"5,711.00","4,545,986.00"
73,2025-11-05,810.00,810.00,790.00,798.00,-0.01,"5,523.00","4,389,302.80"
74,2025-11-04,806.00,806.10,798.10,798.10,-1.87,"5,564.00","4,458,180.80"
75,2025-11-03,822.00,822.00,813.30,813.30,-1.06,"4,784.00","3,902,777.20"
76,2025-11-02,815.00,829.00,815.00,822.00,0.24,"6,212.00","5,116,318.70"
77,2025-10-30,823.00,823.00,783.20,820.00,1.23,"9,408.00","7,537,882.10"
78,2025-10-29,814.00,814.00,796.00,810.00,1.24,"7,693.00","6,191,792.50"
