S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,10.01,10.01,9.81,9.82,-0.10,"14,804.00","146,254.44"
2,2026-02-10,9.64,9.83,9.64,9.83,1.87,"2,700.00","26,519.00"
3,2026-02-09,9.71,9.71,9.65,9.65,-2.53,600.00,"5,802.00"
4,2026-02-08,9.9,9.9,9.9,9.9,-1.0,300.00,"2,970.00"
5,2026-02-05,9.9,10.0,9.9,10.0,0.3,"6,000.00","59,707.00"
6,2026-02-04,9.77,9.97,9.77,9.97,2.05,"9,570.00","95,173.60"
7,2026-02-03,9.76,9.78,9.76,9.77,-1.81,"2,250.00","21,981.00"
8,2026-02-02,9.65,9.98,9.65,9.95,3.32,"12,500.00","124,029.00"
9,2026-02-01,9.61,9.78,9.61,9.63,0.42,"1,100.00","10,726.00"
10,2026-01-29,9.59,9.59,9.59,9.59,-1.44,100.00,959.00
11,2026-01-28,9.57,9.73,9.57,9.73,0.0,600.00,"5,782.00"
12,2026-01-27,9.73,9.92,9.73,9.73,0.0,"10,555.00","103,013.15"
13,2026-01-26,9.7,9.73,9.7,9.73,1.99,"4,000.00","38,890.00"
14,2026-01-25,9.35,9.54,9.35,9.54,0.42,600.00,"5,665.00"
15,2026-01-22,9.47,9.52,9.47,9.5,-1.35,"33,862.00","322,001.38"
16,2026-01-21,9.5,9.7,9.5,9.63,1.37,"3,300.00","31,927.00"
17,2026-01-20,9.69,9.69,9.5,9.5,0.0,"1,550.00","15,000.50"
18,2026-01-18,9.35,9.66,9.35,9.5,0.21,"4,450.00","42,880.00"
19,2026-01-13,9.3,9.48,9.3,9.48,0.85,"12,538.00","118,841.24"
20,2026-01-12,9.75,9.75,9.4,9.4,-1.88,900.00,"8,740.00"
21,2026-01-08,9.5,9.58,9.4,9.58,0.74,"24,650.00","233,074.00"
22,2026-01-07,9.6,9.6,9.51,9.51,-2.46,"39,300.00","374,578.85"
23,2026-01-06,9.61,9.8,9.6,9.75,0.21,"20,500.00","199,777.00"
24,2026-01-05,9.35,9.73,9.35,9.73,1.99,"18,400.00","177,213.00"
25,2026-01-04,9.65,9.75,9.52,9.54,-1.65,"5,700.00","55,425.00"
26,2026-01-01,9.61,9.7,9.42,9.7,-1.02,"20,550.00","196,144.00"
27,2025-12-31,9.61,9.8,9.42,9.8,0.0,"1,800.00","17,336.00"
28,2025-12-29,9.84,9.84,9.65,9.8,1.55,850.00,"8,296.50"
29,2025-12-28,9.55,9.85,9.47,9.65,2.99,"41,276.00","399,707.95"
30,2025-12-24,9.15,9.37,9.15,9.37,1.85,"2,000.00","18,656.00"
31,2025-12-23,9.38,9.56,9.2,9.2,0.0,"27,550.00","261,676.00"
32,2025-12-22,9.2,9.37,9.18,9.2,0.11,"3,665.00","33,961.05"
33,2025-12-21,9.33,9.51,9.19,9.19,0.44,"49,475.00","461,601.75"
34,2025-12-18,9.15,9.15,9.15,9.15,0.0,100.00,915.00
35,2025-12-17,9.15,9.15,9.15,9.15,0.0,400.00,"3,660.00"
36,2025-12-16,9.28,9.46,9.15,9.15,0.55,"5,950.00","55,185.50"
37,2025-12-15,9.1,9.1,9.1,9.1,-0.55,"1,000.00","9,100.00"
38,2025-12-14,9.12,9.15,9.12,9.15,0.88,"3,600.00","32,937.00"
39,2025-12-11,9.07,9.07,9.07,9.07,-1.95,"1,000.00","9,070.00"
40,2025-12-10,9.15,9.25,9.15,9.25,-0.86,"14,289.00","131,704.35"
41,2025-12-09,9.16,9.33,9.16,9.33,1.97,"14,300.00","133,394.00"
42,2025-12-08,9.15,9.15,9.15,9.15,0.44,400.00,"3,660.00"
43,2025-12-07,9.05,9.33,9.05,9.11,-0.44,800.00,"7,386.00"
44,2025-12-03,9.15,9.15,9.15,9.15,-1.4,100.00,915.00
45,2025-12-02,9.2,9.28,9.1,9.28,1.98,"209,100.00","1,936,245.60"
46,2025-12-01,9.06,9.24,9.06,9.1,0.44,"3,550.00","32,735.00"
47,2025-11-30,9.05,9.06,9.05,9.06,1.91,"1,100.00","9,965.00"
48,2025-11-27,8.85,8.89,8.85,8.89,1.48,600.00,"5,330.00"
49,2025-11-26,9.25,9.25,8.76,8.76,-3.74,"203,400.00","1,815,210.00"
50,2025-11-25,9.01,9.1,9.01,9.1,-0.87,200.00,"1,811.00"
51,2025-11-24,9.0,9.18,9.0,9.18,2.57,400.00,"3,633.48"
52,2025-11-23,9.07,9.1,8.95,8.95,0.56,"23,100.00","209,572.50"
53,2025-11-20,8.9,8.93,8.9,8.9,-1.66,700.00,"6,234.20"
54,2025-11-19,9.1,9.2,9.05,9.05,-0.44,"6,467.00","59,031.35"
55,2025-11-18,9.04,9.1,8.92,9.09,2.48,"23,527.00","212,923.88"
56,2025-11-17,8.7,8.87,8.7,8.87,0.11,"1,100.00","9,740.00"
57,2025-11-16,8.71,8.86,8.71,8.86,0.91,820.00,"7,163.60"
58,2025-11-12,9.0,9.0,8.78,8.78,-1.9,"99,600.00","877,845.00"
59,2025-11-11,9.1,9.1,8.92,8.95,-3.56,"28,985.00","258,663.20"
60,2025-11-10,9.1,9.28,9.1,9.28,1.98,200.00,"1,838.00"
61,2025-11-09,9.0,9.11,9.0,9.1,-0.55,"20,500.00","186,536.00"
62,2025-11-04,9.1,9.15,9.1,9.15,-0.97,700.00,"6,375.00"
