S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-15,9.22,9.65,9.22,9.65,2.66,"19,310.00","181,438.60"
2,2026-04-13,9.35,9.53,9.35,9.4,-1.47,"14,960.00","140,673.60"
3,2026-04-10,9.68,9.68,9.49,9.54,-1.45,"10,442.00","100,407.00"
4,2026-04-09,9.32,9.68,9.32,9.68,1.79,"6,191.00","58,588.84"
5,2026-04-08,9.4,9.51,9.4,9.51,0.96,"5,710.00","53,984.80"
6,2026-04-07,9.3,9.5,9.21,9.42,-0.42,"7,490.00","70,367.72"
7,2026-04-06,9.2,9.46,9.14,9.46,0.96,"8,950.00","83,632.20"
8,2026-04-05,9.33,9.4,9.33,9.37,-1.37,"6,200.00","57,990.00"
9,2026-04-02,9.4,9.58,9.24,9.5,0.85,"8,350.00","78,850.00"
10,2026-04-01,9.45,9.5,9.27,9.42,-0.32,"9,651.00","90,958.95"
11,2026-03-31,9.34,9.53,9.34,9.45,-0.84,"11,000.00","104,028.60"
12,2026-03-30,9.42,9.7,9.42,9.53,-0.73,"8,220.00","78,520.00"
13,2026-03-29,9.45,9.68,9.45,9.6,0.31,"23,870.00","229,090.20"
14,2026-03-26,9.61,9.74,9.38,9.57,-2.35,"32,100.00","309,307.50"
15,2026-03-25,9.46,9.8,9.42,9.8,2.08,"17,685.00","169,960.11"
16,2026-03-24,9.34,9.6,9.34,9.6,0.95,"8,650.00","82,108.00"
17,2026-03-23,9.6,9.72,9.25,9.51,-2.86,"14,762.00","139,624.18"
18,2026-03-22,9.29,9.79,9.17,9.79,3.38,"210,730.00","2,039,399.50"
19,2026-03-19,9.5,9.79,9.33,9.47,-1.66,"8,950.00","85,031.90"
20,2026-03-17,9.59,9.63,9.31,9.63,-1.53,"212,210.00","2,040,901.00"
21,2026-03-16,9.44,9.78,9.26,9.78,1.88,"17,193.00","163,323.54"
22,2026-03-15,9.69,9.88,9.31,9.6,-1.03,"17,343.00","167,346.50"
23,2026-03-12,9.5,9.88,9.21,9.7,0.1,"16,430.00","155,432.70"
24,2026-03-11,9.75,9.75,9.27,9.69,1.36,"9,411.00","89,215.14"
25,2026-03-10,9.06,9.56,9.02,9.56,3.46,"14,200.00","131,166.00"
26,2026-03-03,9.12,9.41,8.99,9.24,-0.65,"4,281.00","39,484.69"
27,2026-03-01,9.25,9.46,9.11,9.3,0.22,"4,790.00","44,364.90"
28,2026-02-26,9.4,9.5,9.1,9.28,-0.43,"7,600.00","70,140.81"
29,2026-02-25,9.0,9.91,9.0,9.32,2.87,"212,030.00","2,032,094.70"
30,2026-02-24,8.87,9.36,8.87,9.06,0.11,"15,980.00","145,467.80"
31,2026-02-23,8.99,9.23,8.99,9.05,-1.09,"21,880.00","199,142.50"
32,2026-02-22,9.01,9.22,9.0,9.15,-0.22,"20,020.00","181,770.90"
33,2026-02-17,10.0,10.0,9.03,9.17,-8.3,"33,920.00","309,814.60"
