S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,9.15,9.16,9.15,9.15,-1.61,"1,300.00","11,897.00"
2,2026-02-17,9.3,9.3,9.25,9.3,-0.43,"1,310.00","12,145.50"
3,2026-02-16,9.34,9.5,8.99,9.34,-1.99,"33,310.00","310,837.20"
4,2026-02-12,9.35,9.53,9.21,9.53,0.53,"1,600.00","15,026.00"
5,2026-02-11,9.07,9.48,9.07,9.48,3.95,"5,315.00","49,840.50"
6,2026-02-10,8.92,9.2,8.92,9.12,0.44,"1,200.00","10,928.00"
7,2026-02-09,9.13,9.38,9.03,9.08,-1.2,"2,450.00","22,410.00"
8,2026-02-08,9.5,9.5,9.12,9.19,-4.27,"1,400.00","12,872.00"
9,2026-02-05,9.58,9.74,9.5,9.6,2.02,"55,112.00","530,443.38"
10,2026-02-04,9.05,9.41,9.05,9.41,4.09,"1,899.00","17,563.77"
11,2026-02-03,9.1,9.17,9.03,9.04,-1.2,"2,800.00","25,557.00"
12,2026-02-02,9.09,9.15,9.09,9.15,-0.87,"2,100.00","19,129.00"
13,2026-02-01,8.92,9.41,8.92,9.23,1.88,"6,850.00","63,208.50"
14,2026-01-29,9.0,9.24,9.0,9.06,-0.98,"2,745.00","24,916.00"
15,2026-01-28,9.07,9.33,9.07,9.15,-0.97,"1,600.00","14,658.00"
16,2026-01-27,9.4,9.41,9.22,9.24,0.22,"3,100.00","28,840.00"
17,2026-01-26,9.02,9.38,9.02,9.22,0.22,"13,780.00","127,911.40"
18,2026-01-25,8.9,9.2,8.9,9.2,1.88,"4,400.00","39,952.00"
19,2026-01-22,8.92,9.15,8.92,9.03,0.0,"3,780.00","34,245.40"
20,2026-01-21,8.89,9.06,8.89,9.03,-0.22,"2,150.00","19,407.00"
21,2026-01-20,8.93,9.1,8.93,9.05,-0.55,"5,300.00","47,967.00"
22,2026-01-18,8.92,9.1,8.92,9.1,0.0,"2,500.00","22,545.00"
23,2026-01-14,9.0,9.1,8.84,9.1,-0.87,"1,500.00","13,426.00"
24,2026-01-13,8.96,9.18,8.96,9.18,2.8,"6,050.00","54,845.00"
25,2026-01-12,9.1,9.1,8.93,8.93,-1.87,"1,900.00","17,137.00"
26,2026-01-08,9.0,9.15,8.97,9.1,2.13,"2,210.00","19,993.00"
27,2026-01-07,8.79,9.09,8.79,8.91,-0.11,"1,700.00","15,199.00"
28,2026-01-06,8.75,8.92,8.75,8.92,0.22,"1,800.00","15,900.00"
29,2026-01-05,8.8,9.0,8.8,8.9,-0.78,"2,200.00","19,618.00"
30,2026-01-04,8.81,9.15,8.81,8.97,-0.11,"2,890.00","25,744.10"
31,2026-01-01,9.79,9.79,8.98,8.98,-10.02,"16,700.00","151,040.11"
32,2025-12-31,10.18,10.18,9.98,9.98,-1.96,200.00,"2,016.00"
33,2025-12-29,9.08,10.18,9.0,10.18,9.94,"4,750.00","44,149.00"
34,2025-12-28,8.87,9.26,8.87,9.26,2.32,"6,530.00","58,979.00"
35,2025-12-24,8.82,9.05,8.82,9.05,2.72,"2,000.00","17,886.00"
36,2025-12-23,8.83,8.98,8.81,8.81,-1.89,"2,200.00","19,426.00"
37,2025-12-22,8.99,8.99,8.98,8.98,-1.75,"1,500.00","13,475.00"
38,2025-12-21,8.93,9.14,8.93,9.14,0.55,"5,250.00","47,641.00"
39,2025-12-18,8.86,9.09,8.86,9.09,0.55,"2,500.00","22,431.00"
40,2025-12-17,9.0,9.04,8.82,9.04,1.57,"1,800.00","16,030.00"
41,2025-12-16,8.81,8.9,8.73,8.9,1.02,"1,100.00","9,678.00"
42,2025-12-15,8.73,8.81,8.73,8.81,-0.79,"1,000.00","8,763.00"
43,2025-12-14,8.71,8.89,8.71,8.88,1.25,"2,100.00","18,568.00"
44,2025-12-11,8.73,8.95,8.73,8.77,-1.24,"1,600.00","14,047.00"
45,2025-12-10,9.0,9.0,8.88,8.88,-1.77,900.00,"8,016.00"
46,2025-12-09,8.55,9.04,8.55,9.04,3.67,"3,950.00","34,529.00"
47,2025-12-08,8.54,8.72,8.5,8.72,0.23,"12,550.00","107,527.00"
48,2025-12-07,8.52,8.85,8.52,8.7,0.23,"2,230.00","19,342.00"
49,2025-12-03,8.65,9.18,8.65,8.68,-1.59,"7,520.00","65,492.90"
50,2025-12-02,9.02,9.1,8.82,8.82,-2.33,"14,330.00","127,953.60"
51,2025-12-01,9.02,9.2,9.02,9.03,-1.85,"4,000.00","36,465.00"
52,2025-11-30,9.07,9.2,8.83,9.2,-0.54,"6,400.00","57,801.00"
53,2025-11-27,8.7,9.25,8.7,9.25,5.23,"3,080.00","27,746.00"
54,2025-11-26,8.8,8.94,8.7,8.79,-1.9,"2,600.00","22,901.00"
55,2025-11-25,8.79,8.96,8.63,8.96,0.0,"1,000.00","8,775.00"
56,2025-11-24,8.65,8.96,8.65,8.96,1.93,"9,500.00","84,345.00"
57,2025-11-23,8.61,8.8,8.61,8.79,0.69,"1,880.00","16,431.60"
58,2025-11-20,8.68,8.98,8.68,8.73,-0.91,"5,500.00","48,731.00"
59,2025-11-19,8.7,8.81,8.53,8.81,0.11,"10,950.00","93,554.00"
60,2025-11-18,8.7,8.87,8.7,8.8,-0.79,"11,400.00","100,976.00"
61,2025-11-17,8.85,8.92,8.85,8.87,-1.66,"1,100.00","9,771.00"
62,2025-11-16,8.69,9.03,8.69,9.02,1.81,"2,800.00","24,710.50"
63,2025-11-13,8.91,9.08,8.74,8.86,-0.56,"2,300.00","20,416.00"
64,2025-11-12,8.89,9.07,8.76,8.91,0.22,"2,200.00","19,602.00"
65,2025-11-11,9.05,9.06,8.88,8.89,-1.11,700.00,"6,282.00"
66,2025-11-10,8.75,8.99,8.75,8.99,1.58,"1,500.00","13,274.00"
67,2025-11-09,8.84,9.02,8.84,8.85,-1.88,"2,800.00","24,976.00"
68,2025-11-06,8.8,9.07,8.8,9.02,2.27,"1,900.00","16,927.00"
69,2025-11-05,8.75,8.82,8.75,8.82,-0.11,700.00,"6,152.00"
70,2025-11-04,8.77,8.83,8.77,8.83,-0.79,"1,100.00","9,682.00"
71,2025-11-03,9.0,9.0,8.83,8.9,-1.11,"2,650.00","23,548.00"
72,2025-11-02,9.0,9.0,9.0,9.0,-1.96,"1,500.00","13,500.00"
73,2025-10-30,8.86,9.18,8.86,9.18,3.61,"3,350.00","30,276.50"
74,2025-10-29,8.8,8.86,8.8,8.86,0.34,700.00,"6,178.00"
75,2025-10-28,9.0,9.0,8.81,8.83,-3.07,"1,200.00","10,732.00"
76,2025-10-26,9.0,9.11,8.95,9.11,1.9,"6,600.00","59,223.00"
77,2025-10-19,8.92,8.94,8.77,8.94,-1.76,"2,500.00","22,199.00"
78,2025-10-16,8.89,9.1,8.85,9.1,0.44,"2,200.00","19,813.00"
79,2025-10-15,8.76,9.07,8.76,9.06,1.8,"1,700.00","15,302.00"
80,2025-10-14,9.05,9.05,8.87,8.9,0.0,900.00,"8,032.00"
81,2025-10-13,8.82,8.9,8.65,8.9,-1.11,"1,200.00","10,520.00"
82,2025-10-12,9.22,9.22,9.0,9.0,-4.26,900.00,"8,226.00"
83,2025-10-09,9.08,9.4,9.08,9.4,1.62,"2,100.00","19,395.00"
84,2025-10-08,9.25,9.25,8.89,9.25,1.98,800.00,"7,241.00"
85,2025-10-07,9.6,9.6,9.07,9.07,-7.35,"4,050.00","37,308.50"
86,2025-09-28,9.02,9.79,8.8,9.79,10.0,"10,100.00","90,509.00"
87,2025-09-25,8.81,8.97,8.81,8.9,0.56,700.00,"6,212.00"
88,2025-09-24,8.8,8.91,8.79,8.85,-1.23,"1,100.00","9,713.00"
89,2025-09-23,8.8,8.96,8.8,8.96,0.0,"4,390.00","38,926.90"
90,2025-09-21,8.94,9.0,8.8,8.96,-1.75,"2,300.00","20,394.00"
91,2025-09-08,9.0,9.3,9.0,9.12,1.33,"3,850.00","35,178.00"
92,2025-09-07,8.75,9.15,8.75,9.0,2.04,"2,400.00","21,504.00"
93,2025-09-04,8.92,8.92,8.8,8.82,-3.08,"2,200.00","19,484.00"
94,2025-09-03,8.68,9.28,8.68,9.1,2.94,"5,350.00","48,275.00"
95,2025-09-02,8.95,9.01,8.69,8.84,-2.0,"8,500.00","75,254.90"
96,2025-09-01,8.85,9.2,8.7,9.02,0.22,"3,600.00","32,300.00"
97,2025-08-31,9.81,9.81,9.0,9.0,-10.0,"3,040.00","27,683.00"
98,2025-08-28,10.0,10.0,10.0,10.0,0.0,100.00,"1,000.00"
