S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,11.20,11.64,11.20,11.38,-0.35,"3,900.00","44,306.00"
2,2026-02-05,11.4,11.53,11.4,11.42,-1.72,"1,550.00","17,757.50"
3,2026-02-04,11.4,11.63,11.4,11.62,0.43,"3,000.00","34,409.00"
4,2026-02-03,11.8,11.8,11.57,11.57,-0.26,"20,441.00","237,683.05"
5,2026-02-02,11.36,11.65,11.36,11.6,0.43,"18,027.00","208,883.20"
6,2026-02-01,11.32,11.63,11.32,11.55,0.35,"3,350.00","38,321.50"
7,2026-01-29,11.31,11.72,11.31,11.51,0.88,"4,800.00","55,430.00"
8,2026-01-28,11.45,11.57,11.33,11.41,-0.35,"6,350.00","72,528.50"
9,2026-01-27,11.37,11.45,11.37,11.45,-1.29,700.00,"8,000.00"
10,2026-01-26,11.25,11.7,11.25,11.6,1.93,"882,645.00","10,106,323.88"
11,2026-01-25,11.29,11.38,11.29,11.38,-1.13,"1,300.00","14,758.00"
12,2026-01-22,11.42,11.73,11.41,11.51,-0.78,"10,200.00","119,516.00"
13,2026-01-21,11.6,11.83,11.51,11.6,0.0,"8,400.00","98,675.00"
14,2026-01-20,11.55,11.9,11.55,11.6,-1.28,"6,600.00","77,487.00"
15,2026-01-18,11.12,11.75,11.12,11.75,3.98,"14,500.00","168,407.44"
16,2026-01-14,11.23,11.45,11.21,11.3,0.62,"2,930.00","33,161.00"
17,2026-01-13,11.15,11.58,11.15,11.23,0.72,"6,130.00","69,687.60"
18,2026-01-12,11.01,11.16,11.01,11.15,-0.62,"3,700.00","41,167.40"
19,2026-01-08,11.18,11.62,11.18,11.22,-1.58,"10,900.00","123,777.00"
20,2026-01-07,11.41,11.68,11.36,11.4,-1.38,"16,455.00","190,352.75"
21,2026-01-06,10.7,11.56,10.7,11.56,7.34,"34,220.00","387,899.20"
22,2026-01-05,10.71,11.2,10.71,10.77,-0.09,"5,160.00","56,231.00"
23,2026-01-04,10.78,10.81,10.78,10.78,-0.83,"1,600.00","17,260.00"
24,2026-01-01,10.98,10.98,10.77,10.87,0.93,"3,400.00","37,058.00"
25,2025-12-31,10.72,10.88,10.71,10.77,-1.01,"6,200.00","66,515.00"
26,2025-12-29,10.68,10.88,10.68,10.88,0.0,"7,897.00","84,718.55"
27,2025-12-28,10.87,10.94,10.66,10.88,-1.89,"2,200.00","23,768.00"
28,2025-12-24,10.87,11.31,10.87,11.09,1.19,"53,080.00","591,299.00"
29,2025-12-23,10.51,11.07,10.51,10.96,2.91,"7,178.00","77,598.66"
30,2025-12-22,10.7,10.7,10.65,10.65,-1.39,600.00,"6,415.00"
31,2025-12-21,10.66,11.02,10.66,10.8,-0.09,"6,600.00","72,139.00"
32,2025-12-18,10.95,10.95,10.75,10.81,-1.73,"5,800.00","62,835.00"
33,2025-12-17,10.9,11.11,10.9,11.0,1.01,"4,200.00","46,331.00"
34,2025-12-16,10.8,10.89,10.8,10.89,0.83,"1,545.00","16,787.60"
35,2025-12-15,10.73,10.8,10.73,10.8,-1.19,"1,200.00","12,918.00"
36,2025-12-14,10.6,10.93,10.6,10.93,1.96,"12,828.00","137,574.96"
37,2025-12-11,10.79,10.79,10.5,10.72,-2.63,800.00,"8,550.00"
38,2025-12-10,10.7,11.01,10.61,11.01,2.71,"35,300.00","386,250.50"
39,2025-12-09,10.5,10.75,10.5,10.72,0.66,"3,800.00","40,311.20"
40,2025-12-08,10.65,10.65,10.6,10.65,-0.75,"2,945.00","31,279.45"
41,2025-12-07,10.52,10.86,10.52,10.73,0.75,"2,300.00","24,733.00"
42,2025-12-03,10.6,10.76,10.6,10.65,0.95,"3,700.00","39,402.50"
43,2025-12-02,10.45,10.65,10.45,10.55,0.38,"147,150.00","1,544,316.50"
44,2025-12-01,10.45,10.66,10.45,10.51,0.48,"5,365.00","56,769.00"
45,2025-11-30,10.46,10.46,10.46,10.46,-1.41,"3,850.00","40,271.00"
