S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,9.16,9.51,9.16,9.37,0.32,"3,189.00","29,860.24"
2,2026-02-04,9.50,9.50,9.31,9.34,-3.61,"3,180.00","29,713.40"
3,2026-02-03,9.41,9.69,9.41,9.69,0.94,"4,670.00","44,302.30"
4,2026-02-02,9.79,9.79,9.44,9.6,0.0,"10,790.00","102,885.00"
5,2026-02-01,9.7,9.75,9.54,9.6,-2.93,"13,550.00","130,919.50"
6,2026-01-29,9.89,9.89,9.7,9.89,1.96,"274,211.00","2,710,048.99"
7,2026-01-28,9.93,9.93,9.6,9.7,-0.41,"50,477.00","486,028.20"
8,2026-01-27,9.94,9.94,9.36,9.74,-0.1,"5,098.00","48,696.99"
9,2026-01-26,9.5,9.83,9.2,9.75,4.61,"103,200.00","996,256.12"
10,2026-01-25,9.43,9.43,9.25,9.32,0.76,"4,810.00","44,829.00"
11,2026-01-22,9.28,9.4,9.12,9.25,-2.22,"6,250.00","58,126.50"
12,2026-01-21,9.48,9.64,9.13,9.46,1.72,"17,600.00","165,117.00"
13,2026-01-20,9.58,10.34,9.15,9.3,-1.06,"35,250.00","341,157.00"
14,2026-01-18,9.47,9.47,9.11,9.4,1.18,"21,468.00","198,843.20"
15,2026-01-14,9.38,9.38,8.31,9.29,0.98,"20,186.00","180,258.20"
16,2026-01-13,9.07,9.25,9.07,9.2,-0.54,"6,200.00","56,513.00"
17,2026-01-12,9.42,9.42,9.15,9.25,0.11,"7,300.00","67,381.00"
18,2026-01-08,9.4,9.4,9.06,9.24,0.0,"1,710.00","15,728.40"
19,2026-01-07,9.25,9.25,8.95,9.24,1.87,"27,230.00","250,032.70"
20,2026-01-06,9.29,9.29,8.93,9.07,-0.44,"6,163.00","55,858.07"
21,2026-01-05,9.3,9.3,9.11,9.11,-0.98,"10,900.00","100,257.00"
22,2026-01-04,9.3,9.38,9.02,9.2,0.0,"3,710.00","33,778.40"
23,2026-01-01,9.2,9.28,9.02,9.2,2.0,"20,800.00","189,729.50"
24,2025-12-31,8.98,9.18,8.98,9.02,-0.99,"6,497.00","59,303.99"
25,2025-12-29,9.35,9.35,8.82,9.11,-0.65,"27,725.00","253,494.00"
26,2025-12-28,9.36,9.36,8.93,9.17,-0.11,"35,000.00","316,397.00"
27,2025-12-24,9.1,9.18,8.92,9.18,2.0,"7,900.00","70,767.00"
28,2025-12-23,8.84,9.19,8.84,9.0,-0.22,"5,210.00","46,565.90"
29,2025-12-22,8.95,9.12,8.95,9.02,-0.88,"17,300.00","156,241.00"
30,2025-12-21,9.3,9.3,8.94,9.1,-0.98,"14,100.00","128,502.00"
31,2025-12-18,8.93,9.21,8.93,9.19,1.77,"13,150.00","120,320.40"
32,2025-12-17,8.95,9.21,8.95,9.03,0.0,"36,300.00","330,739.25"
33,2025-12-16,8.93,9.1,8.92,9.03,0.0,"29,070.00","262,371.10"
34,2025-12-15,9.0,9.12,9.0,9.03,-0.77,"5,540.00","49,982.00"
35,2025-12-14,9.02,9.2,8.87,9.1,0.89,"24,900.00","224,434.00"
36,2025-12-11,8.98,9.16,8.98,9.02,-1.53,"2,750.00","24,874.00"
37,2025-12-10,9.01,9.19,9.01,9.16,-0.33,"9,145.00","83,213.90"
38,2025-12-09,9.32,9.32,9.08,9.19,0.55,"159,457.00","1,479,049.23"
39,2025-12-08,8.83,9.17,8.82,9.14,1.56,"4,600.00","40,841.00"
40,2025-12-07,9.0,9.18,9.0,9.0,-0.55,"11,075.00","99,877.50"
41,2025-12-03,9.27,9.27,9.05,9.05,-0.44,"7,600.00","68,890.00"
42,2025-12-02,9.09,9.25,8.92,9.09,1.91,"15,830.00","142,782.40"
43,2025-12-01,9.26,9.26,8.92,8.92,-1.98,"2,350.00","21,331.00"
44,2025-11-30,9.15,9.15,8.81,9.1,0.55,"32,450.00","291,220.50"
45,2025-11-27,8.85,9.05,8.85,9.05,1.12,"6,500.00","58,519.00"
46,2025-11-26,9.13,9.13,8.88,8.95,-0.11,"3,597.00","32,276.50"
47,2025-11-25,9.28,9.28,8.95,8.96,-1.54,"30,723.00","277,052.30"
48,2025-11-24,9.0,9.1,8.82,9.1,1.11,"6,800.00","61,110.00"
49,2025-11-23,8.87,9.18,8.87,9.0,-0.55,"3,100.00","27,817.00"
50,2025-11-20,9.02,9.2,8.88,9.05,0.33,"6,198.00","55,707.82"
51,2025-11-19,8.97,9.02,8.85,9.02,2.5,"14,550.00","130,415.50"
52,2025-11-18,8.95,8.95,8.73,8.8,0.23,"1,395.00","12,321.15"
53,2025-11-17,9.25,9.25,8.78,8.78,-3.94,"15,650.00","139,532.60"
54,2025-11-16,9.2,9.2,8.84,9.14,1.33,"1,600.00","14,449.00"
55,2025-11-13,8.82,9.02,8.82,9.02,0.22,"2,454.00","21,860.90"
56,2025-11-12,8.7,9.03,8.7,9.0,1.58,"1,000.00","8,859.00"
57,2025-11-11,8.84,9.14,8.84,8.86,-1.77,"4,000.00","35,682.80"
58,2025-11-10,9.08,9.2,9.02,9.02,1.23,800.00,"7,270.00"
59,2025-11-09,9.0,9.18,8.86,8.91,-1.0,"4,018.00","36,056.96"
60,2025-11-06,9.15,9.36,8.85,9.0,0.0,"1,330.00","12,084.40"
61,2025-11-05,9.09,9.27,9.0,9.0,-2.91,"2,427.00","22,108.86"
62,2025-11-04,8.96,9.3,8.96,9.27,1.42,"1,300.00","11,879.00"
63,2025-11-03,9.1,9.18,9.0,9.14,1.56,"22,250.00","202,517.50"
