S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,10.02,10.05,10.02,10.05,0.00,"1,250.00","12,546.00"
2,2026-02-04,9.87,10.05,9.71,10.05,3.82,"5,400.00","53,259.00"
3,2026-02-03,9.6,9.79,9.6,9.68,-0.72,"1,230.00","11,951.70"
4,2026-02-02,9.93,9.94,9.75,9.75,0.0,"4,150.00","40,843.00"
5,2026-02-01,9.73,9.75,9.56,9.75,0.21,"11,130.00","107,629.35"
6,2026-01-29,9.72,9.73,9.72,9.73,-1.62,800.00,"7,777.00"
7,2026-01-28,9.53,9.89,9.53,9.89,2.49,"4,700.00","45,841.00"
8,2026-01-27,9.52,9.65,9.52,9.65,-0.52,500.00,"4,797.00"
9,2026-01-26,9.71,10.09,9.7,9.7,-2.02,"13,261.00","130,590.79"
10,2026-01-25,10.0,10.0,9.9,9.9,-2.75,"4,000.00","39,900.00"
11,2026-01-22,10.05,10.44,9.86,10.18,-0.68,"33,500.00","345,608.60"
12,2026-01-21,10.08,10.25,10.08,10.25,3.64,"7,500.00","76,363.00"
13,2026-01-20,9.51,9.89,9.51,9.89,1.96,600.00,"5,877.00"
14,2026-01-18,9.42,9.7,9.31,9.7,0.94,"5,220.00","49,543.20"
15,2026-01-14,9.61,9.61,9.61,9.61,-1.94,"1,249.00","12,002.89"
16,2026-01-13,9.55,9.8,9.55,9.8,1.03,"2,400.00","23,333.06"
17,2026-01-12,9.89,9.89,9.7,9.7,0.0,"2,343.00","23,153.27"
18,2026-01-08,9.65,9.98,9.65,9.7,0.52,"17,897.00","174,230.55"
19,2026-01-07,9.65,9.65,9.65,9.65,0.52,200.00,"1,930.00"
20,2026-01-06,9.5,9.77,9.5,9.6,0.21,"12,834.00","124,554.96"
21,2026-01-05,9.31,9.58,9.31,9.58,0.84,800.00,"7,520.00"
22,2026-01-04,9.5,9.82,9.5,9.5,0.96,"151,847.00","1,456,154.08"
23,2026-01-01,9.3,9.41,9.3,9.41,-0.53,"15,500.00","145,700.00"
24,2025-12-31,9.13,9.48,9.13,9.46,1.72,"42,900.00","402,896.00"
25,2025-12-29,9.14,9.45,9.14,9.3,0.54,"11,645.00","109,687.75"
