S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,9.44,9.63,9.44,9.50,0.53,"13,670.00","130,246.35"
2,2026-02-10,9.5,9.5,9.42,9.45,-0.53,"1,600.00","15,102.00"
3,2026-02-09,9.42,9.62,9.42,9.5,0.0,"2,705.00","25,683.30"
4,2026-02-08,9.36,9.5,9.36,9.5,-0.11,"2,300.00","21,718.00"
5,2026-02-05,9.41,9.73,9.41,9.51,-0.42,"16,200.00","156,885.00"
6,2026-02-04,9.35,9.72,9.35,9.55,0.53,"4,800.00","46,075.00"
7,2026-02-03,9.69,9.69,9.43,9.5,0.0,"2,300.00","22,027.00"
8,2026-02-02,9.54,9.73,9.5,9.5,-2.36,"111,178.00","1,064,179.14"
9,2026-02-01,9.55,9.73,9.51,9.73,1.78,"2,300.00","22,049.00"
10,2026-01-29,9.5,9.71,9.5,9.56,0.63,"4,400.00","42,300.50"
11,2026-01-28,9.59,9.66,9.42,9.5,0.96,"3,000.00","28,662.00"
12,2026-01-27,9.41,9.9,9.24,9.41,-1.98,"271,332.00","2,529,424.68"
13,2026-01-26,9.61,9.84,9.42,9.6,-0.52,"37,090.00","357,571.49"
14,2026-01-25,9.6,9.79,9.6,9.65,0.52,"2,300.00","22,142.00"
15,2026-01-22,9.43,9.8,9.43,9.6,-0.1,"3,920.00","38,160.00"
16,2026-01-21,9.42,9.79,9.42,9.61,0.1,"16,888.00","163,217.80"
17,2026-01-20,9.4,9.6,9.38,9.6,0.42,800.00,"7,592.00"
18,2026-01-18,9.35,9.56,9.35,9.56,1.92,"2,700.00","25,484.00"
19,2026-01-14,9.21,9.38,9.21,9.38,1.96,"3,000.00","28,073.00"
20,2026-01-13,9.18,9.5,9.18,9.2,-0.76,"3,800.00","35,634.00"
21,2026-01-12,9.59,9.78,9.27,9.27,-1.49,"7,500.00","72,593.00"
22,2026-01-08,9.16,9.52,9.16,9.41,0.75,"3,200.00","30,299.00"
23,2026-01-07,9.25,9.43,9.25,9.34,-0.95,"4,100.00","38,481.00"
24,2026-01-06,9.22,9.58,9.22,9.43,0.32,"5,000.00","47,477.00"
25,2026-01-05,9.2,9.5,9.2,9.4,0.21,"2,200.00","20,548.00"
26,2026-01-04,9.15,9.38,9.15,9.38,0.54,"1,800.00","16,675.00"
27,2026-01-01,9.43,9.43,9.33,9.33,0.11,"3,100.00","29,163.00"
28,2025-12-31,9.26,9.4,9.26,9.32,0.0,"40,785.00","383,297.50"
