S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,10.00,10.21,10.00,10.09,-0.10,"43,400.00","438,355.00"
2,2026-02-08,9.96,10.1,9.96,10.1,0.9,"24,800.00","247,546.00"
3,2026-02-05,10.2,10.24,9.9,10.01,-0.6,"5,100.00","51,258.00"
4,2026-02-04,10.2,10.2,10.0,10.07,0.5,"17,349.00","174,966.93"
5,2026-02-03,10.01,10.2,9.99,10.02,-0.3,"92,700.00","929,105.00"
6,2026-02-02,10.1,10.1,10.05,10.05,0.4,"18,900.00","190,364.00"
7,2026-02-01,10.0,10.2,10.0,10.01,-0.2,"19,750.00","198,329.50"
8,2026-01-29,10.1,10.19,10.0,10.03,-1.38,"30,550.00","307,716.00"
9,2026-01-28,9.82,10.17,9.82,10.17,1.7,"18,660.00","186,733.90"
10,2026-01-27,9.9,10.1,9.9,10.0,0.91,"17,600.00","176,504.00"
11,2026-01-26,10.0,10.05,9.81,9.91,0.0,"1,936,245.00","19,368,576.00"
12,2026-01-25,9.73,10.0,9.65,9.91,1.85,"1,004,350.00","10,042,624.05"
13,2026-01-22,9.91,9.91,9.68,9.73,0.1,"24,700.00","244,468.00"
14,2026-01-21,9.55,9.82,9.55,9.72,0.93,"5,750.00","56,247.00"
15,2026-01-20,9.52,9.87,9.52,9.63,-0.52,"21,022.00","205,834.09"
16,2026-01-18,9.46,9.68,9.46,9.68,0.31,"4,175.00","39,837.25"
17,2026-01-14,9.7,9.8,9.62,9.65,-1.23,"3,250.00","31,390.50"
18,2026-01-13,9.6,9.77,9.6,9.77,0.0,"4,550.00","43,861.50"
19,2026-01-12,9.58,9.77,9.58,9.77,1.98,"7,500.00","72,364.00"
20,2026-01-08,9.45,9.71,9.45,9.58,-0.62,"4,200.00","40,268.00"
21,2026-01-07,9.63,9.79,9.63,9.64,0.21,"7,545.00","72,919.20"
22,2026-01-06,9.58,9.75,9.58,9.62,0.52,"4,000.00","38,653.00"
23,2026-01-05,9.59,9.59,9.5,9.57,-0.31,"23,500.00","225,116.00"
24,2026-01-04,9.54,9.71,9.54,9.6,0.63,"16,000.00","153,697.50"
25,2026-01-01,9.51,9.68,9.51,9.54,0.42,"67,643.00","652,424.81"
26,2025-12-31,9.38,9.57,9.38,9.5,-0.31,"4,300.00","40,876.00"
27,2025-12-29,9.36,9.53,9.36,9.53,0.42,"5,550.00","52,434.50"
28,2025-12-28,9.33,9.49,9.31,9.49,1.71,"63,550.00","598,728.50"
29,2025-12-24,9.31,9.35,9.31,9.33,0.21,"3,500.00","32,633.00"
30,2025-12-23,9.25,9.35,9.25,9.31,-0.43,"5,050.00","47,015.50"
31,2025-12-22,9.2,9.35,9.11,9.35,0.86,"7,000.00","64,846.00"
32,2025-12-21,9.26,9.44,9.13,9.27,-1.38,"111,700.00","1,037,996.00"
33,2025-12-18,9.31,9.48,9.3,9.4,-0.21,"6,200.00","58,256.00"
34,2025-12-17,9.25,9.62,9.25,9.42,1.84,"20,000.00","189,874.17"
35,2025-12-16,9.23,9.3,9.23,9.25,0.54,"4,900.00","45,286.00"
