S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,9.09,9.10,8.99,9.05,1.46,"19,570.00","176,988.50"
2,2026-02-09,8.78,9.25,8.78,8.92,-0.34,"7,100.00","64,458.00"
3,2026-02-08,9.0,9.14,8.95,8.95,-0.56,"12,830.00","115,719.85"
4,2026-02-05,9.42,9.42,8.82,9.0,-6.25,"9,710.00","88,953.00"
5,2026-02-04,9.5,9.69,9.5,9.6,-0.83,"334,351.00","3,223,133.10"
6,2026-02-03,9.33,9.68,8.8,9.68,5.79,"345,512.00","3,222,998.54"
7,2026-02-02,8.83,9.18,8.83,9.15,1.67,"97,325.00","882,459.00"
8,2026-02-01,8.8,9.14,8.8,9.0,1.58,"228,710.00","2,060,058.20"
9,2026-01-29,8.67,9.04,8.67,8.86,0.68,"133,100.00","1,186,597.00"
10,2026-01-28,8.73,9.0,8.73,8.8,0.8,"117,444.00","1,043,403.22"
11,2026-01-27,8.67,8.96,8.67,8.73,-0.57,"184,228.00","1,641,193.24"
12,2026-01-26,8.75,8.8,8.58,8.78,0.92,"50,850.00","444,987.00"
13,2026-01-25,8.54,8.81,8.54,8.7,-0.11,"29,196.00","252,734.69"
14,2026-01-22,8.58,8.75,8.58,8.71,-0.46,"7,830.00","68,294.30"
15,2026-01-21,9.0,9.0,8.61,8.75,-0.91,"8,924.00","78,526.88"
16,2026-01-20,8.43,8.88,8.43,8.83,2.67,"82,900.00","725,285.00"
17,2026-01-18,8.75,8.85,8.58,8.6,-1.71,"19,399.00","167,105.00"
18,2026-01-14,8.5,8.77,8.46,8.75,1.74,"7,711.00","66,763.25"
19,2026-01-13,8.55,8.72,8.39,8.6,-1.38,"17,000.00","145,540.50"
20,2026-01-12,8.45,8.77,8.45,8.72,1.75,"14,200.00","123,569.00"
21,2026-01-08,8.6,8.8,8.57,8.57,-1.49,"25,960.00","225,995.80"
22,2026-01-07,8.82,8.82,8.51,8.7,-0.46,"23,841.00","207,200.90"
23,2026-01-06,8.7,8.8,8.61,8.74,0.46,"74,735.00","655,480.40"
24,2026-01-05,8.88,8.88,8.55,8.7,-0.11,"10,850.00","94,131.50"
25,2026-01-04,8.5,8.71,8.45,8.71,1.28,"41,600.00","357,251.00"
26,2026-01-01,8.72,8.72,8.55,8.6,-1.38,"14,297.00","123,159.84"
27,2025-12-31,8.84,8.84,8.52,8.72,-0.34,"16,903.00","144,860.66"
28,2025-12-29,8.85,8.85,8.51,8.75,0.57,"9,550.00","82,712.24"
29,2025-12-28,8.46,8.84,8.46,8.7,2.84,"47,391.00","406,919.70"
30,2025-12-24,8.38,8.63,8.31,8.46,-1.05,"8,795.00","74,600.75"
31,2025-12-23,8.67,8.67,8.39,8.55,-1.27,"7,800.00","66,447.00"
32,2025-12-22,8.5,8.66,8.5,8.66,0.23,"22,783.00","195,362.50"
33,2025-12-21,8.42,8.64,8.42,8.64,1.89,"6,750.00","57,677.00"
34,2025-12-18,8.4,8.7,8.4,8.48,-0.82,"19,400.00","166,092.50"
35,2025-12-17,8.87,8.87,8.53,8.55,-1.84,"8,005.00","69,438.10"
36,2025-12-16,8.5,8.8,8.36,8.71,3.44,"18,750.00","158,785.50"
37,2025-12-15,8.35,8.6,8.35,8.42,-0.94,"7,618.00","64,558.90"
38,2025-12-14,8.37,8.6,8.37,8.5,0.47,"13,650.00","116,078.50"
39,2025-12-11,8.84,8.84,8.46,8.46,-2.87,"4,600.00","39,576.00"
40,2025-12-10,8.35,8.71,8.35,8.71,2.96,"10,550.00","88,583.50"
41,2025-12-09,8.37,8.7,8.37,8.46,-0.59,"17,556.00","149,798.01"
42,2025-12-08,8.4,8.6,8.4,8.51,0.35,"3,490.00","29,715.00"
43,2025-12-07,8.34,8.77,8.34,8.48,0.0,"32,130.00","277,194.00"
44,2025-12-03,8.5,8.79,8.38,8.48,-2.19,"5,400.00","46,233.00"
45,2025-12-02,8.8,8.8,8.33,8.67,-0.34,"29,687.00","250,715.85"
46,2025-12-01,8.5,8.7,8.42,8.7,2.47,"23,349.00","198,974.35"
47,2025-11-30,8.67,8.67,8.49,8.49,-0.12,"6,856.00","58,474.65"
48,2025-11-27,8.63,8.8,8.49,8.5,0.35,"76,631.00","671,086.65"
49,2025-11-26,8.45,8.62,8.45,8.47,-0.35,"33,503.00","284,079.45"
50,2025-11-25,8.93,8.93,8.44,8.5,-3.08,"3,050.00","26,057.50"
51,2025-11-24,8.68,8.77,8.35,8.77,3.06,"7,650.00","65,574.50"
52,2025-11-23,8.84,8.84,8.33,8.51,-2.74,"24,100.00","206,541.56"
53,2025-11-20,8.36,8.75,8.27,8.75,2.82,"29,652.00","251,889.30"
54,2025-11-19,8.82,8.82,8.49,8.51,-1.73,"4,257.00","36,475.64"
55,2025-11-18,8.79,8.8,8.63,8.66,-0.69,"26,261.00","228,873.72"
56,2025-11-17,8.81,8.81,8.58,8.72,0.23,"3,298.00","28,649.38"
57,2025-11-16,8.55,8.75,8.45,8.7,1.16,"19,915.00","172,433.35"
58,2025-11-13,8.3,8.65,8.3,8.6,2.38,"17,310.00","148,735.40"
59,2025-11-12,8.36,8.45,8.36,8.4,-0.36,"14,570.00","122,080.70"
60,2025-11-11,8.44,8.64,8.3,8.43,-1.98,"87,350.00","739,008.20"
61,2025-11-10,8.53,8.6,8.39,8.6,-1.15,"30,897.00","260,337.80"
62,2025-11-09,8.75,8.89,8.49,8.7,-2.47,"6,402.00","55,033.10"
63,2025-11-06,9.0,9.0,8.76,8.92,0.22,"2,243.00","19,988.83"
64,2025-11-05,8.91,8.91,8.57,8.9,1.71,"5,302.00","46,005.81"
65,2025-11-04,8.74,8.9,8.57,8.75,0.11,"13,551.00","120,172.00"
66,2025-11-03,8.9,8.9,8.55,8.74,-0.57,"43,301.00","372,647.88"
67,2025-11-02,9.01,9.01,8.66,8.79,-0.57,"4,796.00","42,179.68"
68,2025-10-30,8.88,9.05,8.56,8.84,1.38,"17,305.00","152,104.34"
69,2025-10-29,8.55,8.86,8.55,8.72,0.11,"19,759.00","173,610.21"
