S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,9.70,9.89,9.52,9.79,0.93,"21,600.00","209,516.00"
2,2026-02-24,9.68,9.73,9.32,9.7,2.11,"16,200.00","156,251.00"
3,2026-02-23,9.58,9.74,9.22,9.5,-2.76,"2,900.00","27,119.00"
4,2026-02-22,9.31,9.78,9.31,9.77,3.28,"26,500.00","255,507.00"
5,2026-02-17,9.41,9.79,9.41,9.46,-1.46,"21,209.00","200,825.05"
6,2026-02-16,9.89,9.89,9.6,9.6,-1.03,"7,200.00","69,443.00"
7,2026-02-12,9.32,9.91,9.32,9.7,2.65,"13,100.00","127,410.50"
8,2026-02-11,9.54,9.58,9.4,9.45,-2.88,"7,200.00","68,755.00"
9,2026-02-10,9.36,9.73,9.26,9.73,3.95,"77,652.00","752,471.46"
10,2026-02-09,9.7,9.73,9.32,9.36,-3.9,"3,300.00","31,327.00"
11,2026-02-08,9.59,9.74,9.33,9.74,3.51,"58,749.00","566,537.51"
12,2026-02-05,9.52,9.55,9.4,9.41,0.75,"34,550.00","327,840.50"
13,2026-02-04,9.28,9.58,9.28,9.34,-1.16,"16,100.00","151,227.00"
14,2026-02-03,9.28,9.47,9.28,9.45,-0.11,"24,420.00","228,664.60"
15,2026-02-02,9.36,9.73,9.36,9.46,1.07,"21,959.00","211,638.67"
16,2026-02-01,9.33,9.5,9.33,9.36,-1.68,"8,100.00","76,065.00"
17,2026-01-29,9.49,9.65,9.31,9.52,-1.55,"18,050.00","171,651.50"
18,2026-01-28,9.31,9.67,9.21,9.67,1.79,"14,350.00","133,826.50"
19,2026-01-27,9.89,9.89,9.4,9.5,-2.06,"8,750.00","83,462.00"
20,2026-01-26,9.49,9.7,9.33,9.7,2.11,"153,812.00","1,483,193.54"
21,2026-01-25,9.1,9.55,9.1,9.5,3.15,"66,165.00","623,243.50"
22,2026-01-22,9.1,9.34,9.03,9.21,0.55,"100,103.00","931,354.72"
23,2026-01-21,9.09,9.31,9.09,9.16,-0.97,"17,005.00","156,148.50"
24,2026-01-20,9.1,9.3,9.1,9.25,1.65,"145,200.00","1,346,869.20"
25,2026-01-18,9.02,9.3,9.02,9.1,-1.09,"57,810.00","523,372.00"
26,2026-01-14,8.94,9.27,8.94,9.2,1.1,"8,527.00","77,953.70"
