S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2018-04-12,16.50,16.65,16.50,16.65,0.60,"283,979.00","4,709,229.00"
2,2018-04-11,16.50,16.65,16.50,16.55,0.30,"155,632.00","2,572,839.00"
3,2018-04-10,16.51,16.60,16.40,16.50,-0.60,"135,730.00","2,238,212.00"
4,2018-04-09,16.60,16.65,16.50,16.60,0.61,"140,317.00","2,326,863.00"
5,2018-04-08,16.60,16.80,16.50,16.50,-0.60,"37,078.00","616,158.00"
6,2018-04-05,16.60,16.60,16.49,16.60,1.22,"2,997.00","49,544.00"
7,2018-04-04,16.20,16.40,16.20,16.40,1.30,"12,698.00","207,008.00"
8,2018-04-03,16.35,16.35,16.00,16.19,0.87,"80,677.00","1,306,402.00"
9,2018-04-02,15.90,16.05,15.90,16.05,0.88,"52,338.00","836,074.00"
10,2018-04-01,15.80,16.04,15.80,15.91,-0.87,"146,775.00","2,328,900.00"
11,2018-03-29,15.90,16.10,15.90,16.05,0.31,"93,358.00","1,496,208.00"
12,2018-03-28,15.68,16.00,15.68,16.00,0.00,"70,099.00","1,113,224.00"
13,2018-03-27,15.78,16.00,15.75,16.00,3.23,"41,988.00","662,966.00"
14,2018-03-26,16.00,15.99,15.50,15.50,-3.13,"71,587.00","1,123,292.00"
15,2018-03-22,16.00,16.00,16.00,16.00,0.63,"1,500.00","24,000.00"
16,2018-03-21,16.10,16.10,15.82,15.90,-1.49,"7,577.00","120,280.00"
17,2018-03-19,16.30,16.44,16.14,16.14,0.06,"35,673.00","580,440.00"
18,2018-03-18,16.01,16.25,16.01,16.13,-0.74,"81,950.00","1,323,463.00"
19,2018-03-15,16.15,16.25,16.15,16.25,1.56,"30,004.00","486,106.00"
20,2018-03-14,16.00,16.10,15.98,16.00,1.27,"113,515.00","1,815,422.00"
21,2018-03-13,15.80,15.80,15.80,15.80,-1.62,"2,414.00","38,141.00"
22,2018-03-12,16.06,16.06,15.75,16.06,1.97,"47,145.00","754,036.00"
23,2018-03-11,15.75,15.75,15.75,15.75,0.00,599.00,"9,434.00"
24,2018-03-07,15.75,15.75,15.75,15.75,0.00,"3,000.00","47,250.00"
25,2018-03-06,15.83,15.83,15.44,15.75,-0.51,"14,111.00","220,859.00"
26,2018-03-05,15.83,15.83,15.83,15.83,-0.63,"12,287.00","194,503.00"
27,2018-03-04,16.25,16.25,15.93,15.93,-2.57,"82,662.00","1,329,361.00"
28,2018-02-28,16.40,16.40,16.35,16.35,-0.97,"15,000.00","245,500.00"
29,2018-02-27,16.45,16.60,16.45,16.51,0.49,"41,699.00","688,186.00"
30,2018-02-26,16.43,16.43,16.43,16.43,-2.03,"25,000.00","410,750.00"
31,2018-02-25,16.60,16.77,16.50,16.77,1.02,"5,123.00","85,574.00"
32,2018-02-22,16.60,16.60,16.60,16.60,-0.30,"10,000.00","166,000.00"
33,2018-02-20,16.65,16.65,16.65,16.65,-1.48,"2,558.00","42,591.00"
34,2018-02-18,16.89,16.90,16.89,16.90,0.00,"11,169.00","188,726.00"
35,2018-02-15,16.70,16.90,16.88,16.90,0.00,"16,660.00","281,530.00"
36,2018-02-14,16.60,16.70,16.55,16.70,0.00,"4,742.00","78,570.00"
37,2018-02-12,16.56,16.60,16.56,16.60,0.00,"16,313.00","270,503.00"
38,2018-02-08,16.65,16.65,16.56,16.56,0.00,"3,497.00","58,051.00"
39,2018-02-07,16.70,16.70,16.65,16.65,0.00,"7,597.00","126,610.00"
40,2018-02-06,16.95,17.00,16.67,16.70,0.00,"63,584.00","1,061,273.00"
41,2018-02-05,16.95,16.95,16.90,16.95,0.00,"2,735.00","46,238.00"
42,2018-02-01,16.62,16.95,16.71,16.95,0.00,"19,698.00","330,517.00"
43,2018-01-31,16.62,16.62,16.62,16.62,0.00,"3,896.00","64,752.00"
44,2018-01-29,16.61,16.65,16.60,16.62,0.00,"7,793.00","129,562.00"
45,2018-01-28,16.90,16.61,16.61,16.61,0.00,159.00,"2,641.00"
46,2018-01-25,16.70,16.90,16.50,16.90,0.00,"9,136.00","153,713.00"
47,2018-01-24,16.80,16.70,16.50,16.70,0.00,"28,429.00","473,839.00"
48,2018-01-23,16.77,16.80,16.70,16.80,0.00,"4,927.00","82,499.00"
49,2018-01-22,16.82,16.85,16.75,16.77,0.00,"14,994.00","251,989.00"
50,2018-01-21,16.70,16.82,16.56,16.82,0.00,"11,287.00","188,547.00"
51,2018-01-16,16.90,16.70,16.57,16.70,0.00,"5,994.00","99,905.00"
52,2018-01-10,17.00,17.25,16.90,16.90,0.00,"10,937.00","186,363.00"
53,2018-01-09,16.20,17.00,16.52,17.00,0.00,"16,996.00","284,714.00"
54,2018-01-08,16.50,16.20,16.20,16.20,0.00,"5,000.00","81,000.00"
55,2018-01-07,16.65,16.50,16.50,16.50,0.00,"3,295.00","54,368.00"
56,2018-01-03,16.97,16.71,16.65,16.65,0.00,"43,995.00","734,843.00"
57,2018-01-01,16.51,16.98,16.32,16.97,0.00,"6,007.00","99,667.00"
58,2017-12-31,16.80,16.60,16.47,16.51,0.00,"11,205.00","185,033.00"
59,2017-12-28,17.10,17.00,16.77,16.80,0.00,"78,051.00","1,312,481.00"
60,2017-12-27,17.17,17.10,16.96,17.10,0.00,"72,176.00","1,227,192.00"
61,2017-12-26,17.09,17.17,16.90,17.17,0.00,"11,391.00","194,349.00"
62,2017-12-24,17.35,17.15,17.09,17.09,0.00,"25,404.00","434,735.00"
63,2017-12-20,17.35,17.35,17.35,17.35,0.00,999.00,"17,333.00"
64,2017-12-19,17.45,17.35,17.35,17.35,0.00,"3,896.00","67,596.00"
65,2017-12-18,17.95,17.80,17.35,17.45,0.00,"32,077.00","566,044.00"
66,2017-12-14,17.80,17.99,17.95,17.95,0.00,"10,600.00","190,459.00"
67,2017-12-13,17.45,17.80,17.80,17.80,0.00,"2,000.00","35,600.00"
68,2017-12-12,17.60,17.60,17.45,17.45,0.00,"21,533.00","376,006.00"
69,2017-12-11,17.55,17.60,17.42,17.60,0.00,"24,289.00","425,632.00"
70,2017-12-10,17.65,17.70,17.55,17.55,0.00,"6,584.00","116,042.00"
71,2017-12-06,17.35,17.65,17.50,17.65,0.00,"16,779.00","294,095.00"
72,2017-12-04,17.52,17.70,17.35,17.35,0.00,"7,821.00","135,911.00"
73,2017-11-30,17.85,17.52,17.52,17.52,0.00,"4,950.00","86,724.00"
74,2017-11-29,17.55,17.90,17.55,17.85,0.00,"18,722.00","334,063.00"
75,2017-11-28,17.33,17.55,17.40,17.55,0.00,"49,269.00","862,801.00"
76,2017-11-27,17.55,17.55,17.33,17.33,0.00,"26,600.00","464,080.00"
77,2017-11-26,17.25,17.55,17.25,17.55,0.00,"10,000.00","174,000.00"
78,2017-11-22,17.21,17.35,17.01,17.25,0.00,"7,600.00","131,012.00"
79,2017-11-21,17.20,17.40,17.21,17.21,0.00,"51,729.00","899,327.00"
80,2017-11-20,17.06,17.20,16.85,17.20,0.00,"9,780.00","167,217.00"
81,2017-11-19,17.30,17.10,17.03,17.06,0.00,"60,445.00","1,030,074.00"
82,2017-11-16,17.65,17.45,17.30,17.30,0.00,"9,995.00","173,503.00"
83,2017-11-15,17.31,17.65,17.60,17.65,0.00,"22,997.00","405,367.00"
84,2017-11-14,17.30,17.65,17.31,17.31,0.00,"11,500.00","202,465.00"
85,2017-11-13,17.60,17.30,17.30,17.30,0.00,"1,798.00","31,105.00"
86,2017-11-09,17.62,17.60,17.27,17.60,0.00,"4,497.00","78,158.00"
87,2017-11-07,17.27,17.62,17.62,17.62,0.00,"3,000.00","52,860.00"
88,2017-11-06,17.32,17.27,17.27,17.27,0.00,997.00,"17,218.00"
89,2017-11-05,17.63,17.63,17.22,17.32,0.00,"31,559.00","549,761.00"
90,2017-11-02,17.90,17.90,17.62,17.63,0.00,"86,097.00","1,520,300.00"
91,2017-11-01,18.00,18.00,17.90,17.90,0.00,"14,495.00","259,710.00"
92,2017-10-31,18.00,18.00,18.00,18.00,0.00,"12,000.00","216,000.00"
93,2017-10-30,17.85,18.00,18.00,18.00,0.00,"10,000.00","180,000.00"
94,2017-10-29,18.07,18.20,17.85,17.85,0.00,"38,902.00","703,374.00"
95,2017-10-25,18.20,18.07,18.07,18.07,0.00,"15,000.00","271,050.00"
96,2017-10-24,18.35,18.20,18.00,18.20,0.00,"13,498.00","245,114.00"
97,2017-10-23,18.40,18.40,18.06,18.35,0.00,"4,018.00","73,779.00"
98,2017-10-18,17.92,18.40,18.00,18.40,0.00,"34,600.00","624,815.00"
99,2017-10-17,18.21,18.25,17.90,17.92,0.00,"45,257.00","817,062.00"
100,2017-10-16,17.85,18.21,18.20,18.21,0.00,"5,035.00","91,667.00"
101,2017-10-15,17.50,17.85,17.85,17.85,0.00,"2,570.00","45,875.00"
102,2017-10-12,17.60,17.50,17.50,17.50,0.00,"2,997.00","52,448.00"
103,2017-10-11,17.80,17.80,17.60,17.60,0.00,"4,000.00","70,600.00"
104,2017-10-10,18.00,17.80,17.80,17.80,0.00,"2,098.00","37,344.00"
105,2017-10-09,17.80,18.00,18.00,18.00,0.00,500.00,"9,000.00"
106,2017-10-08,18.16,17.80,17.80,17.80,0.00,"2,000.00","35,600.00"
107,2017-10-03,17.80,18.16,18.16,18.16,0.00,218.00,"3,959.00"
108,2017-09-20,17.81,17.90,17.80,17.80,0.00,"5,419.00","96,678.00"
109,2017-09-18,17.70,17.81,17.81,17.81,0.00,"2,697.00","48,034.00"
110,2017-09-17,17.55,17.70,17.70,17.70,0.00,800.00,"14,160.00"
111,2017-09-14,17.21,17.55,17.20,17.55,0.00,"7,072.00","123,589.00"
112,2017-09-11,17.30,17.25,17.20,17.21,0.00,"15,300.00","263,556.00"
113,2017-09-10,17.90,17.58,17.30,17.30,0.00,"11,100.00","194,910.00"
114,2017-09-07,17.60,17.95,17.60,17.90,0.00,"9,009.00","161,021.00"
115,2017-09-06,17.79,17.70,17.50,17.60,0.00,"12,959.00","228,282.00"
116,2017-09-04,17.80,18.15,17.79,17.79,0.00,"43,513.00","779,739.00"
117,2017-08-31,18.12,18.40,17.80,17.80,0.00,"89,336.00","1,597,315.00"
118,2017-08-30,19.20,18.82,18.12,18.12,0.00,"91,040.00","1,668,029.00"
119,2017-08-28,21.30,20.87,19.20,19.20,0.00,"8,828.00","175,570.00"
120,2017-08-27,23.67,23.20,21.30,21.30,0.00,"14,150.00","318,946.00"
121,2017-08-24,23.64,23.70,23.52,23.67,0.00,"352,219.00","8,328,264.00"
122,2017-08-23,23.68,23.70,23.50,23.64,0.00,"169,769.00","4,018,470.00"
123,2017-08-22,23.70,23.91,23.30,23.68,0.00,"105,565.00","2,476,526.00"
124,2017-08-21,23.79,23.94,23.60,23.70,0.00,"295,817.00","6,994,074.00"
125,2017-08-20,23.71,24.33,23.75,23.79,0.00,"802,264.00","19,127,622.00"
126,2017-08-17,22.85,24.75,23.31,23.71,0.00,"1,390,652.00","33,080,360.00"
127,2017-08-16,22.10,23.00,21.90,22.85,0.00,"79,230.00","1,784,894.00"
128,2017-08-15,22.65,22.70,21.85,22.10,0.00,"13,712.00","302,285.00"
129,2017-08-13,22.20,22.65,22.35,22.65,0.00,"8,170.00","184,320.00"
130,2017-08-10,21.90,22.50,22.00,22.20,0.00,"140,359.00","3,124,514.00"
131,2017-08-09,21.65,23.00,21.60,21.90,0.00,"189,166.00","4,246,560.00"
132,2017-08-07,21.10,21.65,21.35,21.65,0.00,"49,501.00","1,063,541.00"
133,2017-08-06,21.05,21.88,21.10,21.10,0.00,"564,485.00","11,919,008.00"
134,2017-08-03,21.30,21.05,21.00,21.05,0.00,"495,000.00","10,396,000.00"
135,2017-08-02,21.30,21.30,20.87,21.30,0.00,"80,496.00","1,705,301.00"
136,2017-08-01,21.10,21.30,21.15,21.30,0.00,"19,969.00","424,830.00"
137,2017-07-31,21.11,21.11,21.08,21.10,0.00,"4,435.00","93,604.00"
138,2017-07-30,21.30,21.30,21.00,21.11,0.00,"51,092.00","1,078,526.00"
139,2017-07-27,21.20,21.30,21.00,21.30,0.00,"18,997.00","403,309.00"
