S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,9.10,9.65,9.10,9.65,4.89,"173,805.00","1,635,910.75"
2,2026-02-04,9.02,9.66,9.02,9.20,0.88,"12,500.00","117,728.00"
3,2026-02-03,9.12,9.3,9.12,9.12,-1.94,"3,950.00","36,129.00"
4,2026-02-02,9.46,9.46,9.28,9.3,-3.63,"59,000.00","556,894.00"
5,2026-02-01,8.94,9.65,8.94,9.65,6.51,"238,210.00","2,243,452.84"
6,2026-01-29,9.2,9.2,9.03,9.06,-2.05,"18,480.00","167,647.40"
7,2026-01-28,9.15,9.44,9.0,9.25,-0.11,"105,572.00","977,510.80"
8,2026-01-27,9.0,9.26,8.91,9.26,2.77,"113,500.00","1,038,548.20"
9,2026-01-26,8.9,9.1,8.9,9.01,0.67,"10,460.00","94,356.80"
10,2026-01-25,9.06,9.06,8.91,8.95,0.56,"3,300.00","29,470.00"
11,2026-01-22,8.98,9.07,8.76,8.9,1.02,"17,000.00","151,779.00"
12,2026-01-21,8.88,9.05,8.81,8.81,-2.76,"2,100.00","18,650.00"
13,2026-01-20,8.89,9.06,8.88,9.06,-0.11,"3,790.00","34,185.00"
14,2026-01-18,8.83,9.07,8.83,9.07,0.67,"1,700.00","15,279.00"
15,2026-01-14,8.82,9.01,8.67,9.01,0.56,"4,890.00","43,357.90"
16,2026-01-13,9.05,9.07,8.95,8.96,0.67,"13,900.00","125,680.00"
17,2026-01-12,8.97,9.0,8.9,8.9,-0.78,"2,500.00","22,346.00"
18,2026-01-08,8.88,9.05,8.88,8.97,-0.55,"1,425.00","12,866.85"
19,2026-01-07,8.8,9.2,8.8,9.02,1.23,"118,805.00","1,088,244.00"
20,2026-01-06,8.97,9.1,8.91,8.91,1.25,"34,965.00","313,869.60"
21,2026-01-05,8.86,8.86,8.8,8.8,1.27,"2,430.00","21,504.00"
22,2026-01-04,8.8,8.84,8.69,8.69,-1.7,"2,500.00","22,077.00"
23,2026-01-01,8.82,8.99,8.82,8.84,-1.78,"10,270.00","91,609.80"
24,2025-12-31,8.53,9.04,8.41,9.0,3.45,"55,275.00","493,453.00"
25,2025-12-29,8.7,8.7,8.53,8.7,1.87,"1,200.00","10,383.00"
26,2025-12-28,8.68,8.68,8.51,8.54,0.35,"4,340.00","37,370.20"
27,2025-12-24,8.5,8.51,8.33,8.51,0.12,"10,700.00","89,737.00"
28,2025-12-23,8.4,8.65,8.4,8.5,-0.58,"6,400.00","55,274.00"
29,2025-12-22,8.5,8.68,8.5,8.55,-0.58,"1,600.00","13,728.00"
30,2025-12-21,8.51,8.75,8.5,8.6,0.0,"13,560.00","117,797.05"
31,2025-12-18,8.6,8.64,8.6,8.6,-0.58,800.00,"6,884.00"
32,2025-12-17,8.54,8.76,8.54,8.65,-0.69,"9,900.00","85,928.00"
33,2025-12-16,8.5,8.72,8.5,8.71,1.28,"14,710.00","127,984.00"
34,2025-12-15,8.5,8.6,8.5,8.6,0.0,"5,450.00","46,825.00"
35,2025-12-14,8.6,8.65,8.6,8.6,-1.04,"12,500.00","107,570.00"
36,2025-12-11,8.69,8.69,8.69,8.69,0.0,100.00,869.00
37,2025-12-10,8.36,8.7,8.36,8.69,1.88,"10,400.00","90,149.00"
38,2025-12-09,8.39,8.53,8.39,8.53,1.79,"2,200.00","18,524.00"
39,2025-12-08,8.38,8.38,8.38,8.38,-1.41,"1,400.00","11,732.00"
40,2025-12-07,8.4,8.52,8.4,8.5,-0.7,"31,240.00","263,626.00"
41,2025-12-03,8.25,8.56,8.25,8.56,1.9,900.00,"7,600.00"
42,2025-12-02,8.35,8.5,8.35,8.4,-0.24,"1,800.00","15,207.00"
43,2025-12-01,8.32,8.56,8.32,8.42,0.24,"1,400.00","11,858.00"
44,2025-11-30,8.31,8.47,8.31,8.4,-0.83,"2,000.00","16,771.00"
45,2025-11-27,8.34,8.47,8.3,8.47,-0.47,"3,500.00","29,357.00"
46,2025-11-26,8.33,8.51,8.33,8.51,1.92,"2,500.00","21,255.00"
47,2025-11-25,8.32,8.46,8.32,8.35,0.6,"9,610.00","80,264.20"
48,2025-11-24,8.27,8.3,8.27,8.3,-0.12,200.00,"1,657.00"
49,2025-11-23,8.3,8.46,8.3,8.31,-0.24,"15,650.00","131,085.20"
50,2025-11-20,8.39,8.5,8.33,8.33,-2.57,"3,100.00","25,973.15"
51,2025-11-19,8.62,8.62,8.55,8.55,1.06,800.00,"6,854.00"
52,2025-11-18,8.35,8.47,8.31,8.46,-0.24,800.00,"6,721.00"
53,2025-11-17,8.47,8.64,8.47,8.48,0.24,"2,500.00","21,358.00"
54,2025-11-16,8.35,8.62,8.35,8.46,0.0,400.00,"3,394.00"
55,2025-11-13,8.62,8.63,8.46,8.46,-1.97,"3,450.00","29,736.00"
56,2025-11-12,8.33,8.63,8.33,8.63,1.77,"1,240.00","10,508.60"
57,2025-11-11,8.77,8.77,8.32,8.48,-1.4,850.00,"7,215.00"
58,2025-11-09,8.66,8.66,8.6,8.6,-2.6,400.00,"3,446.00"
59,2025-11-06,8.87,8.87,8.7,8.83,1.49,720.00,"6,322.60"
60,2025-11-05,8.65,8.72,8.55,8.7,0.23,"1,800.00","15,584.30"
61,2025-11-04,8.42,8.68,8.42,8.68,2.0,"1,700.00","14,635.00"
62,2025-11-03,8.5,8.51,8.5,8.51,-0.23,"1,500.00","12,761.00"
63,2025-11-02,8.44,8.53,8.33,8.53,1.07,"25,684.00","218,719.96"
64,2025-10-30,8.43,8.44,8.43,8.44,-0.12,600.00,"5,060.00"
65,2025-10-29,8.5,8.58,8.42,8.45,-1.74,"1,400.00","11,895.00"
66,2025-10-28,8.72,8.72,8.57,8.6,-1.38,600.00,"5,168.00"
67,2025-10-19,8.65,8.72,8.65,8.72,1.99,"2,200.00","19,176.00"
68,2025-10-16,8.44,8.55,8.43,8.55,-0.58,"2,400.00","20,258.00"
69,2025-10-15,8.51,8.6,8.5,8.6,-0.81,"2,600.00","22,120.00"
70,2025-10-14,8.35,8.67,8.35,8.67,2.24,"2,260.00","19,190.00"
71,2025-10-13,8.48,8.48,8.48,8.48,-1.85,250.00,"2,120.00"
72,2025-10-12,8.5,8.64,8.49,8.64,-0.23,"8,200.00","70,463.00"
73,2025-10-09,8.6,8.8,8.6,8.66,-0.46,"3,750.00","32,502.00"
74,2025-10-08,8.65,8.74,8.65,8.7,-1.02,"2,200.00","19,140.84"
75,2025-10-07,8.81,8.81,8.7,8.79,-0.11,"31,300.00","274,494.00"
76,2025-09-28,8.57,8.8,8.57,8.8,2.8,"8,300.00","72,415.60"
77,2025-09-25,8.5,8.67,8.5,8.56,-0.47,"5,650.00","48,642.00"
78,2025-09-24,8.77,8.77,8.32,8.6,-3.8,"30,400.00","256,481.00"
79,2025-09-23,8.44,8.94,8.44,8.94,3.83,"11,272.00","96,766.00"
80,2025-09-21,8.51,8.76,8.4,8.61,-0.35,"19,500.00","167,311.00"
81,2025-09-08,9.7,9.72,9.64,9.64,-1.53,"23,600.00","228,898.00"
82,2025-09-07,9.58,10.0,9.58,9.79,4.15,"141,560.00","1,389,413.20"
83,2025-09-04,9.28,9.4,9.28,9.4,-0.63,"1,300.00","12,140.00"
84,2025-09-03,9.21,9.57,9.21,9.46,0.75,"23,450.00","223,233.00"
85,2025-09-02,9.3,9.39,9.3,9.39,0.75,"4,750.00","44,571.50"
86,2025-09-01,9.3,9.33,9.3,9.32,-0.11,"2,500.00","23,264.00"
87,2025-08-31,9.18,9.54,9.18,9.33,0.32,"19,100.00","179,636.00"
88,2025-08-28,9.3,9.4,9.3,9.3,0.54,"1,800.00","16,750.00"
89,2025-08-27,9.25,9.25,9.25,9.25,-1.07,500.00,"4,625.00"
90,2025-08-26,9.25,9.42,9.25,9.35,1.08,"2,400.00","22,400.60"
91,2025-08-25,9.25,9.25,9.25,9.25,-1.8,400.00,"3,700.00"
92,2025-08-24,9.26,9.44,9.26,9.42,1.73,"15,350.00","142,340.00"
93,2025-08-21,9.26,9.26,9.26,9.26,-0.64,200.00,"1,852.00"
94,2025-08-20,9.15,9.49,9.15,9.32,0.11,"6,900.00","64,484.00"
95,2025-08-19,9.19,9.45,9.19,9.31,-0.53,"4,200.00","39,328.00"
96,2025-08-18,9.32,9.36,9.32,9.36,-1.47,"1,400.00","13,058.00"
97,2025-08-17,9.15,9.5,9.05,9.5,1.82,"8,600.00","79,067.00"
98,2025-08-14,9.3,9.33,9.23,9.33,-0.74,"3,235.00","30,056.40"
99,2025-08-13,9.19,9.4,9.19,9.4,0.32,"30,550.00","284,346.00"
100,2025-08-12,9.8,9.8,9.36,9.37,-2.5,"91,650.00","874,657.00"
101,2025-08-11,9.61,9.8,9.61,9.61,1.91,300.00,"2,902.00"
102,2025-08-07,9.5,9.5,9.15,9.43,1.18,"18,790.00","176,077.80"
103,2025-08-06,9.66,9.75,9.31,9.32,-1.69,"3,550.00","33,436.00"
104,2025-08-05,9.6,9.85,9.24,9.48,0.64,"18,549.00","176,932.34"
105,2025-08-04,9.63,9.63,9.27,9.42,-0.32,"6,700.00","63,171.00"
106,2025-08-03,9.6,9.72,9.43,9.45,-0.84,"23,700.00","225,078.00"
107,2025-07-31,9.67,9.86,9.48,9.53,0.42,"48,399.00","462,910.33"
108,2025-07-30,9.29,9.6,9.29,9.49,0.42,"8,550.00","80,691.50"
109,2025-07-29,9.3,9.57,9.3,9.45,-0.32,"26,300.00","250,130.00"
110,2025-07-28,9.65,9.65,9.39,9.48,0.11,"14,850.00","140,826.00"
111,2025-07-27,9.52,9.7,9.18,9.47,1.39,"21,100.00","200,577.30"
112,2025-07-24,9.46,9.58,9.3,9.34,0.65,"4,100.00","38,401.00"
113,2025-07-23,9.52,9.77,9.17,9.28,-0.64,"5,110.00","47,448.80"
114,2025-07-22,9.82,9.82,9.25,9.34,-3.01,"29,150.00","275,871.50"
115,2025-07-21,9.5,9.63,9.25,9.63,2.01,"3,000.00","28,408.00"
116,2025-07-20,9.83,9.83,9.28,9.44,-4.16,"122,600.00","1,146,728.20"
117,2025-07-17,10.05,10.05,9.85,9.85,-0.1,"14,500.00","142,845.00"
118,2025-07-16,9.52,10.09,9.34,9.86,5.57,"213,425.00","2,083,579.09"
119,2025-07-15,9.52,9.52,9.02,9.34,0.0,"30,495.00","285,403.30"
120,2025-07-14,9.45,9.45,9.09,9.34,0.54,"2,500.00","23,041.00"
121,2025-07-13,9.0,9.29,8.95,9.29,2.09,"4,400.00","39,858.00"
122,2025-07-10,9.0,9.13,8.92,9.1,1.11,"30,327.00","272,999.23"
123,2025-07-09,9.1,9.18,8.97,9.0,-1.42,"10,900.00","98,180.00"
124,2025-07-08,9.0,9.13,9.0,9.13,0.0,"13,500.00","122,643.00"
125,2025-07-07,9.3,9.47,8.96,9.13,0.11,"24,000.00","221,583.00"
126,2025-07-06,9.12,9.48,9.12,9.12,-1.94,"35,000.00","325,557.00"
127,2025-07-03,9.22,9.4,9.22,9.3,2.88,"21,900.00","203,812.10"
