S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,9.51,9.80,8.95,9.80,5.04,"129,092.00","1,226,367.07"
2,2026-02-04,9.73,9.73,9.05,9.33,-2.20,"10,900.00","101,079.00"
3,2026-02-03,9.36,9.54,9.02,9.54,3.92,"68,214.00","643,219.17"
4,2026-02-02,8.95,9.18,8.95,9.18,0.77,"2,860.00","25,917.80"
5,2026-02-01,9.22,9.4,9.11,9.11,-3.09,"8,825.00","81,684.54"
6,2026-01-29,9.05,9.59,9.05,9.4,1.84,"123,910.00","1,167,875.90"
7,2026-01-28,9.2,9.3,9.08,9.23,1.43,"187,531.00","1,738,547.48"
8,2026-01-27,8.85,9.42,8.85,9.1,1.9,"103,920.00","958,514.60"
9,2026-01-26,8.78,9.0,8.78,8.93,-0.22,"91,850.00","819,968.50"
10,2026-01-25,8.86,9.07,8.86,8.95,2.87,"174,727.00","1,571,179.09"
11,2026-01-22,8.5,8.81,8.5,8.7,0.69,"30,600.00","268,024.50"
12,2026-01-21,8.68,8.85,8.62,8.64,-2.37,"6,750.00","58,875.50"
13,2026-01-20,8.85,8.85,8.7,8.85,1.96,"42,208.00","371,874.44"
14,2026-01-18,8.45,8.69,8.45,8.68,0.93,"23,400.00","201,892.00"
15,2026-01-14,8.41,8.6,8.41,8.6,0.35,"1,650.00","13,979.00"
16,2026-01-13,8.41,8.62,8.41,8.57,0.82,"6,280.00","53,843.60"
17,2026-01-12,8.5,8.77,8.5,8.5,-1.51,"1,800.00","15,495.00"
18,2026-01-08,8.65,8.78,8.63,8.63,-0.12,"13,890.00","121,191.10"
19,2026-01-07,8.53,8.8,8.53,8.64,-0.69,"15,840.00","138,156.50"
20,2026-01-06,8.5,8.7,8.4,8.7,0.35,"11,950.00","103,369.00"
21,2026-01-05,8.65,8.68,8.5,8.67,0.23,"2,050.00","17,698.00"
22,2026-01-04,8.46,8.65,8.46,8.65,0.46,"1,200.00","10,259.00"
23,2026-01-01,8.6,8.72,8.44,8.61,0.58,"70,000.00","597,358.00"
24,2025-12-31,8.46,8.69,8.46,8.56,-0.23,"3,330.00","28,681.70"
25,2025-12-29,8.42,8.58,8.42,8.58,1.9,"21,196.00","181,040.68"
26,2025-12-28,8.31,8.45,8.31,8.42,0.0,"5,050.00","42,261.50"
27,2025-12-24,8.49,8.49,8.42,8.42,-0.94,"1,000.00","8,446.25"
28,2025-12-23,8.49,8.5,8.49,8.5,-1.16,"2,900.00","24,625.00"
29,2025-12-22,8.44,8.6,8.44,8.6,1.9,"11,448.00","97,660.00"
30,2025-12-21,8.25,8.5,8.25,8.44,1.2,"37,500.00","314,029.00"
31,2025-12-18,8.23,8.42,8.23,8.34,0.0,"3,100.00","25,844.00"
32,2025-12-17,8.27,8.44,8.27,8.34,-0.48,"20,560.00","173,042.40"
33,2025-12-16,8.3,8.44,8.28,8.38,-0.95,"5,100.00","42,362.00"
34,2025-12-15,8.35,8.51,8.28,8.46,1.32,"4,365.00","36,320.35"
35,2025-12-14,8.29,8.55,8.29,8.35,-0.48,"18,800.00","158,325.00"
36,2025-12-11,8.4,8.49,8.24,8.39,0.72,"14,400.00","120,905.75"
37,2025-12-10,8.36,8.51,8.26,8.33,-0.36,"8,200.00","69,518.00"
38,2025-12-09,8.3,8.44,8.3,8.36,0.97,"2,700.00","22,660.00"
