S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,9.30,9.30,9.30,9.30,-0.21,"7,200.00","66,960.00"
2,2026-02-09,9.32,9.32,9.32,9.32,-1.89,"2,100.00","19,572.00"
3,2026-02-08,9.33,9.51,9.33,9.5,0.0,"15,700.00","149,084.00"
4,2026-02-05,9.5,9.62,9.5,9.5,0.53,"4,700.00","45,168.00"
5,2026-02-04,9.43,9.45,9.43,9.45,-1.66,600.00,"5,660.00"
6,2026-02-03,9.8,10.93,9.61,9.61,-3.32,"34,757.00","369,629.61"
7,2026-02-02,9.75,9.94,9.73,9.94,0.51,"22,749.00","225,002.56"
8,2026-01-29,9.65,9.89,8.92,9.89,0.51,"22,100.00","197,410.00"
9,2026-01-28,9.45,9.84,9.45,9.84,2.5,"9,500.00","92,211.65"
10,2026-01-27,9.3,9.6,9.25,9.6,1.91,"47,768.00","450,082.30"
11,2026-01-26,8.91,9.42,8.91,9.42,4.09,"17,705.00","164,085.35"
12,2026-01-25,9.0,9.05,9.0,9.05,-0.88,"2,300.00","20,705.00"
13,2026-01-22,8.96,9.13,8.96,9.13,0.55,"9,000.00","81,320.00"
14,2026-01-21,9.25,9.3,9.08,9.08,-1.84,"15,100.00","137,323.00"
15,2026-01-20,9.58,9.61,9.25,9.25,-2.01,"16,485.00","156,242.15"
16,2026-01-18,9.1,9.44,9.1,9.44,1.72,"1,100.00","10,130.00"
17,2026-01-14,9.29,9.29,9.27,9.28,1.87,"10,400.00","96,558.00"
18,2026-01-13,9.2,9.2,9.1,9.11,1.0,"15,700.00","143,296.00"
19,2026-01-08,9.07,9.2,9.02,9.02,1.35,"3,500.00","31,850.00"
20,2026-01-07,8.9,8.9,8.9,8.9,-0.56,200.00,"1,780.00"
21,2026-01-06,8.99,9.18,8.95,8.95,-0.56,"9,675.00","88,429.75"
22,2026-01-05,9.07,9.07,9.0,9.0,1.12,"2,600.00","23,575.00"
23,2026-01-04,9.07,9.07,8.9,8.9,0.0,"4,600.00","41,365.00"
24,2026-01-01,8.86,8.9,8.86,8.9,-1.33,300.00,"2,662.00"
25,2025-12-29,9.2,9.2,9.02,9.02,-1.85,580.00,"5,246.00"
26,2025-12-23,9.27,9.27,9.19,9.19,0.99,"3,800.00","35,162.00"
27,2025-12-22,9.1,9.1,9.1,9.1,0.0,"3,150.00","28,665.00"
28,2025-12-21,9.1,9.1,9.1,9.1,-0.98,"9,250.00","84,175.00"
29,2025-12-17,9.01,9.19,9.01,9.19,0.0,"1,500.00","13,596.50"
30,2025-12-16,9.0,9.19,9.0,9.19,0.11,"22,265.00","204,199.20"
31,2025-12-15,9.03,9.18,9.03,9.18,3.61,"14,185.00","128,118.30"
32,2025-12-14,8.85,8.86,8.85,8.86,-1.56,"2,950.00","26,136.00"
33,2025-12-11,9.0,9.0,9.0,9.0,0.22,"50,000.00","450,000.00"
34,2025-12-09,8.98,8.98,8.98,8.98,1.81,"118,775.00","1,066,599.50"
35,2025-12-08,8.56,8.82,8.56,8.82,1.97,"1,400.00","12,255.00"
36,2025-12-07,8.6,8.65,8.6,8.65,-0.57,"1,067.00","9,190.20"
37,2025-12-03,8.89,8.89,8.7,8.7,-0.23,"1,700.00","15,018.00"
38,2025-12-02,8.8,8.8,8.72,8.72,-0.91,"4,200.00","36,952.00"
39,2025-12-01,8.8,8.8,8.8,8.8,-0.45,550.00,"4,840.00"
40,2025-11-27,8.7,8.84,8.7,8.84,1.96,600.00,"5,234.00"
41,2025-11-26,8.69,8.69,8.67,8.67,-1.14,"1,000.00","8,677.00"
42,2025-11-25,8.51,8.77,8.5,8.77,1.98,"2,344.00","20,256.91"
43,2025-11-23,8.61,8.61,8.6,8.6,-1.94,"2,600.00","22,371.00"
44,2025-11-20,8.6,8.77,8.6,8.77,0.11,"6,500.00","56,897.00"
45,2025-11-19,8.7,8.76,8.64,8.76,-0.57,"5,100.00","44,376.00"
46,2025-11-18,8.55,8.81,8.55,8.81,1.97,"4,000.00","34,460.00"
47,2025-11-17,8.81,8.81,8.64,8.64,0.0,700.00,"6,150.00"
48,2025-11-16,8.48,8.64,8.48,8.64,1.29,700.00,"5,955.00"
49,2025-11-11,8.56,8.56,8.52,8.53,-1.84,"5,400.00","46,132.00"
