S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,9.30,9.48,9.16,9.35,0.54,"9,450.00","87,775.00"
2,2026-02-05,9.3,9.3,9.12,9.3,-1.9,"3,500.00","32,378.00"
3,2026-02-04,9.13,9.48,9.13,9.48,1.94,"35,750.00","338,418.00"
4,2026-02-03,9.16,9.46,9.16,9.3,0.43,"49,320.00","465,849.00"
5,2026-02-02,9.25,9.26,9.25,9.26,-1.8,"1,200.00","11,102.00"
6,2026-02-01,9.13,9.43,9.13,9.43,1.73,"40,300.00","379,215.00"
7,2026-01-29,9.15,9.38,9.15,9.27,1.09,"40,700.00","380,002.00"
8,2026-01-28,9.06,9.2,9.06,9.17,-0.11,"2,450.00","22,292.00"
9,2026-01-27,9.15,9.18,9.15,9.18,-1.61,"9,300.00","85,274.00"
10,2026-01-26,9.15,9.34,9.13,9.33,1.97,"84,473.00","787,284.09"
11,2026-01-25,9.15,9.15,9.04,9.15,0.77,"4,300.00","39,045.00"
12,2026-01-22,9.05,9.23,9.05,9.08,-0.77,800.00,"7,261.00"
13,2026-01-21,8.94,9.2,8.94,9.15,1.55,"19,195.00","175,271.15"
14,2026-01-20,8.84,9.19,8.84,9.01,0.0,"6,400.00","58,157.00"
15,2026-01-18,8.96,9.13,8.96,9.01,-0.99,"5,420.00","48,883.20"
16,2026-01-14,8.91,9.1,8.91,9.1,0.55,"1,000.00","8,984.00"
17,2026-01-13,8.81,9.05,8.81,9.05,1.91,"9,250.00","82,879.00"
18,2026-01-12,8.8,9.0,8.8,8.88,-0.78,"2,800.00","24,879.00"
19,2026-01-08,9.11,9.12,8.95,8.95,-1.76,"1,000.00","9,004.00"
20,2026-01-07,9.05,9.19,9.05,9.11,-0.87,"18,200.00","164,889.00"
21,2026-01-06,9.0,9.19,9.0,9.19,0.99,"19,020.00","174,245.90"
22,2026-01-05,9.0,9.17,9.0,9.1,1.11,"6,910.00","62,405.00"
23,2026-01-04,8.91,9.0,8.91,9.0,0.0,"2,500.00","22,448.00"
24,2026-01-01,8.8,9.1,8.8,9.0,0.9,"4,500.00","40,651.00"
25,2025-12-31,9.17,9.25,8.91,8.92,-1.65,"200,900.00","1,857,289.00"
26,2025-12-29,9.36,9.36,9.07,9.07,-1.2,"5,400.00","50,144.00"
27,2025-12-28,8.82,9.18,8.82,9.18,2.0,"18,300.00","165,369.00"
28,2025-12-24,8.88,9.0,8.75,9.0,-0.66,"12,600.00","112,304.00"
29,2025-12-23,8.85,9.06,8.34,9.06,0.33,"6,700.00","57,451.00"
30,2025-12-22,8.81,9.03,8.81,9.03,0.78,"3,000.00","26,742.00"
31,2025-12-21,8.76,9.0,8.76,8.96,2.28,"5,286.00","47,150.00"
32,2025-12-18,8.72,8.76,8.72,8.76,-0.11,"1,200.00","10,497.00"
33,2025-12-17,8.62,8.77,8.62,8.77,1.15,"2,000.00","17,437.00"
34,2025-12-16,8.56,8.67,8.56,8.67,-0.57,"3,150.00","27,066.50"
35,2025-12-15,8.67,8.72,8.67,8.72,-0.91,"1,600.00","13,939.00"
36,2025-12-14,8.79,8.8,8.79,8.8,0.11,"2,200.00","19,359.00"
37,2025-12-11,8.75,8.79,8.75,8.79,0.46,"1,600.00","14,044.00"
38,2025-12-10,8.84,9.0,8.74,8.75,-1.02,"2,727.00","24,407.00"
39,2025-12-09,8.75,8.97,8.75,8.84,1.03,"34,150.00","304,344.00"
40,2025-12-08,8.65,8.8,8.65,8.75,0.0,"2,200.00","19,181.00"
41,2025-12-07,8.59,8.88,8.59,8.75,0.0,"8,130.00","71,485.80"
42,2025-12-03,8.8,8.85,8.63,8.75,-0.34,"24,000.00","211,952.00"
43,2025-12-02,8.61,8.78,8.61,8.78,1.39,700.00,"6,078.00"
44,2025-12-01,8.61,8.75,8.61,8.66,0.35,"1,650.00","14,280.50"
45,2025-11-30,8.55,8.63,8.55,8.63,-0.58,"2,750.00","23,704.00"
46,2025-11-27,8.65,8.8,8.65,8.68,0.7,"4,700.00","40,852.00"
47,2025-11-26,8.6,8.62,8.6,8.62,0.23,"1,800.00","15,497.00"
48,2025-11-25,8.53,8.6,8.53,8.6,-1.15,"2,600.00","22,333.00"
49,2025-11-24,8.51,8.7,8.51,8.7,1.75,"10,700.00","91,589.00"
50,2025-11-23,8.48,8.64,8.48,8.55,1.06,"9,960.00","85,331.50"
51,2025-11-20,8.6,8.61,8.45,8.46,-1.63,"6,910.00","58,620.60"
52,2025-11-19,8.68,8.7,8.6,8.6,-1.15,"1,600.00","13,842.00"
53,2025-11-18,8.6,8.71,8.6,8.7,-0.8,"1,600.00","13,873.00"
54,2025-11-17,8.6,8.77,8.6,8.77,0.0,"2,200.00","19,203.00"
55,2025-11-16,8.61,8.77,8.47,8.77,-0.11,"1,200.00","10,307.00"
56,2025-11-13,8.51,8.78,8.51,8.78,1.97,"1,700.00","14,611.00"
57,2025-11-12,8.6,8.69,8.6,8.61,-1.03,"1,010.00","8,698.10"
58,2025-11-11,8.5,8.86,8.5,8.7,2.11,"2,100.00","18,317.00"
59,2025-11-10,8.5,8.74,8.45,8.52,-1.05,"1,500.00","12,837.00"
60,2025-11-09,8.73,8.73,8.61,8.61,-3.26,"2,900.00","25,209.00"
61,2025-11-06,8.73,8.9,8.39,8.9,0.0,"67,300.00","580,489.00"
62,2025-11-05,8.8,9.1,8.8,8.9,-0.78,"6,400.00","58,012.00"
63,2025-11-04,8.69,8.97,8.69,8.97,1.93,"31,800.00","284,734.00"
64,2025-11-03,8.8,8.95,8.65,8.8,0.0,"1,900.00","16,771.00"
65,2025-11-02,8.8,8.87,8.75,8.8,1.15,"21,600.00","191,138.00"
66,2025-10-30,8.45,8.7,8.45,8.7,1.52,"2,600.00","22,333.50"
67,2025-10-29,8.74,8.74,8.57,8.57,0.0,200.00,"1,731.00"
68,2025-10-28,8.72,8.73,8.56,8.57,0.23,"4,000.00","34,486.00"
69,2025-10-26,8.55,8.7,8.55,8.55,-1.84,"1,300.00","11,130.00"
70,2025-10-19,8.53,8.85,8.53,8.71,2.35,"1,850.00","16,079.50"
71,2025-10-16,8.5,8.67,8.5,8.51,-1.28,"1,620.00","13,896.20"
72,2025-10-15,8.45,8.62,8.45,8.62,1.65,650.00,"5,541.00"
73,2025-10-14,8.5,8.5,8.36,8.48,-2.19,"11,000.00","93,468.00"
74,2025-10-13,8.33,8.67,8.33,8.67,2.0,"1,950.00","16,484.50"
75,2025-10-12,8.41,8.55,8.41,8.5,-0.47,"1,100.00","9,351.00"
76,2025-10-09,8.62,8.87,8.54,8.54,-0.93,"11,050.00","95,519.00"
77,2025-10-08,8.62,8.63,8.62,8.62,-1.82,"1,100.00","9,487.00"
78,2025-10-07,8.44,8.78,8.44,8.78,1.97,"9,200.00","78,872.00"
79,2025-09-28,8.7,8.7,8.61,8.61,-1.03,"3,100.00","26,961.00"
80,2025-09-25,8.5,8.71,8.5,8.7,0.35,"2,920.00","25,077.70"
81,2025-09-24,8.65,8.67,8.65,8.67,-1.7,"2,100.00","18,190.00"
82,2025-09-23,8.84,9.04,8.82,8.82,1.73,"3,226.00","28,875.04"
83,2025-09-21,8.7,8.7,8.55,8.67,-0.34,"2,920.00","25,197.00"
84,2025-09-08,8.66,8.99,8.66,8.7,-1.36,"63,550.00","553,925.00"
85,2025-09-07,8.83,9.0,8.8,8.82,-2.0,800.00,"7,105.00"
86,2025-09-04,8.8,9.0,8.8,9.0,3.81,"7,830.00","70,098.00"
87,2025-09-03,8.62,8.7,8.61,8.67,0.0,"13,500.00","116,396.00"
88,2025-09-02,8.75,8.8,8.65,8.67,-0.34,"7,800.00","67,841.68"
89,2025-09-01,8.65,8.77,8.6,8.7,-1.36,"3,150.00","27,234.50"
90,2025-08-31,8.72,8.9,8.72,8.82,-0.45,"1,600.00","14,069.00"
91,2025-08-28,8.83,9.0,8.82,8.86,1.84,"26,123.00","234,606.00"
92,2025-08-27,8.8,8.85,8.68,8.7,0.23,"2,850.00","25,116.00"
93,2025-08-26,8.72,8.74,8.67,8.68,-2.25,"7,100.00","61,683.00"
94,2025-08-25,8.6,8.88,8.6,8.88,1.95,"27,423.00","239,615.33"
95,2025-08-24,8.65,8.71,8.65,8.71,-1.25,"62,950.00","547,624.00"
96,2025-08-21,8.82,8.82,8.82,8.82,-2.0,200.00,"1,764.00"
97,2025-08-20,8.73,9.0,8.6,9.0,1.12,"2,800.00","24,802.00"
98,2025-08-19,8.6,8.93,8.6,8.9,2.18,"5,400.00","47,805.50"
99,2025-08-18,8.71,8.71,8.7,8.71,-1.8,"4,500.00","39,175.00"
100,2025-08-17,8.8,8.97,8.7,8.87,1.26,"10,300.00","91,435.00"
101,2025-08-14,8.78,9.1,8.63,8.76,-2.01,"26,375.00","231,212.25"
102,2025-08-13,9.23,9.23,8.82,8.94,-1.22,"19,050.00","170,534.00"
103,2025-08-12,9.21,9.21,9.03,9.05,0.22,"15,000.00","136,008.00"
104,2025-08-11,9.33,9.33,9.03,9.03,-1.31,"3,800.00","34,614.00"
105,2025-08-07,9.38,9.38,9.02,9.15,-0.54,"26,200.00","239,726.00"
106,2025-08-06,9.48,9.48,9.12,9.2,-1.08,"13,770.00","126,205.50"
107,2025-08-05,9.18,9.32,8.86,9.3,3.33,"5,700.00","52,026.86"
108,2025-08-04,9.22,9.3,8.86,9.0,-0.44,"6,900.00","62,142.00"
109,2025-08-03,9.39,9.65,9.03,9.04,-1.85,"78,000.00","711,550.16"
110,2025-07-31,9.38,9.38,9.2,9.21,0.11,"8,000.00","74,241.00"
111,2025-07-30,9.18,9.37,9.18,9.2,-1.71,"41,700.00","390,066.00"
112,2025-07-29,9.01,9.55,9.01,9.36,2.07,"5,600.00","51,983.00"
113,2025-07-28,9.49,9.49,8.98,9.17,-1.5,"13,100.00","120,193.00"
114,2025-07-27,9.2,9.38,9.06,9.31,1.2,"9,033.00","83,574.54"
115,2025-07-24,9.44,9.44,9.08,9.2,-0.65,"4,300.00","39,600.00"
116,2025-07-23,9.26,9.44,9.1,9.26,1.98,"5,850.00","53,757.00"
117,2025-07-22,8.97,9.5,8.97,9.08,-0.77,"23,005.00","209,239.50"
118,2025-07-21,9.35,9.53,8.98,9.15,-2.14,"13,300.00","123,130.93"
119,2025-07-20,9.25,9.53,9.25,9.35,0.21,"7,000.00","65,669.00"
120,2025-07-17,9.71,9.71,9.21,9.33,-2.0,"11,900.00","110,323.00"
121,2025-07-16,9.26,9.98,9.08,9.52,4.85,"50,426.00","472,087.66"
122,2025-07-15,9.0,9.3,9.0,9.08,-0.55,"3,455.00","31,488.50"
123,2025-07-14,9.25,9.25,8.89,9.13,0.66,"1,700.00","15,394.00"
124,2025-07-13,9.0,9.11,8.6,9.07,1.45,"17,800.00","160,720.50"
125,2025-07-10,8.92,9.0,8.81,8.94,0.22,"9,050.00","80,704.00"
126,2025-07-09,8.9,9.22,8.9,8.92,-0.89,"13,630.00","124,572.00"
127,2025-07-08,8.65,9.0,8.65,9.0,2.27,"117,100.00","1,053,449.00"
128,2025-07-07,9.1,9.1,8.75,8.8,-1.46,"134,400.00","1,189,619.00"
129,2025-07-06,8.57,9.1,8.57,8.93,2.76,"10,438.00","94,181.04"
130,2025-07-03,8.92,8.92,8.61,8.69,-0.69,"2,000.00","17,390.00"
131,2025-07-02,8.63,8.75,8.63,8.75,-0.57,800.00,"6,954.00"
132,2025-07-01,8.67,8.8,8.67,8.8,1.5,"2,462.00","21,428.60"
133,2025-06-30,8.67,8.67,8.67,8.67,0.12,"1,100.00","9,537.00"
134,2025-06-29,8.48,8.74,8.48,8.66,0.35,"3,700.00","32,051.00"
135,2025-06-26,8.62,8.63,8.62,8.63,-1.37,"1,200.00","10,349.00"
136,2025-06-25,8.55,8.79,8.55,8.75,0.46,"1,700.00","14,746.00"
137,2025-06-24,8.58,8.75,8.58,8.71,1.16,"5,500.00","47,570.00"
138,2025-06-23,8.5,8.61,8.5,8.61,1.18,"1,350.00","11,534.50"
139,2025-06-22,8.52,8.6,8.51,8.51,-2.07,"1,500.00","12,801.00"
140,2025-06-19,8.5,8.7,8.5,8.69,0.7,"4,300.00","36,964.00"
141,2025-06-18,8.61,8.63,8.55,8.63,-0.92,"1,250.00","10,726.50"
142,2025-06-17,8.61,8.78,8.61,8.71,-0.68,"1,400.00","12,095.00"
143,2025-06-16,8.75,8.92,8.75,8.77,0.23,"2,700.00","23,851.00"
144,2025-06-15,8.71,8.76,8.71,8.75,-1.35,"2,000.00","17,477.00"
145,2025-06-12,8.69,8.88,8.69,8.87,0.34,"20,350.00","180,343.50"
146,2025-06-11,8.67,8.86,8.67,8.84,0.0,"1,300.00","11,332.00"
147,2025-06-10,8.85,8.9,8.81,8.84,-0.11,"5,000.00","44,279.00"
148,2025-06-09,8.76,8.91,8.76,8.85,-0.67,"1,100.00","9,714.00"
149,2025-06-08,8.51,8.91,8.51,8.91,3.6,"3,850.00","33,937.00"
150,2025-06-05,8.33,8.6,8.33,8.6,1.18,800.00,"6,815.00"
151,2025-06-04,8.42,8.5,8.42,8.5,-0.82,"1,350.00","11,447.50"
152,2025-06-03,8.49,8.58,8.49,8.57,-0.23,"1,750.00","14,991.00"
153,2025-06-02,8.66,8.67,8.5,8.59,-0.69,"2,600.00","22,278.00"
