S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-02,9.40,9.74,9.40,9.50,-0.52,"6,600.00","62,617.00"
2,2026-04-01,9.40,9.72,9.35,9.55,0.42,"24,800.00","236,731.00"
3,2026-03-31,9.42,9.80,9.24,9.51,-1.04,"19,350.00","183,744.00"
4,2026-03-30,9.66,10.00,9.47,9.61,-2.44,"12,330.00","118,741.00"
5,2026-03-29,9.70,9.87,9.57,9.85,-0.40,"21,740.00","212,816.80"
6,2026-03-26,9.70,9.90,9.62,9.89,1.85,"8,000.00","77,973.00"
7,2026-03-25,9.80,9.85,9.61,9.71,-1.62,"18,980.00","185,295.00"
8,2026-03-24,10.02,10.02,9.60,9.87,-1.50,"21,500.00","210,289.16"
9,2026-03-23,9.57,10.02,9.35,10.02,2.77,"41,060.00","396,097.80"
10,2026-03-22,9.55,9.80,9.46,9.75,1.25,"35,620.00","341,587.00"
11,2026-03-19,9.95,9.95,9.50,9.63,-5.12,"29,470.00","283,924.90"
12,2026-03-17,10.00,10.19,9.43,10.15,1.50,"40,890.00","396,551.20"
