S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,11.41,11.41,11.18,11.18,-0.09,"21,652.00","242,897.33"
2,2026-02-17,11.3,11.49,11.18,11.19,-1.15,"74,700.00","838,908.00"
3,2026-02-16,11.1,11.32,11.1,11.32,0.44,"4,594.00","51,704.08"
4,2026-02-12,11.13,11.47,11.13,11.27,0.09,"13,100.00","148,632.00"
5,2026-02-11,11.26,11.26,11.26,11.26,0.72,600.00,"6,756.00"
6,2026-02-10,11.05,11.25,11.05,11.18,-0.62,500.00,"5,589.00"
7,2026-02-09,11.2,11.25,11.2,11.25,0.0,700.00,"7,858.00"
8,2026-02-08,11.08,11.35,11.08,11.25,-0.27,"23,998.00","271,094.40"
9,2026-02-05,11.21,11.28,11.21,11.28,0.27,"7,140.00","80,249.00"
10,2026-02-04,11.2,11.25,11.2,11.25,0.45,"11,375.00","127,952.00"
11,2026-02-03,11.2,11.23,11.13,11.2,0.27,"60,400.00","677,176.00"
12,2026-02-02,11.3,11.3,11.13,11.17,-0.98,"4,000.00","44,612.00"
13,2026-02-01,11.14,11.28,11.14,11.28,-0.7,"2,200.00","24,725.00"
14,2026-01-29,11.27,11.36,11.27,11.36,-1.22,"1,344.00","15,245.40"
15,2026-01-28,11.3,11.56,11.3,11.5,0.0,"22,360.00","256,918.60"
16,2026-01-27,11.4,11.57,11.4,11.5,0.88,"327,860.00","3,772,313.20"
17,2026-01-26,11.1,11.4,11.1,11.4,0.71,"70,740.00","790,497.40"
18,2026-01-25,10.96,11.32,10.96,11.32,1.98,"81,200.00","914,032.00"
19,2026-01-22,11.1,11.2,11.1,11.1,-1.77,"21,300.00","237,483.00"
20,2026-01-21,10.98,11.3,10.98,11.3,0.89,"27,544.00","310,238.00"
21,2026-01-20,10.79,11.2,10.79,11.2,2.75,"86,950.00","969,824.00"
22,2026-01-18,10.78,11.0,10.78,10.9,-0.82,"7,200.00","77,974.00"
23,2026-01-14,10.92,11.0,10.92,10.99,-0.99,"42,700.00","469,220.00"
24,2026-01-13,10.93,11.16,10.93,11.1,0.91,"2,300.00","25,380.00"
25,2026-01-12,10.98,11.2,10.98,11.0,0.09,"47,800.00","526,216.00"
26,2026-01-08,10.92,11.0,10.92,10.99,-0.09,"1,400.00","15,326.00"
27,2026-01-07,10.99,11.11,10.95,11.0,0.92,"39,400.00","433,355.00"
28,2026-01-06,11.0,11.11,10.9,10.9,0.0,"49,300.00","545,210.00"
29,2026-01-05,10.79,11.0,10.79,10.9,0.93,"17,900.00","196,171.00"
30,2026-01-04,10.9,10.95,10.79,10.8,0.56,"23,500.00","256,216.00"
31,2026-01-01,10.8,10.9,10.74,10.74,0.47,"165,900.00","1,801,967.00"
32,2025-12-31,10.67,10.7,10.67,10.69,0.19,"18,700.00","200,078.00"
33,2025-12-29,10.8,10.8,10.67,10.67,0.19,"15,200.00","164,134.00"
34,2025-12-28,10.6,10.7,10.6,10.65,0.57,"10,800.00","114,992.00"
35,2025-12-24,10.7,10.7,10.59,10.59,-1.03,"6,700.00","71,109.00"
36,2025-12-23,10.58,10.7,10.58,10.7,0.47,"90,800.00","971,476.00"
37,2025-12-22,10.6,10.65,10.6,10.65,0.47,"1,020.00","10,825.40"
38,2025-12-21,10.7,10.71,10.6,10.6,-0.93,"3,100.00","33,082.00"
39,2025-12-18,10.7,10.7,10.7,10.7,-0.56,"4,500.00","48,150.00"
40,2025-12-17,10.68,10.78,10.68,10.76,0.94,"36,500.00","392,385.00"
41,2025-12-16,10.65,10.77,10.61,10.66,0.95,"180,944.00","1,930,676.36"
42,2025-12-15,10.5,10.69,10.5,10.56,-0.56,"35,200.00","376,041.00"
43,2025-12-14,10.4,10.62,10.4,10.62,0.85,"31,000.00","329,075.00"
44,2025-12-11,10.53,10.53,10.53,10.53,0.0,"1,600.00","16,848.00"
45,2025-12-10,10.36,10.65,10.36,10.53,-0.38,"372,900.00","3,966,371.54"
46,2025-12-09,10.5,10.57,10.5,10.57,0.67,"20,880.00","220,559.80"
47,2025-12-08,10.58,10.58,10.4,10.5,-0.28,"55,200.00","577,946.00"
48,2025-12-07,10.45,10.56,10.45,10.53,-0.19,"17,600.00","184,888.00"
49,2025-12-03,10.6,10.6,10.42,10.55,0.96,"20,800.00","219,868.00"
50,2025-12-02,10.32,10.52,10.32,10.45,1.06,"440,000.00","4,628,353.00"
51,2025-12-01,10.3,10.5,10.3,10.34,-0.77,"3,100.00","32,202.00"
52,2025-11-30,10.37,10.5,10.37,10.42,0.0,"39,500.00","414,085.00"
53,2025-11-27,10.45,10.45,10.3,10.42,1.56,"107,600.00","1,121,147.00"
54,2025-11-26,10.25,10.26,10.25,10.26,0.1,"11,290.00","115,723.50"
55,2025-11-25,10.25,10.42,10.22,10.25,0.0,"1,462.00","14,978.64"
56,2025-11-24,10.17,10.37,10.17,10.25,0.49,"21,900.00","226,244.00"
