S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,11.00,11.10,11.00,11.08,-1.07,"9,500.00","104,716.00"
2,2026-02-17,10.86,11.2,10.86,11.2,1.08,"7,400.00","81,522.00"
3,2026-02-16,11.08,11.08,11.08,11.08,-1.95,"1,500.00","16,620.00"
4,2026-02-12,10.96,11.39,10.96,11.3,1.8,"2,901.00","32,234.17"
5,2026-02-11,10.96,11.18,10.96,11.1,-0.72,"12,449.00","137,221.91"
6,2026-02-10,11.0,11.18,11.0,11.18,0.99,"5,100.00","56,226.00"
7,2026-02-09,11.18,11.18,11.07,11.07,-2.89,"2,000.00","22,164.00"
8,2026-02-08,11.04,11.42,11.04,11.4,1.42,"22,850.00","256,876.00"
9,2026-02-05,11.1,11.24,11.08,11.24,1.54,"8,121.00","90,503.41"
10,2026-02-04,10.92,11.15,10.92,11.07,1.37,"16,064.00","178,075.08"
11,2026-02-03,11.12,11.12,10.9,10.92,-3.7,"1,940.00","21,415.80"
12,2026-02-02,11.12,11.34,11.03,11.34,1.98,"5,507.00","61,054.84"
13,2026-02-01,11.11,11.34,11.11,11.12,-1.85,"39,950.00","449,175.00"
14,2026-01-29,11.11,11.33,11.11,11.33,0.62,"12,180.00","137,171.00"
15,2026-01-28,11.04,11.26,11.04,11.26,0.27,"4,000.00","44,629.00"
16,2026-01-27,11.14,11.4,11.14,11.23,0.99,"69,380.00","786,229.00"
17,2026-01-26,10.93,11.12,10.8,11.12,-0.27,"15,250.00","167,294.00"
18,2026-01-25,10.9,11.19,10.9,11.15,0.27,"32,200.00","359,536.00"
19,2026-01-22,11.02,11.2,10.86,11.12,2.39,"95,930.00","1,063,088.70"
20,2026-01-21,10.94,11.01,10.77,10.86,-0.73,"14,400.00","157,130.00"
21,2026-01-20,11.09,11.31,10.9,10.94,0.55,"36,850.00","411,769.50"
22,2026-01-18,10.79,11.18,10.79,10.88,-0.82,"16,870.00","185,622.00"
23,2026-01-14,10.78,10.97,10.78,10.97,1.48,"4,000.00","43,430.00"
24,2026-01-13,11.2,11.3,10.72,10.81,-2.61,"9,700.00","106,195.00"
25,2026-01-12,10.7,11.12,10.62,11.1,3.74,"2,560.00","27,604.20"
26,2026-01-08,10.79,11.0,10.62,10.7,-0.83,"57,795.00","632,447.00"
27,2026-01-07,10.66,11.0,10.66,10.79,0.37,"21,970.00","240,603.00"
28,2026-01-06,10.66,10.8,10.66,10.75,0.19,"14,900.00","159,921.00"
29,2026-01-05,10.59,10.8,10.59,10.73,0.75,"39,539.00","426,325.20"
30,2026-01-04,10.54,10.79,10.54,10.65,0.66,"42,250.00","451,604.50"
31,2026-01-01,10.65,10.65,10.58,10.58,-2.4,"10,700.00","113,914.00"
32,2025-12-31,10.49,10.84,10.44,10.84,3.34,"34,739.00","368,001.56"
33,2025-12-29,10.49,10.5,10.42,10.49,0.0,"8,910.00","93,326.00"
34,2025-12-28,10.51,10.61,10.33,10.49,-0.38,"49,047.00","514,497.43"
35,2025-12-24,10.48,10.76,10.48,10.53,0.48,"18,600.00","198,383.00"
36,2025-12-23,10.48,10.5,10.48,10.48,0.29,"12,458.00","130,643.00"
