S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-13,9.56,9.73,9.50,9.60,0.00,"2,200.00","21,048.00"
2,2026-04-10,9.58,9.77,9.58,9.6,0.0,"2,100.00","20,327.00"
3,2026-04-09,9.51,9.83,9.51,9.6,0.52,"4,500.00","43,875.00"
4,2026-04-08,9.4,9.58,9.4,9.55,1.6,"5,670.00","54,127.40"
5,2026-04-07,9.41,9.5,9.4,9.4,-1.05,"1,100.00","10,394.00"
6,2026-04-06,9.41,9.51,9.41,9.5,-1.04,"1,100.00","10,432.00"
7,2026-04-05,9.34,9.6,9.34,9.6,0.95,"6,650.00","63,046.68"
8,2026-04-02,9.5,9.6,9.5,9.51,0.11,"1,100.00","10,475.00"
9,2026-04-01,9.55,9.55,9.5,9.5,-0.52,"1,500.00","14,255.00"
10,2026-03-31,9.5,9.6,9.5,9.55,-1.04,"2,400.00","22,915.00"
11,2026-03-30,9.49,9.67,9.49,9.65,-0.31,"4,900.00","46,815.00"
12,2026-03-29,9.67,9.86,9.67,9.68,-1.73,"2,400.00","23,318.00"
13,2026-03-26,9.65,9.85,9.46,9.85,2.07,"3,100.00","29,834.00"
14,2026-03-25,9.9,10.0,9.56,9.65,-3.5,"3,920.00","38,608.00"
15,2026-03-24,9.76,10.2,9.76,10.0,0.5,"87,450.00","873,067.50"
16,2026-03-23,9.63,9.95,9.44,9.95,1.32,"8,400.00","81,369.00"
17,2026-03-22,9.41,10.0,9.41,9.82,2.29,"7,750.00","75,023.50"
18,2026-03-19,9.47,9.83,9.3,9.6,-0.62,"5,200.00","50,042.00"
19,2026-03-17,10.08,10.08,9.66,9.66,-2.33,700.00,"6,932.00"
20,2026-03-16,10.0,10.0,9.61,9.89,0.61,"2,800.00","27,161.00"
21,2026-03-15,9.71,9.85,9.65,9.83,3.26,"14,250.00","138,384.50"
22,2026-03-12,9.36,9.59,9.36,9.52,-0.31,"14,700.00","139,593.00"
23,2026-03-11,9.12,9.66,9.12,9.55,2.91,"5,400.00","51,541.00"
24,2026-03-10,9.27,9.45,9.27,9.28,-1.8,"13,900.00","129,008.00"
25,2026-03-03,9.5,9.58,9.3,9.45,-0.32,"4,000.00","37,753.00"
26,2026-03-01,9.28,9.64,9.28,9.48,0.21,"1,100.00","10,324.00"
27,2026-02-26,9.44,9.65,9.26,9.46,2.16,"2,420.00","22,866.20"
28,2026-02-25,9.7,9.7,9.1,9.26,-3.54,"3,500.00","32,445.00"
29,2026-02-23,9.58,9.6,9.58,9.6,-1.74,"12,788.00","122,635.04"
30,2026-02-22,9.52,9.77,9.33,9.77,2.63,"4,425.00","41,930.00"
31,2026-02-17,9.1,9.52,9.1,9.52,3.93,"3,400.00","31,423.00"
32,2026-02-16,9.2,9.3,9.0,9.16,-2.35,"3,900.00","35,701.00"
33,2026-02-12,9.5,9.7,9.02,9.38,-2.39,"2,440.00","22,541.20"
34,2026-02-11,9.8,9.8,9.61,9.61,-2.73,350.00,"3,411.00"
35,2026-02-10,9.69,9.9,9.31,9.88,4.0,"39,866.00","391,285.58"
36,2026-02-09,9.2,9.67,9.2,9.5,2.04,"4,100.00","38,811.00"
37,2026-02-08,9.94,10.11,8.98,9.31,-4.51,"3,370.00","31,602.50"
38,2026-02-05,9.76,9.76,9.57,9.75,1.88,"4,610.00","44,202.70"
39,2026-02-04,9.56,9.69,9.4,9.57,2.03,"6,560.00","61,870.00"
40,2026-02-03,9.5,9.5,9.14,9.38,0.64,"4,749.00","44,013.68"
41,2026-02-02,9.13,9.48,9.12,9.32,1.75,"9,549.00","88,175.95"
42,2026-02-01,9.07,9.34,9.07,9.16,-0.97,"4,450.00","40,834.50"
43,2026-01-29,9.3,9.4,9.11,9.25,-0.22,"5,360.00","49,281.00"
44,2026-01-28,9.44,9.44,9.26,9.27,-3.74,"3,150.00","29,417.00"
45,2026-01-27,9.16,9.82,9.15,9.63,3.1,"278,450.00","2,677,920.50"
46,2026-01-26,9.0,9.34,9.0,9.34,1.97,"24,880.00","231,714.00"
47,2026-01-25,9.2,9.38,9.1,9.16,-2.35,"9,400.00","86,360.00"
48,2026-01-22,9.03,9.38,9.03,9.38,2.07,"19,600.00","179,432.50"
49,2026-01-21,9.42,9.48,9.11,9.19,-4.37,"3,020.00","28,133.60"
50,2026-01-20,9.25,9.61,9.02,9.61,1.91,"20,770.00","191,756.00"
51,2026-01-18,10.0,10.0,9.0,9.43,-5.7,"17,195.00","157,489.85"
