S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,9.84,9.99,9.45,9.60,-0.52,"22,700.00","217,349.00"
2,2026-02-11,9.53,10.28,9.3,9.65,3.21,"227,200.00","2,156,722.24"
3,2026-02-10,9.66,9.66,9.25,9.35,-1.37,"15,300.00","143,054.00"
4,2026-02-09,9.73,9.73,9.27,9.48,-0.63,"11,118.00","104,796.52"
5,2026-02-08,9.63,9.63,9.27,9.54,0.95,"18,200.00","171,579.00"
6,2026-02-05,9.59,9.59,9.22,9.45,0.43,"96,929.00","895,949.90"
7,2026-02-04,9.42,9.78,9.13,9.41,-1.98,"178,849.00","1,662,145.58"
8,2026-02-03,9.61,9.75,9.4,9.6,1.8,"23,300.00","221,023.00"
9,2026-02-02,9.66,9.66,9.29,9.43,-0.53,"8,675.00","82,400.00"
10,2026-02-01,10.1,10.14,9.3,9.48,-5.2,"6,000.00","58,715.00"
11,2026-01-29,10.16,10.16,9.96,10.0,0.3,"1,600.00","16,021.00"
12,2026-01-28,10.03,10.03,9.78,9.97,1.22,"3,500.00","34,300.00"
13,2026-01-27,9.9,9.9,9.5,9.85,1.44,"133,300.00","1,303,728.00"
14,2026-01-26,9.69,9.74,9.31,9.71,2.21,"137,500.00","1,311,691.45"
15,2026-01-25,9.56,9.56,9.25,9.5,1.28,"43,326.00","409,802.96"
16,2026-01-22,9.22,9.39,9.2,9.38,-0.11,"72,078.00","664,752.60"
17,2026-01-21,9.43,9.43,9.25,9.39,1.51,"24,600.00","230,648.20"
18,2026-01-20,9.61,9.61,9.25,9.25,-1.91,"22,460.00","208,898.00"
19,2026-01-18,9.62,9.62,9.13,9.43,-0.11,"5,600.00","51,946.00"
20,2026-01-14,9.58,9.58,9.3,9.44,0.43,"1,804.00","16,872.56"
21,2026-01-13,9.45,9.45,9.15,9.4,0.86,"3,900.00","36,041.00"
22,2026-01-12,9.48,9.48,9.17,9.32,0.22,"24,416.00","225,853.72"
23,2026-01-08,9.45,9.45,9.09,9.3,0.11,"3,000.00","27,498.00"
24,2026-01-07,9.34,9.34,9.16,9.29,1.42,"5,800.00","53,728.55"
25,2026-01-06,9.33,9.33,9.15,9.16,0.11,"123,500.00","1,140,592.00"
26,2026-01-05,9.28,9.28,9.1,9.15,0.44,"5,600.00","51,042.00"
27,2026-01-04,9.25,9.25,9.07,9.11,-1.3,"6,430.00","58,547.00"
28,2026-01-01,9.25,9.25,9.08,9.23,0.33,"13,530.00","124,465.20"
29,2025-12-31,9.25,9.25,9.07,9.2,0.0,"23,639.00","217,002.80"
30,2025-12-29,9.17,9.23,9.05,9.2,1.43,"6,812.00","62,021.76"
31,2025-12-28,9.23,9.23,8.9,9.07,0.22,"15,220.00","137,687.00"
32,2025-12-24,9.17,9.17,8.86,9.05,0.56,"14,170.00","127,512.70"
33,2025-12-23,8.95,9.0,8.91,9.0,-1.32,"5,700.00","51,008.00"
34,2025-12-22,9.16,9.16,8.84,9.12,1.45,"8,750.00","78,250.50"
35,2025-12-21,9.15,9.15,8.85,8.99,-1.21,"34,874.00","313,718.00"
36,2025-12-18,9.12,9.12,8.93,9.1,0.0,"12,590.00","114,323.00"
37,2025-12-17,9.1,9.1,8.9,9.1,1.79,"2,200.00","19,870.60"
38,2025-12-16,8.91,9.12,8.91,8.94,-1.43,"10,845.00","98,229.00"
39,2025-12-15,8.84,9.07,8.84,9.07,0.67,"1,400.00","12,607.00"
40,2025-12-14,8.8,9.01,8.8,9.01,0.67,"12,900.00","115,266.00"
41,2025-12-11,8.78,9.12,8.78,8.95,0.0,900.00,"8,123.00"
42,2025-12-10,8.9,9.24,8.9,8.95,0.56,"26,200.00","238,196.00"
43,2025-12-09,8.85,9.02,8.85,8.9,0.56,"1,300.00","11,685.00"
44,2025-12-08,8.96,9.24,8.85,8.85,0.68,"52,510.00","470,804.40"
45,2025-12-07,9.28,9.28,8.79,8.79,-3.41,"43,577.00","391,136.93"
46,2025-12-03,9.35,9.35,9.1,9.1,-0.76,"1,400.00","12,882.00"
