S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,9.70,10.17,9.70,9.78,-0.20,"12,300.00","120,081.00"
2,2026-02-04,9.75,9.99,9.75,9.80,0.51,"10,145.00","99,699.50"
3,2026-02-03,9.57,9.88,9.57,9.75,0.0,"3,009.00","29,382.22"
4,2026-02-02,9.59,9.97,9.59,9.75,-0.31,"4,300.00","41,974.00"
5,2026-02-01,9.7,9.94,9.68,9.78,-0.61,"4,500.00","43,988.00"
6,2026-01-29,9.79,10.01,9.79,9.84,-1.01,"56,050.00","552,496.50"
7,2026-01-28,9.65,9.94,9.65,9.94,1.02,"5,710.00","55,670.40"
8,2026-01-27,9.8,10.06,9.8,9.84,-1.6,"98,290.00","970,096.20"
9,2026-01-26,9.77,10.09,9.77,10.0,2.25,"19,550.00","195,034.00"
10,2026-01-25,9.61,9.8,9.61,9.78,-0.2,"5,750.00","56,235.50"
11,2026-01-22,9.56,10.0,9.37,9.8,0.51,"17,180.00","168,221.00"
12,2026-01-21,9.66,9.8,9.66,9.75,0.0,"7,450.00","72,254.00"
13,2026-01-20,9.66,9.79,9.66,9.75,0.83,"13,100.00","127,280.00"
14,2026-01-18,9.6,9.79,9.6,9.67,-1.23,"15,900.00","154,022.40"
15,2026-01-14,9.61,9.8,9.48,9.79,-0.1,"8,851.00","85,229.06"
16,2026-01-13,9.55,9.8,9.47,9.8,3.7,"14,400.00","139,401.00"
17,2026-01-12,9.4,9.55,9.4,9.45,0.75,"9,050.00","85,922.00"
18,2026-01-08,9.31,9.5,9.31,9.38,-1.26,"3,230.00","30,420.00"
19,2026-01-07,9.46,9.62,9.46,9.5,0.21,"4,950.00","47,110.00"
20,2026-01-06,9.35,9.55,9.35,9.48,0.0,"5,200.00","49,381.00"
21,2026-01-05,9.5,9.55,9.36,9.48,-0.42,"34,820.00","330,896.40"
22,2026-01-04,9.36,9.54,9.35,9.52,0.0,"15,600.00","147,456.00"
23,2026-01-01,9.5,9.53,9.32,9.52,-1.75,"9,750.00","92,065.50"
24,2025-12-31,9.31,9.69,9.25,9.69,2.0,"195,100.00","1,846,854.00"
25,2025-12-29,9.3,9.5,9.17,9.5,3.71,"11,050.00","103,812.50"
26,2025-12-28,9.09,9.3,9.09,9.16,-1.08,"6,200.00","56,895.50"
27,2025-12-24,9.01,9.26,9.01,9.26,1.31,"2,150.00","19,555.00"
28,2025-12-23,9.07,9.18,9.07,9.14,-0.87,"4,500.00","41,086.00"
29,2025-12-22,9.23,9.25,9.22,9.22,-0.11,"5,860.00","54,084.20"
30,2025-12-21,9.05,9.32,9.05,9.23,0.22,"7,800.00","71,930.00"
31,2025-12-18,9.18,9.39,9.11,9.21,0.22,"7,700.00","71,059.00"
32,2025-12-17,9.1,9.36,9.1,9.19,0.11,"5,250.00","48,286.00"
33,2025-12-16,9.18,9.38,9.17,9.18,0.0,"11,230.00","103,623.40"
34,2025-12-15,9.11,9.31,9.11,9.18,-1.08,"3,550.00","32,598.50"
35,2025-12-14,9.0,9.28,8.9,9.28,1.75,"5,850.00","53,358.50"
36,2025-12-11,9.05,9.3,9.05,9.12,0.77,"117,260.00","1,069,495.30"
37,2025-12-10,9.04,9.4,9.04,9.05,0.11,"16,450.00","151,915.00"
38,2025-12-09,9.1,9.1,9.03,9.04,-1.09,"3,500.00","31,683.00"
39,2025-12-08,8.8,9.18,8.8,9.14,2.24,"16,830.00","153,800.40"
40,2025-12-07,9.0,9.07,8.9,8.94,-2.51,"3,500.00","31,439.00"
41,2025-12-03,9.0,9.17,9.0,9.17,-0.11,"12,150.00","110,890.00"
42,2025-12-02,8.96,9.18,8.96,9.18,1.77,"15,900.00","144,525.00"
43,2025-12-01,8.94,9.02,8.94,9.02,-0.99,"3,900.00","35,095.00"
