S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,9.35,9.35,9.35,9.35,-1.68,"1,650.00","15,427.50"
2,2026-02-25,9.77,9.77,9.5,9.51,-2.46,900.00,"8,620.00"
3,2026-02-24,9.48,9.75,9.48,9.75,0.93,"13,100.00","124,582.00"
4,2026-02-23,9.41,9.66,9.41,9.66,0.84,"138,810.00","1,340,748.80"
5,2026-02-22,9.26,9.58,9.26,9.58,1.91,"8,300.00","79,241.00"
6,2026-02-17,9.68,9.68,9.4,9.4,-1.88,"36,034.00","339,767.60"
7,2026-02-16,9.4,9.77,9.39,9.58,1.91,"124,150.00","1,206,436.00"
8,2026-02-12,9.4,9.5,9.4,9.4,-1.05,"1,300.00","12,230.00"
9,2026-02-11,9.5,9.69,9.39,9.5,0.0,"8,975.00","86,587.75"
10,2026-02-10,9.4,9.53,9.4,9.5,-0.31,"9,000.00","85,557.00"
11,2026-02-09,9.36,9.55,9.36,9.53,0.85,"8,850.00","84,012.00"
12,2026-02-08,9.31,9.6,9.31,9.45,0.32,"3,400.00","32,407.00"
13,2026-02-05,9.4,9.42,9.4,9.42,-1.67,"3,290.00","30,964.90"
14,2026-02-04,9.4,9.58,9.4,9.58,0.21,"29,860.00","281,323.00"
15,2026-02-03,9.74,9.75,9.55,9.56,0.1,"23,338.00","223,648.96"
16,2026-02-02,9.45,9.63,9.45,9.55,-0.52,"101,634.00","961,957.51"
17,2026-02-01,9.42,9.6,9.42,9.6,0.0,"1,235.00","11,670.00"
18,2026-01-29,9.5,9.79,9.5,9.6,0.95,"128,737.00","1,248,400.60"
19,2026-01-28,9.55,9.6,9.36,9.51,-2.36,"6,515.00","61,885.10"
20,2026-01-27,9.41,9.79,9.41,9.74,1.46,"112,883.00","1,101,098.42"
21,2026-01-26,9.25,9.7,9.25,9.6,3.78,"47,958.00","460,938.08"
22,2026-01-25,9.23,9.4,9.05,9.25,-1.6,"8,295.00","76,152.85"
23,2026-01-22,9.21,9.4,9.21,9.4,0.11,"3,915.00","36,169.00"
24,2026-01-21,9.38,9.57,9.38,9.39,1.95,"154,450.00","1,452,715.33"
