S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,9.57,9.75,9.57,9.60,0.31,"1,300.00","12,480.00"
2,2026-02-26,9.74,9.74,9.57,9.57,0.21,"2,700.00","25,899.00"
3,2026-02-25,9.7,9.7,9.51,9.55,-0.73,"42,500.00","406,450.00"
4,2026-02-24,9.44,9.62,9.44,9.62,0.1,"3,000.00","28,500.00"
5,2026-02-23,9.6,9.61,9.53,9.61,1.91,"14,400.00","137,564.00"
6,2026-02-22,9.56,9.6,9.43,9.43,-3.08,"52,030.00","493,240.85"
7,2026-02-17,9.65,9.73,9.55,9.73,0.83,"6,360.00","61,520.75"
8,2026-02-16,9.65,9.88,9.65,9.65,-1.43,"15,875.00","155,513.25"
9,2026-02-12,9.89,9.89,9.79,9.79,0.0,"20,800.00","203,802.60"
10,2026-02-11,9.6,9.86,9.6,9.79,0.93,"5,300.00","51,492.27"
11,2026-02-10,9.7,9.7,9.7,9.7,-0.92,"15,000.00","145,500.00"
12,2026-02-09,9.52,9.85,9.51,9.79,1.14,"8,000.00","76,471.00"
13,2026-02-08,9.5,9.68,9.5,9.68,1.47,"4,070.00","38,847.20"
14,2026-02-05,9.7,9.75,9.54,9.54,-1.34,"4,100.00","39,554.60"
15,2026-02-04,9.67,9.67,9.66,9.67,0.52,"1,900.00","18,368.00"
16,2026-02-03,9.81,9.81,9.62,9.62,0.0,"8,425.00","81,478.50"
17,2026-02-02,9.79,9.79,9.61,9.62,0.21,"6,450.00","62,921.00"
18,2026-02-01,9.8,9.85,9.6,9.6,-1.74,"571,638.00","5,615,160.85"
19,2026-01-29,9.77,9.8,9.7,9.77,1.98,"108,982.00","1,059,135.90"
20,2026-01-28,9.58,9.75,9.58,9.58,-1.34,"9,050.00","86,856.50"
21,2026-01-27,9.75,9.83,9.71,9.71,-2.31,"112,350.00","1,100,855.00"
22,2026-01-26,9.57,9.96,9.57,9.94,3.43,"67,230.00","656,089.40"
23,2026-01-25,9.59,9.7,9.56,9.61,0.21,"17,700.00","170,390.00"
24,2026-01-22,9.74,9.76,9.58,9.59,0.21,"30,570.00","295,518.50"
25,2026-01-21,9.55,9.57,9.55,9.57,-0.83,710.00,"6,784.70"
26,2026-01-20,9.71,9.9,9.55,9.65,-2.53,"23,700.00","229,083.00"
27,2026-01-18,9.55,9.9,9.53,9.9,1.64,"39,000.00","376,855.00"
28,2026-01-14,9.48,9.74,9.48,9.74,0.93,"13,000.00","126,300.00"
29,2026-01-13,9.54,9.65,9.54,9.65,-0.72,"1,500.00","14,365.00"
30,2026-01-12,9.6,9.72,9.5,9.72,1.99,"52,100.00","504,107.50"
31,2026-01-08,9.6,9.6,9.53,9.53,-1.45,"4,400.00","42,060.50"
32,2026-01-07,9.66,9.68,9.66,9.67,-1.83,"17,106.00","165,399.77"
33,2026-01-06,9.8,9.85,9.7,9.85,0.72,"60,380.00","592,466.00"
34,2026-01-05,9.65,9.78,9.47,9.78,-0.61,"66,049.00","637,386.72"
35,2026-01-04,9.65,9.84,9.65,9.84,2.71,"254,602.00","2,473,304.95"
36,2026-01-01,9.57,9.58,9.38,9.58,1.91,"22,135.00","211,623.25"
37,2025-12-31,9.3,9.4,9.3,9.4,-0.53,"22,200.00","208,630.00"
38,2025-12-29,9.42,9.58,9.25,9.45,-1.66,"45,782.00","427,785.70"
39,2025-12-28,9.59,9.85,9.59,9.61,2.13,"123,575.00","1,210,032.08"
40,2025-12-24,9.45,9.45,9.41,9.41,-1.26,"34,675.00","327,518.75"
41,2025-12-23,9.54,9.55,9.36,9.53,-0.21,"124,432.00","1,175,312.82"
42,2025-12-22,9.54,9.58,9.4,9.55,0.53,"80,640.00","767,926.70"
43,2025-12-21,9.1,9.92,9.1,9.5,3.15,"334,460.00","3,245,203.57"
44,2025-12-18,9.31,9.31,9.2,9.21,-0.43,"16,296.00","150,345.76"
45,2025-12-17,9.39,9.39,9.25,9.25,-1.49,"54,398.00","509,901.50"
46,2025-12-16,9.37,9.39,9.37,9.39,1.51,"45,000.00","422,521.56"
47,2025-12-15,9.42,9.42,9.25,9.25,-0.54,"30,500.00","282,182.99"
48,2025-12-14,9.26,9.38,9.26,9.3,0.43,"36,310.00","338,754.96"
49,2025-12-11,9.16,9.3,9.16,9.26,0.0,"30,720.00","283,975.20"
50,2025-12-10,9.16,9.27,9.16,9.26,1.54,"71,330.00","659,495.80"
51,2025-12-09,9.48,9.48,9.12,9.12,-1.94,"23,863.00","218,654.16"
52,2025-12-08,9.38,9.38,9.13,9.3,1.09,"124,500.00","1,144,295.00"
53,2025-12-07,9.48,9.48,9.12,9.2,-1.08,"15,900.00","145,977.00"
54,2025-12-03,9.38,9.4,9.2,9.3,1.09,"67,668.00","624,187.60"
55,2025-12-02,9.47,9.47,9.2,9.2,-0.97,"13,301.00","122,831.22"
56,2025-12-01,9.18,9.29,9.17,9.29,-0.11,"765,000.00","7,034,970.00"
57,2025-11-30,9.41,9.41,9.05,9.3,0.76,"145,618.00","1,328,228.78"
58,2025-11-27,9.13,9.26,9.01,9.23,3.01,"91,824.00","842,351.30"
59,2025-11-26,9.38,9.38,8.6,8.96,-2.61,"270,319.00","2,400,666.63"
60,2025-11-25,9.36,9.36,9.1,9.2,0.22,"98,650.00","902,044.00"
61,2025-11-24,9.02,9.19,9.01,9.18,1.21,"15,800.00","142,442.00"
62,2025-11-23,9.09,9.25,9.07,9.07,-0.22,"4,685.00","42,653.65"
63,2025-11-20,9.35,9.35,9.01,9.09,-1.41,"3,400.00","30,914.55"
64,2025-11-19,9.23,9.23,9.05,9.22,1.88,"16,064.00","146,800.72"
65,2025-11-18,9.02,9.2,9.0,9.05,0.33,"67,167.00","606,639.50"
66,2025-11-17,9.33,9.33,9.02,9.02,-1.42,"33,914.00","307,019.69"
67,2025-11-16,9.31,9.31,9.13,9.15,0.22,"157,355.00","1,438,364.25"
68,2025-11-13,9.43,9.43,9.13,9.13,-1.3,"4,158.00","38,482.54"
69,2025-11-12,9.5,9.5,9.2,9.25,-0.75,"12,650.00","116,939.50"
70,2025-11-11,9.23,9.4,9.23,9.32,2.98,"10,100.00","93,529.00"
71,2025-11-10,9.4,9.44,9.05,9.05,-2.69,"26,578.00","241,995.40"
72,2025-11-09,9.28,9.31,9.11,9.3,2.2,"2,200.00","20,277.00"
73,2025-11-06,9.4,9.4,9.05,9.1,-1.41,"27,750.00","252,158.00"
74,2025-11-05,9.23,9.35,9.13,9.23,1.99,"5,300.00","48,953.50"
75,2025-11-04,9.39,9.39,9.05,9.05,-1.95,"59,284.00","539,323.25"
76,2025-11-03,9.4,9.4,9.05,9.23,0.11,"92,809.00","863,782.32"
77,2025-11-02,9.38,9.38,9.04,9.22,0.22,"5,120.00","47,100.00"
78,2025-10-30,9.56,9.56,9.02,9.2,-1.92,"28,400.00","258,299.20"
79,2025-10-29,9.58,9.58,9.28,9.38,-0.21,"16,000.00","149,720.00"
80,2025-10-28,9.61,9.61,9.4,9.4,-0.32,"14,394.00","135,744.00"
81,2025-10-26,9.64,9.64,9.28,9.43,-0.32,"3,400.00","31,989.00"
