S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,10.01,10.21,10.01,10.21,0.00,"2,070.00","21,003.70"
2,2026-02-10,10.18,10.21,10.18,10.21,-1.64,"13,964.00","142,362.44"
3,2026-02-09,10.38,10.38,10.38,10.38,1.96,"1,000.00","10,380.00"
4,2026-02-05,10.18,10.18,10.18,10.18,-0.29,500.00,"5,090.00"
5,2026-02-04,10.19,10.21,10.19,10.21,2.0,"23,253.00","237,050.07"
6,2026-02-03,10.01,10.01,10.01,10.01,-1.77,"5,000.00","50,050.00"
7,2026-02-02,10.0,10.19,10.0,10.19,0.0,"4,100.00","41,057.00"
8,2026-02-01,10.03,10.19,10.03,10.19,0.89,"7,662.00","77,555.78"
9,2026-01-29,10.01,10.1,10.0,10.1,-0.88,"19,490.00","194,980.00"
10,2026-01-28,10.1,10.19,10.1,10.19,0.0,"3,700.00","37,415.00"
11,2026-01-27,10.21,10.21,10.0,10.19,0.1,"191,985.00","1,940,875.15"
12,2026-01-26,10.2,10.2,10.18,10.18,0.3,"23,300.00","237,642.00"
13,2026-01-25,10.21,10.21,10.15,10.15,-2.5,"4,600.00","46,856.00"
14,2026-01-22,10.25,10.41,10.25,10.41,1.56,"18,196.00","188,319.36"
15,2026-01-21,10.38,10.38,10.25,10.25,-1.35,"1,572.00","16,252.36"
16,2026-01-20,10.39,10.39,10.23,10.39,0.0,"3,103.00","32,149.17"
17,2026-01-18,10.25,10.39,10.25,10.39,1.37,"3,620.00","37,574.80"
18,2026-01-13,10.25,10.25,10.25,10.25,0.0,100.00,"1,025.00"
19,2026-01-12,10.3,10.3,10.25,10.25,0.2,"5,700.00","58,610.00"
20,2026-01-08,10.21,10.39,10.21,10.23,-0.1,"7,550.00","77,622.50"
21,2026-01-07,10.41,10.41,10.24,10.24,-0.1,"4,135.00","42,852.40"
22,2026-01-06,10.35,10.35,10.24,10.25,-1.35,"1,510.00","15,546.50"
23,2026-01-05,10.39,10.39,10.39,10.39,1.76,500.00,"5,195.00"
24,2026-01-04,10.25,10.25,10.21,10.21,-0.87,"2,000.00","20,428.00"
25,2026-01-01,10.39,10.39,10.3,10.3,0.88,"1,888.00","19,491.40"
26,2025-12-31,10.45,10.45,10.21,10.21,-0.39,"14,822.00","152,440.62"
27,2025-12-29,10.25,10.25,10.25,10.25,0.39,100.00,"1,025.00"
28,2025-12-28,10.21,10.21,10.21,10.21,-0.39,"2,538.00","25,912.98"
29,2025-12-24,10.3,10.3,10.25,10.25,0.0,"3,652.00","37,474.80"
30,2025-12-23,10.25,10.25,10.25,10.25,-0.19,"5,000.00","51,250.00"
31,2025-12-22,10.27,10.27,10.27,10.27,0.39,"1,200.00","12,324.00"
32,2025-12-21,10.27,10.3,10.23,10.23,-0.2,"19,100.00","195,710.00"
33,2025-12-18,10.35,10.35,10.25,10.25,-1.35,"14,380.00","147,954.00"
34,2025-12-17,10.39,10.39,10.39,10.39,-1.98,"1,000.00","10,390.00"
35,2025-12-16,10.6,10.6,10.6,10.6,-1.3,741.00,"7,854.60"
36,2025-12-15,10.74,10.74,10.74,10.74,0.37,100.00,"1,074.00"
37,2025-12-14,10.03,10.79,10.03,10.7,4.7,"240,603.00","2,572,857.47"
38,2025-12-11,10.22,10.22,10.22,10.22,0.0,"1,500.00","15,330.00"
39,2025-12-10,9.9,10.24,9.9,10.22,1.79,"52,025.00","528,832.70"
40,2025-12-09,10.03,10.04,9.9,10.04,0.3,"42,132.00","420,139.03"
41,2025-12-08,9.99,10.01,9.99,10.01,0.2,"6,365.00","63,613.65"
42,2025-12-07,9.96,9.99,9.96,9.99,-0.1,"39,500.00","393,919.00"
43,2025-12-03,9.81,10.0,9.81,10.0,0.1,"6,300.00","61,922.00"
44,2025-12-02,9.87,9.99,9.87,9.99,2.88,"200,379.00","1,991,704.91"
45,2025-12-01,9.67,9.83,9.67,9.71,0.62,"11,829.00","115,701.57"
46,2025-11-30,9.91,9.91,9.65,9.65,-1.53,"79,200.00","769,853.50"
47,2025-11-27,9.8,9.8,9.75,9.8,0.0,"30,800.00","301,830.00"
48,2025-11-26,9.97,9.97,9.8,9.8,-1.01,"21,704.00","213,334.60"
49,2025-11-25,9.9,9.9,9.85,9.9,1.96,"12,150.00","120,190.00"
50,2025-11-24,9.81,9.81,9.71,9.71,-0.92,"27,000.00","263,570.00"
51,2025-11-23,9.83,9.83,9.8,9.8,-2.0,"68,000.00","667,150.00"
52,2025-11-20,10.0,10.0,10.0,10.0,1.94,"2,300.00","23,000.00"
53,2025-11-19,10.0,10.0,9.81,9.81,-1.9,"7,600.00","74,730.00"
54,2025-11-18,9.97,10.0,9.97,10.0,1.94,"18,800.00","187,701.20"
55,2025-11-17,9.81,9.81,9.81,9.81,0.1,200.00,"1,962.00"
56,2025-11-13,9.99,9.99,9.8,9.8,-1.01,"11,120.00","109,028.80"
57,2025-11-12,9.81,9.99,9.81,9.9,1.02,"4,758.00","46,901.70"
58,2025-11-11,9.81,9.82,9.8,9.8,-1.9,"18,050.00","177,142.38"
59,2025-11-10,9.99,9.99,9.99,9.99,1.94,"1,750.00","17,482.50"
60,2025-11-09,9.8,9.8,9.8,9.8,-1.71,"1,300.00","12,740.00"
61,2025-11-06,9.87,9.97,9.87,9.97,-0.3,"10,200.00","101,674.00"
62,2025-11-04,10.0,10.0,10.0,10.0,1.21,600.00,"6,000.00"
63,2025-11-02,9.71,9.88,9.7,9.88,0.3,"25,115.00","245,447.92"
64,2025-10-30,9.66,9.85,9.66,9.85,1.03,"3,400.00","33,471.00"
65,2025-10-29,9.66,9.8,9.66,9.75,-0.61,"22,455.00","219,673.75"
66,2025-10-28,9.82,9.82,9.81,9.81,1.87,"3,650.00","35,838.50"
67,2025-10-26,9.95,9.95,9.63,9.63,-1.73,"31,750.00","315,400.50"
68,2025-10-19,9.7,9.8,9.7,9.8,1.03,"1,200.00","11,740.00"
69,2025-10-16,9.7,9.7,9.7,9.7,-1.12,"1,100.00","10,670.00"
70,2025-10-14,9.81,9.81,9.81,9.81,-1.9,"2,000.00","19,620.00"
71,2025-10-13,9.53,10.0,9.53,10.0,5.04,"9,545.00","94,736.55"
72,2025-10-12,9.71,9.71,9.52,9.52,-3.84,"35,100.00","335,353.00"
73,2025-10-09,9.85,9.9,9.85,9.9,1.43,"39,700.00","391,222.00"
74,2025-10-08,9.76,9.76,9.76,9.76,-1.71,"2,100.00","20,496.00"
75,2025-10-07,9.93,9.93,9.93,9.93,-1.97,"11,000.00","109,230.00"
76,2025-09-28,10.13,10.13,10.13,10.13,1.3,"1,000.00","10,130.00"
77,2025-09-25,10.01,10.19,9.9,10.0,1.73,"79,650.00","798,975.50"
78,2025-09-24,9.83,9.83,9.83,9.83,1.97,"4,000.00","39,320.00"
79,2025-09-23,9.64,9.64,9.64,9.64,-0.31,"32,500.00","313,300.00"
80,2025-09-21,9.55,9.69,9.55,9.67,0.83,"111,672.00","1,078,569.40"
81,2025-09-08,9.59,9.6,9.59,9.59,-1.64,"16,600.00","159,204.00"
82,2025-09-07,9.79,9.79,9.75,9.75,1.35,"11,500.00","112,175.00"
83,2025-09-04,9.6,9.69,9.6,9.62,-1.23,"20,885.00","200,745.65"
84,2025-09-03,9.65,9.74,9.5,9.74,1.04,"64,000.00","612,228.00"
85,2025-09-02,9.7,9.7,9.63,9.64,-1.23,"15,000.00","144,567.00"
86,2025-09-01,9.8,9.95,9.76,9.76,1.56,"3,200.00","31,426.00"
87,2025-08-31,9.87,9.87,9.61,9.61,-0.83,"32,450.00","312,483.00"
88,2025-08-28,9.52,9.69,9.5,9.69,3.09,"3,300.00","31,612.00"
89,2025-08-27,9.56,9.71,9.4,9.4,-1.57,"44,865.00","428,243.80"
90,2025-08-26,9.71,9.71,9.45,9.55,0.32,"24,700.00","236,295.00"
91,2025-08-25,9.68,9.69,9.5,9.52,0.21,"10,270.00","98,870.70"
92,2025-08-24,9.75,9.75,9.48,9.5,-1.04,"112,340.00","1,079,134.70"
93,2025-08-21,9.51,9.7,9.4,9.6,0.42,"82,668.00","782,114.63"
94,2025-08-20,9.57,9.57,9.55,9.56,0.0,"25,000.00","239,175.00"
95,2025-08-19,9.67,9.74,9.56,9.56,0.74,"130,285.00","1,255,302.50"
96,2025-08-18,10.91,11.1,10.86,10.89,-2.16,"46,400.00","506,904.60"
97,2025-08-17,10.76,11.13,10.72,11.13,1.46,"23,770.00","262,096.90"
98,2025-08-14,10.8,10.97,10.8,10.97,1.76,900.00,"9,822.00"
99,2025-08-13,11.0,11.0,10.75,10.78,-1.91,"96,000.00","1,040,314.40"
100,2025-08-12,11.07,11.25,10.95,10.99,-0.72,"100,885.00","1,118,308.75"
101,2025-08-11,11.07,11.07,11.07,11.07,1.93,100.00,"1,107.00"
102,2025-08-07,11.11,11.2,10.8,10.86,-0.37,"25,005.00","274,480.00"
103,2025-08-06,11.11,11.11,10.7,10.9,-1.89,"29,500.00","321,323.00"
104,2025-08-05,10.91,11.74,10.91,11.11,3.73,"7,435.00","84,992.85"
105,2025-08-04,10.53,10.71,10.5,10.71,1.71,"6,516.00","69,191.36"
106,2025-08-03,10.85,10.9,10.53,10.53,-1.22,"111,918.00","1,215,959.46"
107,2025-07-31,10.75,10.75,10.66,10.66,-1.75,"30,100.00","323,123.00"
108,2025-07-30,10.97,10.97,10.85,10.85,0.84,"19,850.00","216,042.50"
109,2025-07-29,11.01,11.4,10.7,10.76,-0.37,"25,950.00","287,435.50"
110,2025-07-28,10.8,10.8,10.8,10.8,-0.46,100.00,"1,080.00"
111,2025-07-27,11.0,11.0,10.8,10.85,-1.36,"2,400.00","26,140.00"
112,2025-07-24,10.91,11.0,10.91,11.0,-1.17,"3,170.00","34,852.00"
113,2025-07-23,11.22,11.22,11.13,11.13,1.18,"2,600.00","28,947.00"
114,2025-07-22,11.0,11.19,11.0,11.0,0.0,"201,185.00","2,213,161.15"
115,2025-07-21,11.0,11.1,10.88,11.0,-0.9,"12,600.00","138,528.50"
116,2025-07-20,11.19,11.19,10.99,11.1,1.09,"5,634.00","62,773.46"
117,2025-07-17,10.68,11.1,10.68,10.98,2.81,"106,265.00","1,154,162.70"
118,2025-07-16,10.6,10.89,10.5,10.68,-0.19,"10,877.00","115,604.36"
119,2025-07-15,10.9,10.91,10.7,10.7,0.0,"23,389.00","253,268.97"
120,2025-07-14,10.9,11.0,10.69,10.7,-1.83,"43,700.00","476,579.00"
121,2025-07-13,10.96,11.0,10.9,10.9,1.4,"3,300.00","36,226.00"
122,2025-07-10,10.48,10.75,10.48,10.75,1.42,"7,247.00","76,552.03"
123,2025-07-09,10.6,10.6,10.6,10.6,-1.12,200.00,"2,120.00"
124,2025-07-08,10.49,10.77,10.35,10.72,0.19,"11,900.00","126,037.08"
125,2025-07-07,10.6,10.7,10.6,10.7,-0.83,"1,000.00","10,610.00"
126,2025-07-06,10.53,10.79,10.5,10.79,0.75,"20,000.00","213,227.00"
127,2025-07-03,10.5,10.92,10.5,10.71,0.0,"28,874.00","309,231.00"
128,2025-07-02,10.7,10.71,10.33,10.71,2.0,"11,600.00","121,936.00"
129,2025-07-01,10.5,10.79,10.49,10.5,-1.87,"4,200.00","44,515.00"
130,2025-06-30,10.5,10.7,10.5,10.7,-0.09,"5,050.00","53,265.00"
131,2025-06-29,10.7,10.92,10.5,10.71,2.0,"29,650.00","313,600.50"
132,2025-06-26,10.98,10.98,10.4,10.5,-2.78,"16,400.00","171,341.00"
133,2025-06-25,10.8,10.8,10.38,10.8,1.89,"21,700.00","228,224.00"
134,2025-06-24,10.35,11.33,10.35,10.6,2.91,"21,800.00","226,106.00"
135,2025-06-23,10.31,10.31,10.3,10.3,-0.96,600.00,"6,181.00"
